WMC,CBO,RFC,LOC,NPM,isExistBug
18,4,20,243,13,0
5,1,5,71,5,0
16,6,11,59,3,0
14,3,11,308,10,0
2,0,2,27,2,0
31,4,17,379,15,1
2,0,2,28,1,0
104,3,46,2226,40,1
32,3,15,305,15,0
14,2,14,197,14,0
32,22,51,341,6,1
3,1,3,100,3,0
34,0,22,391,21,0
95,5,19,520,1,0
80,17,37,771,21,1
301,58,194,4734,79,1
16,2,12,141,9,0
56,7,39,720,16,1
428,4,88,2648,53,1
42,27,32,442,13,0
5,14,12,155,5,0
20,3,10,114,9,0
4,3,4,93,16,0
409,1,68,3645,67,0
8,3,8,109,8,1
5,0,5,61,5,0
2,0,2,19,2,0
14,15,21,146,9,0
3,2,5,60,2,0
208,109,286,2801,106,0
1237,214,498,5163,85,1
334,88,273,2321,88,0
214,93,90,2318,26,0
96,55,86,1077,18,1
131,57,42,422,343,0
6,4,5,85,3,0
44,13,19,129,179,0
170,84,170,2470,170,0
20,11,27,230,42,0
16,12,22,157,39,0
63,31,48,217,15,1
26,14,48,226,43,0
43,16,54,377,41,0
14,8,25,159,29,0
27,7,30,243,35,0
27,11,39,271,36,0
13,7,22,133,32,0
23,7,31,211,38,0
24,8,32,234,33,0
33,9,36,312,37,0
91,15,30,275,0,0
53,45,53,971,2,0
13,7,24,141,30,0
9,5,17,95,32,0
22,10,29,225,33,0
14,6,22,149,33,0
16,7,27,160,31,0
27,9,31,237,35,0
27,7,33,240,31,0
59,10,32,361,35,1
4,1,4,77,8,0
6,2,5,91,9,0
54,15,52,522,42,0
7,5,9,100,31,0
101,17,74,1006,48,0
129,66,109,841,29,0
35,7,32,307,37,0
23,9,29,218,32,0
16,7,27,160,31,0
169,84,171,549,336,0
473,113,134,1718,4,1
105,10,23,531,4,0
6,4,11,30,20,0
27,9,33,247,33,0
174,21,67,714,4,1
8,5,17,89,29,0
35,10,39,299,35,0
36,15,54,348,41,0
30,14,50,291,45,0
5,4,11,89,30,0
19,8,30,174,31,0
28,9,34,255,36,0
37,12,50,330,37,0
29,10,39,318,35,0
32,9,36,321,35,0
31,10,41,345,34,0
42,11,45,391,39,0
35,11,49,286,36,0
27,9,31,237,35,0
36,14,41,191,3,0
27,11,34,290,35,0
27,8,33,248,33,0
9,5,17,95,32,0
15,7,27,132,40,0
25,10,34,241,32,0
28,9,35,249,32,0
56,16,43,184,15,0
11,0,6,115,6,0
87,25,61,414,30,0
81,17,79,841,51,0
38,11,46,364,39,0
28,12,40,286,33,0
31,9,38,317,33,0
39,7,47,517,53,0
7,8,10,91,34,0
11,3,11,166,0,0
19,12,7,77,245,0
18,9,33,175,41,0
9,5,16,95,31,0
27,9,27,197,33,0
44,30,41,219,14,0
36,12,43,324,33,0
22,9,35,218,37,0
19,7,28,172,33,0
25,9,34,235,35,0
25,9,34,240,35,0
16,7,23,232,37,0
28,7,34,246,39,0
27,8,33,238,38,0
133,37,107,662,57,0
29,16,31,111,21,0
16,7,27,158,31,0
33,19,32,272,38,0
5,2,4,59,8,0
19,8,28,171,36,0
23,9,34,196,42,0
65,15,62,598,44,0
13,5,11,134,28,0
43,9,30,319,35,1
14,3,7,112,6,0
29,11,38,283,34,0
25,10,34,243,36,0
38,12,46,361,39,0
19,8,31,192,32,0
22,10,36,216,32,0
