WMC,CBO,RFC,LOC,NPM,isExistBug
0,1,0,3,0,0
2,5,5,11,2,0
2,5,5,11,2,0
0,0,0,3,0,0
2,5,5,11,2,0
2,5,5,11,2,0
2,5,5,11,2,0
3,7,7,16,2,0
6,4,3,31,2,0
6,4,3,31,2,0
2,3,2,12,2,0
3,5,5,21,2,0
3,5,5,21,2,0
2,5,5,11,2,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
1,3,1,8,1,0
1,2,1,7,1,0
1,2,1,7,1,0
1,3,1,8,1,0
1,2,1,7,1,0
2,5,5,11,2,0
2,5,5,11,2,0
0,0,0,3,0,0
0,0,0,3,0,0
2,5,5,11,2,0
0,0,0,3,0,0
0,0,0,3,0,0
2,4,3,14,2,0
2,4,3,14,2,0
2,4,3,14,2,0
2,4,3,14,2,0
2,4,3,13,2,0
2,4,3,13,2,0
1,1,2,11,1,0
112,9,61,659,10,0
374,43,141,1577,8,1
82,8,32,356,9,1
51,9,28,193,15,1
1,3,2,12,1,0
40,12,30,122,9,0
16,9,15,60,4,0
37,2,11,141,3,0
9,4,5,50,3,0
31,33,35,153,10,1
0,1,0,97,4,0
32,16,21,134,5,0
58,16,32,209,8,0
38,15,41,204,6,0
47,5,22,213,17,0
19,11,16,84,10,1
66,33,60,229,15,1
18,15,27,98,10,1
112,26,83,452,29,1
9,0,2,37,1,0
11,1,4,52,4,0
16,4,6,82,4,0
8,6,8,37,2,0
187,21,82,720,7,0
110,12,40,477,27,1
12,0,5,57,5,0
4,2,4,22,2,1
26,2,25,112,14,0
20,2,21,103,20,0
42,3,34,220,13,0
18,0,14,101,10,0
40,17,46,206,17,0
0,0,0,103,0,1
33,0,15,115,7,0
469,5,76,2271,3,1
52,2,15,234,4,1
67,30,77,434,32,1
90,25,80,452,48,1
41,14,27,296,19,0
18,1,9,111,8,0
28,7,24,178,14,1
20,6,13,59,15,0
11,3,8,50,9,0
8,3,10,71,8,0
35,5,22,194,9,1
13,2,10,53,15,1
12,5,13,92,8,1
88,14,36,304,16,1
7,3,8,56,5,0
124,20,75,573,18,1
7,6,11,50,5,0
1,0,1,12,1,0
54,0,12,234,8,0
29,1,19,335,19,0
36,2,12,148,6,0
184,36,113,1444,35,1
26,3,7,128,3,0
22,4,16,132,4,0
174,35,90,1306,24,1
54,16,31,311,36,1
134,27,74,595,36,1
314,36,128,1173,8,1
53,22,42,196,7,1
1,0,1,13,0,0
1,2,2,12,2,0
28,5,18,145,8,1
71,13,21,264,3,1
3,0,3,16,2,0
20,3,17,106,10,0
31,15,23,154,6,0
54,8,22,267,7,0
40,7,16,237,4,0
43,9,24,208,4,0
0,1,0,152,4,0
2,1,2,247,1,1
26,5,16,94,4,1
21,13,23,79,8,1
323,10,38,1199,10,1
19,9,15,88,2,1
30,5,16,82,20,1
317,54,172,1780,16,1
80,7,32,486,11,0
304,36,162,1832,54,1
56,13,38,365,11,1
9,0,5,57,5,0
30,3,10,176,5,0
11,5,13,45,4,1
44,8,24,155,1,1
0,1,0,86,4,1
10,3,10,39,12,1
10,3,12,42,15,1
8,5,14,87,6,1
201,44,122,587,11,1
19,2,13,61,12,1
3,1,3,18,3,1
78,18,36,461,5,0
9,0,4,71,4,0
41,13,24,173,5,1
3,0,3,17,3,0
27,9,16,92,8,1
17,1,12,88,7,0
36,10,30,248,9,1
59,14,35,551,4,1
25,6,8,180,6,1
33,10,13,228,0,1
10,3,13,38,15,1
4,1,4,51,4,0
125,26,80,727,12,1
29,17,40,250,44,1
14,13,13,74,3,1
43,11,25,164,13,1
15,2,8,67,6,1
27,0,6,106,5,0
31,0,7,191,7,0
25,14,23,129,12,0
22,9,13,114,5,0
3,1,3,19,2,0
28,7,19,118,8,0
34,5,16,203,1,0
11,2,11,47,11,0
32,15,27,154,11,1
32,11,33,186,6,0
3,2,5,24,3,0
4,6,8,23,5,0
9,6,9,34,5,0
5,1,4,18,1,0
15,3,11,58,4,0
127,1,28,803,8,0
22,1,18,186,12,0
18,1,20,158,10,0
43,7,21,287,3,1
9,0,9,156,9,0
44,5,28,251,21,1
87,2,30,442,22,0
54,6,27,335,20,1
0,1,0,38,4,0
46,13,23,211,10,1
30,13,17,97,7,1
1,5,6,11,1,0
13,2,9,65,7,0
320,56,213,1234,29,1
110,29,105,405,36,1
23,17,34,105,4,0
5,7,9,48,4,0
20,17,39,126,4,0
41,11,39,206,20,0
21,12,19,75,10,0
13,1,7,93,4,0
3,1,4,24,15,0
52,15,47,292,19,1
34,17,32,133,57,1
3,5,4,11,4,0
4,4,8,20,6,0
12,5,12,34,6,0
54,8,28,200,6,0
14,0,8,66,6,1
19,13,14,59,2,0
198,24,98,602,7,1
37,6,32,131,4,0
6,5,9,28,6,0
545,42,210,1711,11,1
6,4,8,27,5,0
30,5,20,89,12,1
9,4,11,45,5,0
76,7,31,350,6,0
31,4,23,245,11,0
8,9,13,57,3,1
5,1,5,63,5,0
0,0,0,15,0,0
5,2,4,23,3,1
20,3,13,62,6,1
148,23,92,552,37,1
12,5,12,35,9,1
8,1,9,90,1,0
35,5,15,117,11,1
10,5,9,42,6,1
31,8,20,84,11,1
18,6,14,49,9,1
58,12,28,146,14,1
41,11,30,173,12,1
50,11,19,129,9,1
45,15,66,187,45,1
25,6,7,64,6,1
173,31,89,556,0,1
29,5,16,112,4,1
134,16,56,374,12,1
244,43,162,933,49,1
