WMC,CBO,RFC,LOC,NPM,isExistBug
2,0,2,33,2,0
0,0,0,19,0,0
27,0,4,123,4,0
11,3,8,66,2,0
6,3,7,44,6,0
18,0,5,71,5,0
99,3,16,983,6,0
52,1,16,334,16,0
21,2,10,107,8,0
4,0,4,20,4,0
9,4,9,43,10,0
1,0,1,8,1,0
107,15,60,653,24,0
3,2,3,23,1,0
5,1,5,37,11,0
8,2,8,68,8,0
15,0,15,73,15,0
7,5,15,39,7,0
5,3,3,18,1,0
20,7,11,111,3,0
17,6,23,130,5,0
35,0,12,236,11,0
10,2,8,82,3,0
6,6,13,43,20,0
7,1,7,22,7,0
90,12,48,429,16,1
10,7,13,49,5,0
28,9,17,106,4,0
5,5,7,26,1,0
17,6,10,73,19,0
4,3,6,19,4,0
7,1,3,66,1,1
78,12,42,270,44,1
391,40,135,1772,21,1
3,7,7,17,1,0
12,6,13,54,6,1
73,12,35,352,18,1
11,0,10,78,9,0
20,0,10,94,10,0
19,8,29,111,13,0
15,0,7,81,7,0
99,27,82,485,39,0
21,2,8,91,8,0
8,11,13,66,5,0
54,27,65,345,18,1
28,0,7,107,5,1
4,1,3,36,3,0
4,1,3,35,3,0
1,0,1,240,1,0
6,11,10,31,3,0
141,13,103,611,43,1
2,3,5,15,3,0
2,4,6,19,3,0
14,7,11,79,5,0
148,3,26,551,5,1
140,18,73,578,6,1
1,0,1,8,1,0
8,3,8,38,1,0
3,1,8,22,14,0
42,4,12,139,18,0
5,2,4,30,4,0
50,6,22,197,2,0
1,0,1,16,1,0
5,2,9,26,15,0
3,2,8,21,14,0
16,5,11,96,10,0
19,6,22,100,11,0
9,1,5,76,1,0
3,5,5,23,2,0
10,4,6,66,1,0
35,9,26,209,9,0
1,1,2,8,5,0
1,1,2,7,5,0
15,4,8,62,4,0
1,0,1,25,1,0
15,12,16,80,2,0
7,9,14,47,19,0
5,7,9,37,19,0
16,10,27,179,13,0
16,10,25,132,13,0
32,20,39,167,47,1
9,10,11,40,10,0
7,5,16,73,23,0
26,8,28,128,24,0
10,2,4,87,3,0
1,0,1,36,1,0
226,16,72,1763,31,1
7,1,2,58,2,0
10,1,2,75,2,0
1,0,1,98,1,0
39,24,34,172,32,0
9,1,6,88,4,0
10,7,14,89,19,0
4,4,6,60,3,0
33,11,30,199,59,0
14,11,31,109,9,0
9,7,7,49,5,0
1,0,1,68,1,0
43,0,10,352,7,0
1,0,1,25,1,0
22,10,12,96,9,1
18,3,9,91,4,1
41,0,7,124,4,0
30,2,8,186,6,1
3,0,3,21,3,0
9,0,5,34,4,0
14,0,8,73,8,0
10,0,5,74,5,0
0,0,0,20,0,0
38,2,9,227,6,0
31,1,7,208,6,0
5,1,5,34,4,0
6,2,11,39,5,0
15,0,8,136,6,0
15,2,9,91,7,0
55,2,17,356,8,0
48,1,10,302,5,0
3,0,3,14,3,0
11,0,8,58,8,0
2,0,2,18,2,0
5,2,6,66,2,0
3,0,3,22,3,0
8,1,4,42,1,0
8,0,4,49,1,0
6,1,4,41,1,0
1,0,1,58,1,0
25,0,16,158,5,0
16,2,8,93,7,0
11,0,6,62,3,0
7,0,2,22,2,0
27,13,32,130,24,0
4,2,6,45,26,0
29,11,25,133,13,0
26,4,21,109,12,0
35,7,30,141,17,0
38,11,29,256,15,1
26,6,30,173,13,1
3,1,3,20,3,0
69,10,48,277,21,0
21,6,21,104,15,0
20,10,16,152,6,0
248,23,141,1121,55,1
8,5,11,51,8,0
14,3,13,88,13,0
20,5,7,44,1,0
37,11,34,213,16,1
16,9,12,102,4,1
8,7,6,60,3,1
6,11,18,70,3,1
16,2,12,54,6,0
6,0,6,37,5,0
34,1,13,139,8,0
3,1,3,79,3,0
7,1,7,32,5,0
79,17,35,347,17,1
37,5,22,166,15,0
10,1,6,87,3,1
54,23,56,323,20,0
15,8,20,77,9,0
1,1,2,8,1,0
46,14,35,218,26,1
48,0,9,220,6,0
16,10,18,62,9,0
22,14,21,64,6,0
1,0,1,36,1,0
9,4,8,97,6,0
14,5,16,72,15,0
7,4,7,37,7,0
5,1,2,23,2,1
19,9,19,106,5,0
1,2,3,7,1,0
14,10,14,66,6,0
7,9,12,46,6,0
10,10,14,68,6,0
12,7,10,54,6,0
19,6,15,79,20,0
22,11,26,107,22,1
1,1,1,7,5,1
1,1,1,7,5,0
1,0,1,58,1,0
4,0,4,18,4,0
4,1,6,25,4,0
5,3,5,27,1,0
4,2,4,28,2,0
6,1,3,22,2,0
4,3,2,18,2,1
2,7,6,17,2,0
6,9,9,48,2,0
4,1,3,30,1,0
1,0,1,31,1,0
1,3,3,8,2,0
4,3,2,18,2,1
35,17,31,302,4,1
5,8,7,28,9,0
1,0,1,40,1,0
3,4,5,18,5,0
10,5,11,151,7,0
1,0,1,34,1,0
11,8,14,50,6,0
1,0,1,14,1,0
