WMC,CBO,RFC,LOC,NPM,isExistBug
9,2,8,99,8,1
28,1,12,178,9,0
10,4,18,159,10,0
23,5,21,196,12,1
29,8,26,121,23,0
7,2,6,31,4,0
13,2,10,44,28,0
15,4,10,84,7,1
38,10,16,208,6,1
12,2,8,53,6,0
79,14,38,324,8,0
103,18,29,342,3,0
59,24,45,182,12,0
31,7,14,115,4,1
3,2,3,20,2,1
41,0,8,139,3,0
5,2,5,31,5,0
47,13,29,190,10,1
6,3,8,44,4,0
2,2,1,18,1,0
14,6,10,62,5,1
23,2,9,89,5,0
71,16,50,366,13,0
27,5,17,179,9,0
20,1,12,71,10,0
55,8,22,170,4,0
31,7,14,111,2,0
66,25,64,344,5,1
93,7,35,298,11,1
2,3,3,12,12,0
9,2,6,35,6,0
19,0,5,79,4,1
65,7,14,345,4,1
80,14,35,322,11,0
32,10,26,115,1,0
54,15,46,241,24,1
0,0,0,270,0,1
63,18,48,245,14,0
23,7,12,78,4,0
53,9,30,206,7,1
108,23,88,428,31,1
5,0,1,22,1,0
13,1,8,58,5,0
151,25,95,823,25,1
56,4,13,237,4,1
3,5,4,54,1,1
124,15,45,429,7,0
5,5,5,31,3,0
86,16,44,327,16,0
9,0,8,41,8,0
68,13,44,364,10,1
29,0,10,106,6,0
2,2,3,11,8,0
119,20,58,418,22,1
6,12,22,39,1,0
26,2,6,133,3,0
47,4,16,170,8,1
14,11,18,71,1,0
17,7,16,55,10,0
70,8,31,226,10,0
96,27,58,448,11,1
12,1,9,39,9,0
29,0,14,116,13,0
31,0,11,179,11,0
17,2,10,72,9,0
40,18,26,160,6,0
8,1,8,48,7,0
5,6,6,34,10,0
5,6,4,33,10,0
10,10,17,46,11,0
17,6,18,75,16,0
14,10,16,61,27,0
2,5,4,13,2,0
8,5,8,35,4,0
11,4,11,49,28,1
21,8,23,102,35,1
161,32,60,545,6,0
313,25,94,1054,9,0
8,1,4,95,4,0
7,2,3,23,1,0
5,1,5,24,4,0
22,9,12,113,3,0
63,6,30,449,2,0
5,1,5,49,5,0
24,3,16,105,5,0
34,17,27,146,0,1
187,42,99,592,23,0
13,7,11,47,0,1
137,11,46,391,22,1
18,10,19,65,5,0
6,3,9,28,26,0
73,7,28,279,6,0
12,6,9,74,8,0
61,20,29,265,0,1
39,7,25,133,20,0
11,2,5,43,2,0
2,1,2,71,2,1
45,8,27,147,25,0
4,2,6,21,26,0
20,7,16,78,5,0
60,5,17,226,21,0
96,16,45,388,2,1
7,5,7,34,0,1
45,3,18,151,22,0
9,1,2,30,1,0
86,5,37,385,19,0
15,6,12,62,14,0
23,9,18,104,61,0
3,6,5,24,67,0
26,9,25,98,29,0
11,7,14,63,6,0
8,10,12,46,57,0
201,38,122,950,54,0
3,6,5,24,67,0
96,34,76,370,66,0
3,7,6,19,78,0
35,11,28,145,38,0
3,7,6,19,78,0
32,16,30,90,76,0
25,11,30,169,17,0
17,7,19,115,15,0
16,7,18,114,15,0
3,5,5,31,16,0
17,10,24,117,26,0
8,17,15,61,8,0
32,8,31,238,12,0
3,5,5,31,16,0
21,7,20,144,17,0
21,11,25,139,34,0
44,12,33,254,42,0
47,14,40,292,28,0
25,6,23,165,36,0
12,2,6,42,2,0
145,12,62,589,9,1
103,4,27,445,24,1
12,0,3,45,3,0
14,5,19,65,8,1
0,0,0,15,0,1
164,29,76,701,6,1
10,5,13,36,9,0
160,21,82,655,8,1
5,5,6,33,9,1
22,13,28,89,34,0
13,2,9,54,38,0
167,34,108,728,64,0
56,12,40,254,35,0
33,6,32,210,30,0
9,19,15,63,9,0
52,19,39,182,33,0
27,5,18,103,20,0
11,2,11,65,16,0
35,10,32,143,11,0
36,15,32,135,41,0
22,9,15,90,16,0
26,2,17,96,20,0
7,2,11,32,14,0
7,3,11,32,17,0
36,8,29,150,46,1
16,1,9,83,3,0
3,2,6,14,6,0
6,1,4,39,3,0
3,2,6,18,6,0
3,2,6,14,6,0
3,3,6,37,70,0
5,1,5,35,13,0
