WMC,CBO,RFC,LOC,NPM,isExistBug
3,0,3,16,2,0
48,20,53,276,8,0
46,3,21,255,2,0
2,0,2,9,1,0
5,1,5,52,3,1
8,3,7,39,9,1
59,1,20,220,12,1
14,2,13,74,9,1
84,3,8,226,9,0
3,4,6,16,4,0
8,2,10,40,10,0
5,3,5,35,8,0
2,1,3,12,10,0
4,3,6,20,8,0
2,1,3,12,11,0
9,2,9,54,8,0
4,4,11,19,8,0
176,0,27,487,13,0
3,4,6,15,4,0
12,2,10,76,14,0
8,7,15,62,9,0
15,4,19,146,17,0
2,4,5,16,8,0
89,2,53,742,45,0
3,1,5,20,6,1
6,2,8,72,4,1
4,1,4,24,6,0
3,4,6,15,4,0
2,1,3,12,10,0
11,0,3,87,3,0
8,8,15,100,10,0
8,4,9,40,9,0
321,0,19,998,2,0
3,4,6,56,5,0
26,2,4,205,8,0
2,4,4,16,4,0
9,3,5,56,8,0
16,2,6,84,8,0
20,4,22,134,8,0
15,4,14,83,12,0
23,6,19,180,15,0
15,0,11,99,11,0
17,0,13,109,13,0
7,0,3,35,1,0
3,0,3,30,2,0
1,0,1,10,1,0
64,7,33,442,27,0
72,4,30,396,17,0
55,2,34,423,17,0
10,7,12,101,8,0
8,8,15,95,10,0
11,4,10,65,11,0
58,0,7,239,0,0
8,6,10,187,7,0
79,0,1,454,1,0
4,4,7,27,8,0
12,3,10,72,10,0
9,8,14,103,9,0
11,4,10,55,11,0
145,0,20,681,0,0
1,2,1,7,5,0
6,3,13,39,10,0
15,3,20,88,13,0
6,2,6,35,9,0
15,4,14,104,9,1
10,3,8,89,9,0
11,3,9,66,9,1
9,2,5,62,9,0
12,7,16,133,11,0
14,4,13,74,13,0
114,0,18,377,1,0
16,0,5,96,4,0
4,5,8,21,8,0
6,0,6,47,6,0
3,5,9,20,8,0
5,4,7,17,8,0
19,7,21,161,11,0
8,7,11,224,7,0
16,0,1,285,1,0
5,1,3,27,10,0
4,4,7,27,8,0
7,4,9,41,9,0
58,0,21,605,5,0
9,4,14,70,11,0
34,3,24,249,13,0
62,8,46,517,23,0
8,2,9,51,19,0
6,2,7,27,18,0
6,2,9,25,18,0
4,7,9,27,5,0
6,4,10,45,9,0
19,8,31,228,20,0
11,3,8,45,8,0
15,4,25,168,15,1
70,1,25,674,10,0
1,7,5,9,3,0
8,3,15,46,8,0
9,0,7,56,7,0
4,5,4,33,1,0
17,4,11,193,7,0
36,19,34,318,11,0
4,4,6,62,3,0
8,1,1,36,2,0
0,0,0,10,0,0
15,4,13,113,10,0
14,3,11,92,5,0
28,14,33,214,18,0
9,4,9,48,5,0
57,14,34,285,11,0
8,3,8,49,3,0
11,5,14,95,13,0
11,0,11,87,11,0
4,5,7,36,17,0
10,8,5,53,5,0
16,6,14,81,15,0
0,0,0,3,0,0
11,4,12,96,13,0
8,13,11,79,5,0
6,3,7,52,12,0
1,11,8,35,5,0
10,6,5,53,5,0
3,5,7,27,13,0
31,5,17,195,13,1
2,7,14,69,1,0
6,3,9,62,5,0
5,0,5,42,5,0
17,1,15,166,12,0
11,6,20,77,20,0
3,3,7,19,16,0
5,3,10,26,18,0
3,3,7,16,16,0
3,3,6,14,16,0
12,7,21,71,17,0
12,4,16,79,20,0
11,3,8,55,18,0
3,3,7,18,16,0
2,5,11,24,16,0
2,4,7,14,16,0
4,3,9,24,18,0
34,5,29,215,15,0
36,19,41,184,25,1
13,11,24,101,18,0
3,3,8,16,16,0
9,6,15,48,17,0
10,7,18,45,21,0
7,6,18,50,17,0
7,6,17,50,17,0
8,7,18,47,21,0
10,6,20,59,19,0
18,6,25,132,16,0
3,2,6,21,16,0
2,3,5,12,20,0
2,3,5,12,18,0
6,4,9,28,26,0
18,6,14,73,36,0
6,7,8,35,33,0
2,2,3,11,31,0
9,4,13,45,29,0
16,6,16,82,29,0
6,3,10,36,18,0
75,5,35,309,28,0
6,3,7,28,26,0
17,7,20,107,20,0
47,5,23,234,4,0
51,1,19,360,12,0
8,0,1,29,1,0
9,0,8,101,8,0
13,10,19,121,6,0
6,0,5,53,5,0
40,1,17,253,14,0
1,11,12,37,1,0
4,1,3,50,2,0
21,3,9,105,4,0
10,1,4,77,2,0
2,4,4,27,2,0
15,8,21,85,1,0
3,6,6,29,2,0
8,5,7,60,3,0
1,7,6,28,1,0
62,28,69,400,5,0
8,1,8,54,8,0
2,0,2,21,2,0
10,2,4,52,3,0
13,0,11,79,10,0
18,0,5,140,3,0
22,6,11,120,5,0
4,4,8,37,1,0
2,6,7,42,1,0
4,7,13,60,3,0
13,4,9,70,1,0
29,8,24,130,1,0
47,13,19,231,3,0
13,0,3,307,1,0
216,11,52,717,24,0
456,4,65,1620,7,0
26,1,5,180,4,0
5,3,5,28,1,0
69,0,36,431,31,0
0,0,0,40,0,0
2,0,2,74,2,0
19,0,6,130,4,0
62,5,24,318,25,0
12,0,7,63,6,0
28,1,7,220,6,0
47,3,22,286,17,0
48,6,19,329,38,1
7,0,3,72,2,0
1,2,1,6,1,0
7,2,4,39,4,0
10,0,2,93,2,0
4,2,2,37,2,0
15,5,7,92,0,0
11,2,7,105,5,0
17,4,11,114,20,0
10,2,7,63,6,0
4,1,5,36,3,0
86,18,53,536,8,1
26,7,25,167,24,0
24,6,23,195,5,0
41,8,30,246,9,1
1,0,1,5,1,0
10,2,13,85,1,0
8,2,8,96,0,0
55,16,52,351,70,1
5,4,5,7,0,0
2,2,2,12,0,0
6,5,6,27,0,0
2,1,2,5,0,0
4,4,4,6,0,0
13,10,17,98,1,0
3,3,5,25,1,0
7,10,11,50,1,0
7,8,15,47,1,0
2,5,4,20,2,0
41,16,25,267,2,0
6,10,15,215,4,0
9,10,18,66,1,0
17,16,29,139,1,1
5,16,14,43,1,0
190,44,127,1172,0,1
2,4,3,25,1,1
18,0,4,83,1,1
45,6,44,293,18,1
19,8,25,121,3,0
4,0,4,58,4,0
6,3,8,45,9,0
64,20,47,413,0,1
37,11,35,281,0,0
28,12,57,146,68,0
10,12,7,78,2,0
54,26,38,349,0,0
22,12,16,118,3,0
5,9,6,22,3,0
2,4,3,13,82,0
2,2,3,8,10,0
13,2,12,81,11,0
89,10,37,485,5,1
18,1,4,65,4,0
7,1,2,174,0,0
43,12,51,513,22,0
92,25,100,999,62,1
559,33,308,4521,88,1
6,1,5,45,3,0
6,5,6,24,0,0
4,2,4,18,0,0
4,5,4,6,0,0
5,5,5,7,0,0
2,0,2,4,0,0
4,3,4,6,0,0
3,2,3,22,2,0
6,2,7,61,14,0
4,2,4,37,12,0
65,8,27,390,9,0
15,4,4,86,2,1
6,5,6,85,0,0
2,2,2,10,0,0
7,1,6,39,23,0
32,3,17,202,1,0
19,2,12,103,0,0
66,16,62,337,69,1
90,20,78,419,74,1
23,8,31,130,13,0
23,14,16,138,0,0
8,8,11,50,3,0
6,8,7,22,1,0
79,16,69,413,73,0
27,1,15,162,14,0
11,3,9,91,9,0
0,0,0,6,0,0
3,5,6,13,74,0
4,2,4,15,82,0
6,0,4,30,3,0
128,6,49,656,8,1
68,9,58,552,28,1
12,5,13,59,0,0
5,3,8,21,8,0
131,33,102,739,0,1
198,35,135,1010,81,1
41,13,33,187,8,0
28,8,31,187,5,0
9,3,4,46,10,0
31,6,25,174,12,0
15,1,8,67,7,0
4,5,4,18,0,0
9,4,10,55,5,0
22,3,13,101,8,0
1,0,1,5,1,0
23,14,27,140,1,1
6,10,10,43,1,0
7,13,9,45,1,0
19,0,13,95,10,0
19,6,21,116,6,0
7,1,6,36,5,0
5,0,5,38,0,0
59,12,36,298,6,1
28,8,23,200,0,0
12,8,21,110,2,0
19,1,13,77,10,0
3,1,4,17,1,0
7,1,7,74,5,0
12,0,8,65,8,1
77,11,44,511,2,0
35,20,34,219,2,1
31,22,32,214,2,0
10,13,10,66,3,0
30,11,26,190,2,0
30,12,23,195,3,0
7,6,7,14,0,0
6,3,6,8,0,0
4,5,4,6,2,0
95,18,36,520,6,0
17,16,23,100,1,0
46,5,19,317,8,0
42,14,38,395,9,1
39,6,13,277,7,0
59,0,9,324,3,0
14,4,13,106,8,0
29,7,27,203,7,0
9,6,14,47,1,0
3,5,6,24,1,0
16,7,24,111,3,0
16,1,9,191,24,0
20,1,14,96,13,0
44,9,27,284,49,0
26,1,5,184,4,0
355,32,122,1655,44,1
357,4,45,1149,7,0
7,0,7,115,7,0
19,0,6,134,4,0
44,6,17,282,45,0
20,1,14,96,13,0
26,1,5,180,4,0
301,29,91,1257,33,0
320,4,46,1043,7,0
2,0,2,74,2,0
19,0,6,130,4,0
20,1,14,96,13,0
26,1,5,180,4,0
191,18,65,695,25,0
226,4,34,684,7,0
2,0,2,74,2,0
19,0,6,130,4,0
2,5,5,10,20,0
8,4,10,32,6,0
4,8,11,51,3,0
24,2,19,94,19,0
13,9,24,79,25,0
8,3,6,41,3,0
12,5,16,69,17,0
2,6,7,15,20,0
8,8,11,34,22,0
14,7,16,58,19,0
16,10,18,66,10,0
4,4,4,21,2,0
12,5,17,49,23,0
15,3,15,49,11,0
8,5,14,36,22,0
19,5,17,84,21,0
1,0,1,5,1,0
14,2,12,65,10,0
42,9,25,166,7,0
49,11,38,299,32,0
43,8,22,181,9,0
48,13,38,287,12,0
3,4,7,27,13,0
13,4,11,63,9,0
11,3,8,75,8,1
9,4,7,50,13,0
49,9,23,348,11,0
9,1,12,48,16,0
21,4,16,98,9,0
12,6,10,51,17,0
40,4,15,114,21,0
6,1,6,31,15,0
28,6,19,148,21,0
32,4,16,167,9,0
39,5,28,234,11,0
1,1,1,3,1,0
3,0,3,24,3,0
37,7,30,222,14,0
7,6,9,33,8,0
20,0,13,105,11,0
5,10,24,46,16,0
12,13,31,126,12,1
2,1,3,23,3,0
42,4,9,169,8,0
34,13,45,288,13,0
2,3,3,19,2,0
3,2,3,38,3,0
7,3,7,99,4,1
13,7,17,80,18,0
17,2,13,65,7,0
25,18,37,199,16,0
25,13,33,152,25,0
38,4,21,277,11,0
10,3,13,102,6,0
1,0,1,27,1,0
6,2,7,48,4,0
3,2,3,14,8,0
33,13,22,208,5,0
25,20,37,135,27,0
7,5,9,32,15,0
3,4,4,16,5,0
33,10,22,164,22,1
39,19,41,222,27,1
13,8,21,60,16,0
6,2,9,17,8,0
18,15,23,158,33,1
8,2,11,56,0,0
30,7,20,156,21,0
4,2,3,19,8,0
34,8,29,144,8,0
5,6,9,35,7,0
13,8,20,64,16,0
25,7,24,161,11,0
3,3,7,17,11,0
22,4,14,105,9,0
17,9,21,147,7,0
7,8,10,43,8,0
87,7,25,294,11,0
60,8,28,210,21,1
3,4,7,30,5,0
5,6,8,29,8,0
17,14,25,87,13,0
24,3,16,118,8,0
12,3,15,72,8,0
5,2,4,29,4,0
1,0,1,15,1,0
9,4,9,57,7,0
24,14,27,179,23,0
16,3,18,239,15,1
8,1,15,40,17,0
40,7,16,192,8,0
16,1,16,126,13,1
2,4,3,29,1,0
23,1,14,215,14,1
1,3,1,9,3,0
5,1,5,51,5,0
11,8,20,60,9,0
10,6,14,47,16,0
25,7,26,164,9,0
15,6,14,92,7,0
8,3,9,113,6,1
11,5,12,66,4,0
3,1,3,27,3,0
6,9,13,44,7,0
1,3,2,17,3,0
7,7,11,27,19,0
25,3,13,166,10,0
10,5,10,50,12,0
40,8,32,269,26,0
15,1,13,136,10,0
10,4,8,59,9,0
6,7,7,45,17,0
10,5,10,49,12,0
10,5,10,50,12,0
6,5,6,37,6,0
6,5,6,41,6,0
10,5,10,50,12,0
5,2,5,33,5,0
9,7,13,55,16,1
2,1,2,11,2,0
23,2,8,203,3,0
56,13,48,511,20,0
2,2,2,8,2,0
14,7,14,120,9,0
20,8,19,135,4,0
7,2,7,60,6,0
11,1,3,60,3,0
4,2,4,39,3,0
10,5,9,67,4,0
6,2,6,50,5,0
23,9,23,198,13,0
7,0,7,54,6,0
13,1,12,109,6,0
26,9,22,199,8,0
10,2,8,64,12,0
59,27,59,386,7,0
5,0,5,44,5,0
5,6,7,22,23,0
2,11,12,41,1,0
27,16,24,137,2,0
12,2,6,31,5,0
11,1,5,30,5,0
10,7,14,47,21,0
8,4,15,45,9,0
18,16,26,91,23,0
88,21,69,789,35,0
20,6,29,126,29,0
7,9,10,76,1,0
52,6,26,241,9,1
51,8,34,195,9,0
18,6,20,84,23,0
33,9,26,146,24,0
21,7,20,93,23,0
28,6,20,117,22,1
5,7,6,35,15,0
15,5,21,78,7,0
13,8,19,58,21,0
12,11,30,115,7,0
16,4,19,86,10,0
19,1,4,91,3,0
8,1,2,84,2,1
2,3,3,15,2,0
4,2,4,27,4,0
55,23,52,354,12,0
5,0,1,36,1,0
2,2,4,13,8,0
1,0,1,5,1,0
34,1,17,180,22,0
17,1,9,110,17,0
8,1,13,42,18,0
11,1,19,67,21,0
28,6,28,185,18,1
75,12,39,493,32,1
2,3,4,12,33,0
12,1,12,42,19,0
31,0,17,204,16,0
34,3,19,182,17,0
12,1,5,77,4,1
4,1,4,39,4,0
1,0,1,5,1,0
1,0,1,5,1,0
9,0,2,61,1,0
3,4,5,22,34,1
65,8,41,293,46,0
6,4,6,54,19,0
15,4,13,73,26,0
1,4,4,9,33,1
17,3,10,107,6,0
3,3,3,16,5,0
27,8,27,209,23,1
12,1,11,76,0,0
20,2,10,89,16,0
26,2,21,131,21,0
11,3,7,67,6,0
3,3,3,19,4,0
3,3,6,32,5,0
8,3,7,66,0,0
27,9,30,204,25,0
17,5,16,120,17,0
16,4,16,124,17,0
4,1,4,23,5,0
30,1,11,228,0,0
1,0,1,7,1,0
7,0,4,39,2,1
17,1,6,69,0,1
8,2,10,50,7,0
62,19,68,297,12,0
83,23,54,331,69,1
86,19,87,601,23,1
28,3,23,214,14,0
21,8,19,107,9,0
10,4,13,88,6,0
12,5,13,79,8,1
17,4,13,83,9,0
3,5,7,19,12,0
9,4,12,75,14,0
8,3,7,54,0,0
30,1,11,199,0,0
23,8,26,167,23,0
17,5,17,107,17,0
16,4,16,112,17,0
4,1,4,23,5,0
6,0,5,30,5,0
18,1,17,75,10,0
2,1,2,177,1,0
24,17,28,210,6,0
2,3,5,47,2,0
17,0,17,81,17,0
33,16,34,268,13,0
2,3,5,53,2,0
23,0,13,111,13,0
48,0,13,776,13,0
32,3,26,196,9,0
8,0,4,53,3,0
1,0,1,21,0,0
3,3,4,19,3,0
39,0,3,83,3,0
102,4,62,692,54,0
18,2,16,79,60,0
17,2,8,144,5,0
7,0,5,46,1,0
26,0,12,144,8,0
29,3,23,174,12,0
18,0,6,102,6,0
15,4,16,119,8,0
9,0,3,41,2,0
2,0,1,9,1,0
44,2,4,355,4,0
6,1,7,48,5,0
1,1,2,18,9,0
8,2,9,39,8,0
28,4,30,230,11,0
145,1,28,944,12,0
12,15,21,109,2,0
13,14,19,99,2,0
22,7,13,247,1,0
11,24,25,131,6,0
3,11,11,36,8,0
50,1,18,247,16,0
4,3,5,21,3,0
4,0,4,28,4,0
4,3,5,22,3,0
19,1,17,159,16,0
4,9,7,31,2,0
10,7,14,68,2,0
2,5,8,32,2,0
6,11,9,63,2,0
2,6,7,21,2,0
5,5,7,39,1,0
2,7,9,30,2,0
3,6,11,35,2,0
11,8,17,75,2,0
1,4,2,7,1,0
1,5,4,15,1,0
1,3,2,8,2,0
2,7,8,23,3,0
4,6,6,27,3,0
2,7,8,31,3,0
4,7,6,29,3,0
4,11,14,38,3,0
4,4,5,22,3,0
1,7,7,15,2,0
1,6,7,14,1,0
5,9,11,48,2,0
5,12,19,48,2,0
6,7,12,60,3,0
1,0,1,6,1,0
3,1,1,29,1,0
104,1,28,415,3,0
51,2,18,413,3,0
130,2,21,827,3,0
206,2,29,1304,3,0
140,2,24,1024,3,0
219,2,25,1491,3,0
116,2,18,716,3,0
109,2,18,678,3,0
171,2,23,1148,3,0
164,2,22,1170,3,0
351,2,31,2171,3,0
262,2,39,1898,3,0
44,2,15,348,3,0
141,2,24,896,3,0
155,2,20,1106,3,0
