WMC,CBO,RFC,LOC,NPM,isExistBug
7,1,8,39,3,0
1,0,1,86,0,0
0,0,0,4,0,0
5,7,5,31,8,0
1,5,3,26,4,0
6,3,6,35,4,0
2,7,4,37,4,1
1,1,2,6,1,0
5,3,5,30,4,0
2,8,5,38,4,1
1,1,2,6,1,0
5,4,5,38,4,0
0,0,0,4,0,0
1,7,4,27,4,0
11,4,10,65,8,0
6,2,3,31,7,0
1,6,13,22,1,0
6,2,6,42,4,0
3,8,14,34,1,0
1,1,1,7,5,0
1,1,1,7,5,0
7,3,7,35,5,0
16,3,13,112,9,1
3,3,5,33,11,0
9,3,9,62,8,1
4,4,6,39,11,0
3,3,5,24,7,0
1,1,1,6,1,0
3,2,3,24,1,0
7,1,6,39,5,1
13,2,12,76,9,1
9,2,12,48,13,0
8,1,11,45,6,0
10,2,13,64,14,0
12,2,12,71,13,0
9,1,11,56,6,0
15,2,13,84,14,0
1,1,1,6,5,0
8,15,14,40,5,1
7,6,12,43,2,1
14,3,15,95,1,1
11,4,13,101,11,1
33,6,12,169,2,1
65,15,51,443,19,1
2,6,4,70,1,1
1,1,1,8,1,0
39,9,26,292,18,0
1,4,2,20,1,0
56,16,35,275,2,1
1,2,2,6,1,1
1,2,2,6,1,1
5,0,2,24,2,0
4,0,4,25,4,0
13,2,11,72,5,0
1,1,1,8,1,0
11,1,7,59,4,1
4,2,4,21,4,0
2,1,4,37,51,0
120,4,57,992,49,0
17,2,9,98,3,0
2,3,2,4,3,0
2,3,2,4,3,0
1,0,1,26,0,0
2,1,2,20,2,0
1,1,1,7,1,0
4,2,4,40,2,1
1,1,1,7,1,0
2,1,2,17,2,1
8,0,4,38,1,0
3,2,4,27,3,0
4,0,2,18,1,0
11,1,8,47,6,0
16,1,7,85,3,1
