WMC,CBO,RFC,LOC,NPM,isExistBug
21,9,22,150,3,0
1,2,2,6,1,0
1,2,2,6,1,0
8,13,19,53,14,0
8,16,23,43,14,0
5,10,16,39,14,1
5,10,16,35,14,0
18,17,29,107,16,1
65,35,100,512,26,1
1,1,2,7,1,0
1,2,1,8,1,0
1,2,1,8,1,0
7,3,9,38,5,1
15,12,8,112,1,1
10,10,15,45,6,0
8,12,15,44,7,0
22,15,27,96,8,0
2,8,6,13,1,0
3,5,10,24,1,1
3,2,2,37,1,0
3,5,8,43,19,0
7,4,11,61,21,0
8,5,7,39,18,0
25,21,55,217,22,0
6,9,19,291,5,0
6,12,23,232,5,0
3,5,10,46,12,0
3,5,10,74,12,0
3,5,10,150,12,0
3,5,10,31,12,0
3,5,10,66,12,0
3,5,10,207,12,0
3,5,10,115,12,0
3,5,10,40,12,0
3,5,10,109,12,0
3,5,10,64,12,0
1,3,1,14,1,0
1,3,1,14,1,0
1,7,1,18,1,0
10,7,22,57,17,0
9,11,46,98,1,0
9,2,5,25,1,0
23,13,32,138,18,0
34,26,49,185,21,1
19,19,30,96,20,0
1,3,2,11,19,0
28,21,36,160,18,0
23,13,32,138,18,0
34,27,50,190,21,1
7,10,12,48,18,0
9,8,16,82,21,0
8,9,11,107,3,0
6,6,21,84,21,1
6,6,21,84,21,1
5,10,20,66,1,0
10,3,7,73,2,0
4,0,4,20,4,0
32,4,30,215,30,0
6,2,6,61,6,0
10,2,10,84,10,0
8,2,8,75,8,0
16,0,8,73,7,1
16,0,8,66,7,1
10,5,6,69,5,0
8,4,8,53,6,0
6,3,7,66,42,0
9,2,9,83,9,0
41,11,41,367,38,0
0,0,0,4,0,0
0,0,0,16,0,0
0,0,0,4,0,0
0,0,0,5,0,0
0,0,0,5,0,0
6,1,6,58,6,0
10,0,10,45,10,0
106,18,74,558,23,1
1,1,4,27,1,0
73,15,47,423,10,1
7,7,12,123,3,0
5,2,4,27,3,0
7,1,4,33,3,0
19,10,17,129,12,0
15,3,11,115,11,0
42,12,39,393,34,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,5,0,0
0,0,0,5,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
25,3,11,123,11,1
17,1,7,96,7,1
13,5,13,117,13,0
0,1,0,3,20,0
20,1,20,95,20,0
5,2,5,28,5,0
1,0,1,5,1,0
2,1,2,21,1,0
8,2,4,83,3,0
5,2,4,35,3,0
133,28,111,651,23,0
16,1,8,97,8,1
31,10,20,189,16,0
2,1,2,21,2,1
17,2,6,61,6,1
15,3,11,117,11,0
6,3,6,64,6,0
41,12,38,395,34,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,5,0,0
0,0,0,5,0,0
0,0,0,3,0,0
0,0,0,3,0,0
0,0,0,3,0,0
25,3,11,135,11,1
17,1,7,96,7,1
9,4,9,79,9,0
4,0,4,23,4,0
18,1,18,90,18,0
5,2,5,28,5,0
1,0,1,8,1,0
3,1,2,23,1,0
8,2,4,83,3,0
5,2,4,35,3,0
151,27,122,713,28,0
16,1,8,90,8,1
6,4,3,42,3,0
8,2,8,41,8,0
9,4,11,101,9,0
20,6,17,105,4,1
16,1,8,67,8,1
2,1,2,15,1,0
86,13,44,488,11,1
2,2,2,8,1,1
1,1,2,10,1,0
3,1,3,33,3,0
8,8,11,53,3,0
8,8,13,98,2,0
1,0,1,14,1,0
12,4,6,60,0,0
1,3,2,14,1,0
15,0,6,90,6,0
12,6,10,89,4,0
13,1,10,75,7,0
30,11,22,206,5,0
