WMC,CBO,RFC,LOC,NPM,isExistBug
7,0,7,44,6,0
439,36,107,2236,53,0
3,0,1,11,1,0
15,5,5,52,1,0
1,0,1,4,0,0
11,3,3,31,1,0
15,5,5,53,1,0
3,2,4,6,34,0
5,3,4,23,34,0
5,3,4,25,34,0
5,3,4,24,34,0
5,3,4,26,34,0
9,4,5,40,34,0
5,2,3,21,34,0
5,3,4,22,34,0
0,0,0,2,0,0
1,1,1,5,0,0
10,4,4,36,1,0
9,4,4,39,1,0
9,3,3,31,1,0
17,4,4,51,1,0
15,4,4,47,1,0
13,5,5,48,1,0
17,5,5,64,1,0
13,5,5,49,1,0
17,5,5,65,1,0
23,7,8,78,1,0
7,3,3,29,1,0
7,3,3,24,1,0
13,4,4,43,1,0
13,2,3,38,2,0
4,0,4,46,2,0
567,60,146,3261,69,0
3,0,1,11,1,0
5,3,7,21,3,0
16,5,4,53,49,0
41,1,18,149,13,0
1,0,1,6,0,0
0,0,0,3,0,0
3,5,5,18,4,0
31,9,23,83,19,0
10,6,9,36,4,0
6,5,8,26,49,0
6,5,8,26,49,0
6,5,8,26,49,0
8,6,9,32,49,0
8,6,9,32,49,0
8,6,9,33,49,0
8,6,9,32,49,0
6,5,8,26,49,0
15,2,5,33,6,0
4,4,5,19,5,0
25,8,22,117,20,0
10,4,8,34,4,0
14,1,8,39,6,0
14,6,11,52,50,0
10,6,11,48,50,0
10,6,11,48,50,0
10,6,11,48,50,0
14,6,11,52,50,0
10,6,11,48,50,0
10,6,11,48,50,0
10,6,11,48,50,0
14,5,10,52,50,0
10,6,11,48,50,0
10,6,11,48,50,0
10,6,11,48,50,0
14,6,11,52,50,0
10,6,11,48,50,0
10,6,11,48,50,0
10,6,11,48,50,0
20,0,8,46,6,0
12,5,10,44,50,0
13,5,10,46,50,0
12,5,10,46,50,0
2,2,3,9,6,0
12,5,10,43,50,0
12,5,10,43,50,0
12,5,10,43,50,0
12,5,10,43,50,0
1,0,1,5,0,0
0,1,0,6,0,0
22,5,5,87,0,0
184,3,18,541,6,0
17,2,6,50,6,0
4,4,5,19,5,0
10,4,8,34,4,0
17,8,16,52,17,0
49,1,26,360,49,0
3,0,1,11,1,0
25,3,18,170,10,0
30,3,18,165,10,0
500,12,102,2717,34,0
3,0,1,11,1,0
1,3,2,6,1,0
4,1,4,7,33,0
1,0,1,4,0,0
112,5,23,441,0,0
209,8,80,1283,33,0
3,0,1,11,1,0
9,1,6,25,34,0
6,1,6,15,34,0
6,1,6,13,34,0
1,1,1,13,0,0
6,1,6,14,33,0
9,2,9,100,3,0
27,3,20,162,12,0
21,3,27,160,15,0
1,3,2,4,1,0
30,3,18,155,10,0
4,1,4,29,33,0
4,1,4,31,33,0
340,5,39,1205,26,0
3,0,1,11,1,0
6,1,11,15,6,0
2,1,4,4,2,0
1,0,1,9,0,0
6,1,11,15,6,0
38,3,9,282,0,0
3,0,1,11,1,0
2,0,2,25,0,0
2,0,1,8,0,0
1,1,2,3,1,0
26,0,18,232,15,0
3,0,1,11,1,0
35,0,19,287,12,0
3,0,1,11,1,0
265,5,85,1084,52,0
31,2,18,118,11,0
50,3,49,265,26,0
5,1,5,12,3,0
30,3,17,117,9,0
21,1,30,403,18,0
33,0,15,129,6,0
220,3,64,1260,34,0
3,0,1,11,1,0
13,2,8,70,3,0
2,3,4,4,3,0
2,3,4,4,3,0
7,0,7,58,0,0
48,1,26,356,49,0
3,0,1,11,1,0
558,10,97,2836,34,0
3,0,1,11,1,0
1,3,2,6,1,0
4,1,4,7,33,0
1,0,1,4,0,0
100,5,24,417,0,0
199,7,80,1252,33,0
3,0,1,11,1,0
9,1,6,25,34,0
6,1,6,15,34,0
6,1,6,13,34,0
1,1,1,13,0,0
9,2,9,99,3,0
173,4,51,1088,23,0
3,0,1,11,1,0
28,2,10,92,3,0
16,0,9,109,0,0
134,2,40,865,21,0
3,0,1,11,1,0
15,3,4,59,2,0
4,1,4,29,33,0
4,1,4,30,33,0
18,0,9,160,7,0
1,1,2,5,0,0
7,0,7,50,3,0
4,0,2,24,2,0
1,1,1,28,23,0
1,2,2,8,0,0
9,0,4,54,4,0
1,1,1,22,23,0
1,2,2,8,0,0
19,7,28,112,10,0
22,7,29,131,12,0
1,0,1,7,1,0
10,1,10,46,6,1
90,1,16,412,6,0
1,0,1,19,0,0
4,7,8,26,1,1
