WMC,CBO,RFC,LOC,NPM,isExistBug
10,4,14,47,27,0
1,2,3,12,1,0
7,3,9,29,48,0
6,3,9,31,44,0
4,4,6,26,46,0
1,3,4,7,1,0
60,2,42,290,38,0
2,0,2,11,2,0
20,1,9,70,2,0
4,2,7,45,6,0
15,13,27,70,10,0
11,8,13,50,4,0
3,5,9,18,10,0
5,4,6,25,4,0
21,3,18,137,47,0
7,2,7,47,7,0
26,6,25,150,16,0
1,2,2,5,1,0
50,3,30,259,20,0
1,2,2,6,47,0
60,5,30,292,18,0
3,0,3,13,2,1
2,6,8,13,2,0
10,5,12,50,54,0
6,5,14,56,52,1
20,2,20,72,14,0
36,2,28,108,12,0
24,6,44,139,70,0
2,6,8,14,2,0
1,1,1,7,47,0
6,8,14,47,51,0
1,1,1,5,48,0
2,6,5,14,2,0
4,7,14,54,51,0
1,2,2,6,48,0
1,2,2,6,48,0
1,1,1,6,48,0
1,2,2,6,47,0
1,2,2,6,47,0
2,2,3,11,46,0
6,7,16,45,52,0
1,1,1,6,48,0
2,13,7,22,2,0
30,4,28,165,63,0
19,3,23,97,66,0
9,3,10,42,51,0
11,3,9,50,54,0
1,2,2,6,48,0
13,3,11,58,55,0
1,1,1,4,51,0
1,1,1,4,48,0
1,0,1,4,1,0
1,1,1,4,48,0
2,1,2,6,48,0
2,1,2,7,49,0
3,1,3,8,50,0
1,1,1,5,51,0
2,1,2,9,49,0
14,14,36,92,60,0
18,9,32,115,61,0
1,1,1,6,47,0
0,1,0,1,47,0
2,1,3,11,47,0
2,1,2,9,47,0
1,1,1,5,47,0
1,2,2,6,47,0
2,1,2,9,47,0
1,1,1,6,47,0
1,1,1,6,48,0
2,1,2,10,47,0
2,1,2,12,47,0
2,4,11,18,49,0
1,1,1,5,48,0
3,4,6,19,3,0
1,3,2,6,1,0
8,6,12,50,54,1
1,1,1,6,48,0
1,2,2,6,48,0
1,1,1,5,48,0
3,1,3,8,50,0
3,8,6,21,2,0
2,5,4,15,49,0
