WMC,CBO,RFC,LOC,NPM,isExistBug
8,5,14,60,2,0
2,3,5,20,2,0
10,1,5,59,6,0
5,6,8,39,2,0
6,6,7,47,2,0
22,9,21,128,7,0
39,7,31,237,20,0
1,3,1,17,2,0
1,3,1,10,2,0
1,5,1,54,2,0
9,20,39,275,7,0
6,20,43,137,6,0
27,35,89,557,15,0
0,0,0,6,0,0
0,0,0,6,0,0
0,0,0,5,0,0
0,0,0,7,0,0
0,0,0,5,0,0
1,0,1,6,1,0
7,8,19,68,6,0
1,11,14,23,1,0
12,19,20,129,4,0
1,3,2,7,2,0
2,2,1,15,1,0
1,3,2,7,2,0
4,3,3,20,1,0
3,5,6,41,1,0
37,22,69,319,15,0
1,5,3,10,24,0
1,1,1,7,1,0
1,1,1,7,1,0
1,2,2,7,1,0
1,2,2,7,1,0
47,7,22,404,3,0
0,0,0,5,0,0
0,0,0,7,0,0
27,13,33,193,10,0
2,4,4,9,1,0
1,2,2,7,1,0
3,8,8,27,2,0
1,4,2,7,4,0
79,21,56,770,17,0
1,0,1,7,1,0
6,0,1,24,1,0
5,0,1,50,1,0
3,3,3,18,3,0
2,1,2,14,2,0
9,4,9,77,4,0
5,1,4,37,4,0
8,1,6,52,4,0
1,1,2,7,1,0
1,1,2,7,1,0
1,1,2,7,1,0
14,1,10,66,5,0
11,1,6,57,5,0
16,1,8,80,7,0
23,2,39,164,37,0
21,13,46,138,21,0
12,1,12,86,10,0
6,1,7,47,6,0
14,1,13,97,11,0
11,1,12,93,11,0
4,13,7,28,13,0
1,6,3,7,1,0
1,4,1,7,1,0
12,13,26,105,6,0
2,3,3,17,9,0
5,13,14,55,3,0
4,11,5,32,15,0
4,4,4,25,4,0
45,42,62,362,0,0
2,8,7,17,2,0
1,4,2,7,1,0
1,1,1,11,1,0
3,0,3,21,2,0
2,6,6,16,2,0
23,37,62,416,12,0
17,2,7,80,5,0
2,9,12,29,1,0
5,0,2,25,2,0
28,23,34,223,2,0
4,0,3,22,0,0
14,11,16,212,9,0
3,6,8,21,3,0
2,2,5,33,2,0
1,0,1,7,1,0
7,16,30,97,2,0
16,18,31,134,1,0
18,8,26,284,14,0
3,7,11,25,12,0
16,18,22,116,6,0
1,5,3,8,1,0
2,4,4,13,2,0
1,2,1,7,1,0
8,8,10,46,7,0
0,3,1,10,0,0
29,32,46,220,2,0
1,3,2,8,1,0
3,2,4,24,1,0
7,6,13,49,12,0
2,1,2,15,1,0
34,27,56,494,12,0
2,0,1,8,1,0
6,5,5,40,10,0
7,6,14,68,5,0
1,1,2,12,1,0
3,6,5,19,7,0
1,1,1,8,2,0
0,4,0,6,13,0
0,4,0,6,13,0
2,5,3,16,10,0
13,1,8,97,5,0
0,1,0,4,5,0
0,1,0,4,2,0
0,1,0,4,5,0
0,1,0,4,2,0
0,1,0,4,5,0
3,0,3,28,2,0
0,3,6,79,0,0
9,0,7,57,7,0
8,2,7,51,6,0
3,3,3,21,3,0
12,2,7,57,3,0
4,1,3,16,1,0
13,0,9,70,9,1
5,48,41,174,4,1
1,3,3,7,1,0
7,3,4,35,3,0
30,19,42,220,12,1
5,4,9,36,4,0
2,20,10,54,2,1
3,5,4,18,3,1
2,5,4,13,2,1
1,2,2,7,1,0
4,5,6,24,3,1
4,4,7,33,4,0
1,2,3,9,1,0
14,13,25,98,11,0
1,3,2,7,1,0
4,3,3,28,3,0
8,3,6,45,5,0
15,11,19,108,12,1
12,8,11,91,1,1
2,3,2,15,2,1
2,13,12,68,2,0
1,0,1,7,1,0
1,2,1,8,1,0
1,0,1,7,1,0
1,1,1,7,1,0
1,2,3,11,1,0
3,6,1,27,1,0
10,5,8,49,4,0
1,2,1,6,1,0
5,6,6,30,4,0
4,4,6,22,2,0
18,3,9,76,2,0
9,15,22,74,9,0
5,4,5,32,4,0
4,5,5,24,2,0
1,1,1,13,1,0
27,52,86,228,31,1
19,5,20,116,19,1
3,4,5,19,3,0
2,4,4,13,2,1
1,2,2,7,1,0
4,5,6,24,3,1
4,4,8,25,4,0
4,5,7,33,4,0
1,3,3,9,1,0
21,14,25,158,8,0
1,4,2,8,7,0
1,3,2,7,1,0
5,7,6,29,8,0
12,1,7,68,6,0
16,1,8,80,7,0
13,0,8,71,7,0
8,3,9,64,3,0
1,4,8,22,1,0
4,0,4,22,4,0
24,14,24,189,9,1
1,3,2,7,1,0
1,3,2,7,1,0
1,3,2,7,1,0
7,3,14,56,5,1
1,1,1,12,1,0
27,15,31,216,9,1
3,3,3,17,3,0
5,3,8,47,1,1
2,2,2,11,1,1
1,3,2,7,1,0
1,3,2,7,1,0
6,5,10,36,4,1
1,1,1,12,1,0
41,1,19,177,17,0
2,2,10,40,2,0
4,16,25,125,2,0
1,0,1,8,1,0
3,3,4,19,3,0
1,1,2,8,10,0
2,2,2,13,2,0
3,2,3,17,3,0
1,3,1,9,1,0
7,13,14,58,6,0
3,5,4,19,3,0
2,5,4,13,2,0
1,4,2,8,5,0
1,4,1,10,1,0
3,4,5,20,3,0
3,2,3,28,2,0
13,1,21,79,13,0
5,2,5,28,5,0
7,6,13,105,3,0
4,2,6,15,2,0
18,1,14,109,11,0
8,1,9,56,8,0
9,14,17,85,7,0
1,3,2,8,1,0
8,23,20,110,7,1
4,11,10,38,1,0
1,4,5,8,1,0
1,4,4,8,1,0
5,9,7,34,9,1
1,3,2,7,1,0
2,6,4,10,1,1
6,5,9,42,6,0
1,3,3,7,1,0
2,2,3,7,1,0
1,3,3,7,1,0
2,6,3,16,2,0
1,3,2,7,1,0
1,3,2,7,1,0
3,7,4,26,2,0
1,2,2,7,1,0
2,6,6,11,1,0
1,3,2,10,1,0
2,4,4,19,2,0
1,3,5,7,1,0
23,10,23,161,14,0
2,2,2,15,2,0
4,5,3,30,1,0
5,1,2,24,2,0
10,1,5,58,5,0
8,1,4,44,4,0
8,1,4,44,4,0
3,3,8,31,3,0
6,1,4,35,1,0
5,5,13,45,1,0
7,1,6,45,1,0
7,5,14,62,2,0
3,5,5,21,3,0
6,0,6,46,6,0
3,0,3,19,3,0
4,0,4,25,4,0
12,0,5,56,5,0
9,0,5,51,5,0
2,6,1,20,1,0
6,15,6,86,1,0
3,6,1,31,1,0
5,9,1,45,1,0
9,14,2,85,1,0
17,3,14,99,9,0
12,1,9,67,8,0
3,6,10,51,3,0
4,0,4,25,4,0
5,0,4,29,4,0
11,0,5,49,5,0
2,6,1,20,1,0
27,17,6,230,1,0
1,11,14,37,1,0
2,11,10,52,2,0
2,27,29,141,1,0
1,3,3,7,1,0
1,3,3,7,1,0
1,3,3,7,1,0
2,4,2,13,8,0
2,4,2,13,8,0
2,4,2,13,8,0
14,30,32,126,4,1
1,1,1,7,1,0
6,3,6,37,6,1
2,2,2,13,2,0
3,4,2,18,1,0
8,2,8,76,2,0
3,2,6,29,3,0
3,11,18,88,1,0
0,0,0,2,0,0
6,0,6,42,6,0
26,7,21,163,17,0
16,2,8,95,6,0
3,0,3,19,3,0
13,0,6,65,6,0
3,0,3,19,3,0
8,0,4,43,4,0
2,6,1,20,1,0
42,21,5,341,1,0
5,19,28,132,5,0
12,1,9,68,7,0
13,12,27,94,12,0
14,9,13,72,19,0
10,10,12,61,18,0
1,3,2,7,1,0
63,23,75,358,45,0
1,5,3,7,1,0
1,3,2,7,1,0
1,3,2,7,1,0
1,3,2,7,1,0
1,6,4,8,1,0
1,6,4,7,1,0
29,3,18,134,14,0
49,24,56,293,39,0
2,6,5,25,1,0
1,4,3,7,1,0
1,2,2,7,1,0
1,3,2,7,1,0
5,6,7,39,2,0
5,3,6,32,3,0
12,1,9,68,6,0
50,15,39,273,31,0
1,3,2,7,1,0
1,3,2,7,1,0
1,3,2,7,1,0
1,3,2,7,1,0
34,17,36,204,29,0
1,3,1,7,7,0
