WMC,CBO,RFC,LOC,NPM,isExistBug
4,0,2,34,2,0
5,7,5,26,5,0
0,0,0,5,0,0
0,1,0,5,1,0
9,1,9,19,9,0
0,1,0,5,1,0
15,4,15,33,14,0
10,2,10,27,9,0
0,2,0,18,0,0
3,0,3,15,3,0
0,1,0,5,1,0
0,1,0,5,1,0
5,0,5,23,5,0
50,9,30,315,19,1
4,3,4,21,2,0
28,16,44,182,30,1
33,20,42,223,28,1
1,5,4,7,13,0
11,19,18,63,14,0
190,11,162,1007,148,1
31,5,22,141,16,0
219,4,194,1608,94,0
19,5,58,403,105,0
8,3,11,41,148,0
45,3,23,218,18,1
24,2,8,93,5,1
25,3,10,97,148,1
1,2,2,5,106,0
2,3,5,17,94,0
4,5,7,26,96,0
77,4,38,385,15,0
21,6,23,190,10,0
1,2,1,6,1,0
2,2,1,7,1,0
1,2,1,6,1,0
1,2,1,6,1,0
1,2,1,6,1,0
1,2,1,6,1,0
1,2,1,6,1,0
2,2,1,7,1,0
2,2,1,7,1,0
2,2,1,7,1,0
2,4,5,40,2,0
42,1,37,214,25,0
22,1,24,111,17,0
12,4,46,177,2,0
2,2,6,32,2,0
13,5,18,60,9,1
278,11,221,1514,170,1
4,3,5,25,0,0
46,2,22,264,29,0
8,2,5,41,3,0
3,4,6,21,95,0
36,4,73,203,150,1
167,5,154,830,148,1
42,4,50,212,33,1
4,0,4,18,4,0
1,2,2,5,106,0
2,3,6,17,94,0
2,3,5,16,94,0
52,8,29,295,1,0
11,7,16,51,1,0
7,5,10,35,1,0
49,4,27,331,1,0
21,4,11,109,1,0
23,2,8,137,1,0
1,1,1,13,0,0
29,9,24,164,148,1
1,1,1,9,0,0
25,7,16,136,21,1
1,2,2,8,0,1
39,4,45,259,148,1
33,4,45,236,148,1
54,6,63,279,148,1
22,2,22,111,33,0
39,6,63,201,152,1
18,3,54,144,18,0
42,6,76,253,151,1
3,4,6,23,95,0
157,7,279,844,149,1
140,12,86,778,49,1
5,5,10,28,16,0
83,7,58,466,150,1
54,4,55,339,150,1
42,4,85,510,26,0
83,22,99,504,44,1
1,3,2,6,1,0
85,24,71,413,15,1
1,0,1,6,1,0
1,1,2,6,1,0
1,1,1,7,1,0
1,3,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,3,2,12,0,0
4,8,5,24,1,0
7,6,10,35,25,1
3,17,17,32,1,0
1,7,4,8,13,0
1,3,1,6,13,0
2,4,4,11,20,0
2,4,3,10,20,0
9,8,11,54,44,1
5,4,6,28,16,1
1,1,2,6,1,0
1,1,2,6,1,0
4,0,4,18,4,0
7,6,14,78,20,0
4,0,4,31,4,0
30,3,17,190,8,0
4,2,4,24,0,0
3,1,3,5,0,0
1,2,1,6,1,0
2,2,1,8,1,0
2,2,1,8,1,0
7,3,9,69,6,1
5,7,10,34,15,0
17,10,18,122,14,1
6,9,11,43,13,0
4,1,3,38,3,0
7,6,14,78,14,0
3,1,3,71,8,1
5,8,10,34,17,0
22,15,27,140,16,0
4,1,8,31,8,0
11,3,8,48,3,0
8,3,6,31,2,0
5,3,10,51,12,1
50,5,19,221,9,0
16,5,8,76,1,0
3,2,1,12,1,0
20,2,13,95,7,0
40,12,45,221,32,1
21,4,14,100,16,0
4,4,14,37,4,0
5,3,6,26,16,0
11,4,18,56,20,0
36,5,17,160,13,1
304,36,162,1486,51,1
1,1,2,6,1,0
1,1,2,6,1,1
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,0
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,1
1,1,2,6,1,0
1,1,2,6,1,0
2,1,3,8,1,1
12,5,23,68,0,0
10,3,5,47,0,0
178,24,161,1017,73,1
1,1,3,9,1,1
1,1,3,9,1,0
1,1,3,9,1,1
1,1,3,9,1,1
1,1,2,8,1,0
1,1,2,8,1,0
7,9,10,40,16,0
19,15,35,107,16,1
3,7,7,18,16,0
19,9,22,85,14,1
24,14,31,228,9,0
2,2,4,11,14,0
1,1,4,8,1,0
1,3,4,9,15,0
1,2,5,8,1,0
1,5,4,9,17,0
1,2,5,8,1,0
6,1,5,33,5,0
1,1,4,8,1,0
2,2,3,14,14,0
2,5,4,12,20,0
95,13,43,468,21,0
1,0,1,6,0,0
3,3,2,12,1,0
1,1,2,6,1,0
1,1,1,9,0,0
6,3,6,27,17,0
3,4,5,22,7,0
13,4,8,66,9,0
4,1,8,20,8,0
9,4,8,50,17,0
2,2,5,16,2,0
30,6,19,140,5,0
