WMC,CBO,RFC,LOC,NPM,isExistBug
9,5,8,78,4,0
46,5,15,387,5,0
6,5,8,42,36,0
142,32,84,731,33,1
5,8,4,22,2,1
2,1,2,17,2,0
16,14,23,73,3,0
17,11,9,107,3,0
2,1,2,25,2,0
64,14,33,318,18,0
21,27,30,189,5,0
2,1,2,14,2,0
25,15,22,116,1,0
26,20,13,82,2,0
5,3,5,19,3,0
74,39,54,403,49,0
106,57,83,700,36,0
13,10,7,36,5,0
44,46,41,238,12,0
24,16,24,79,35,0
12,8,25,59,2,0
45,12,47,249,25,0
20,11,20,49,20,0
18,14,21,76,38,0
34,4,10,152,25,0
2,0,1,13,1,0
1,2,2,3,39,0
86,40,106,413,45,0
19,5,3,100,2,0
64,52,70,288,63,0
52,7,35,291,22,0
5,5,7,25,4,0
1,3,2,5,12,0
5,9,10,36,11,0
1,3,2,10,8,0
1,6,2,13,14,0
1,3,2,8,12,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,7,8,0
1,2,2,7,8,0
7,16,18,45,13,0
1,2,2,6,15,0
2,4,2,16,16,0
1,2,2,5,4,0
1,4,3,13,8,0
7,20,21,56,10,0
1,8,6,13,15,0
1,5,2,11,14,0
5,9,6,31,16,0
1,4,2,5,16,0
1,9,8,25,15,0
1,14,13,38,17,0
1,11,4,15,17,0
1,13,10,29,17,0
1,10,4,14,17,0
5,11,9,26,12,0
7,14,13,59,4,0
2,7,4,16,5,0
1,2,2,8,5,0
5,9,6,30,5,1
5,6,4,21,15,0
1,3,2,6,13,0
1,10,8,13,12,0
3,9,9,20,11,0
1,4,2,8,15,0
1,4,4,17,4,0
3,2,3,13,3,0
7,13,13,55,4,0
2,7,4,16,5,0
1,11,3,18,16,0
1,4,2,16,4,0
3,4,2,10,8,0
38,36,41,221,11,1
28,6,16,146,3,0
1,3,2,5,5,0
5,10,9,33,12,0
5,7,10,25,5,0
10,6,7,45,7,0
1,10,5,14,16,0
1,4,2,15,8,0
10,7,8,36,8,0
0,0,0,4,0,0
1,4,2,5,9,0
1,4,2,7,9,0
1,5,3,16,8,0
1,2,2,5,5,0
5,9,6,30,5,1
1,2,2,8,4,0
1,2,2,8,5,0
1,2,2,8,5,0
1,2,2,5,6,0
1,1,2,3,5,0
1,1,2,3,5,0
1,2,2,8,5,0
1,2,2,3,6,0
1,2,2,8,5,0
1,2,2,13,5,0
1,2,2,7,6,0
1,2,2,9,5,0
1,2,2,8,5,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,10,5,0
1,3,2,13,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,8,5,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,5,6,0
1,2,2,8,5,0
0,1,0,2,3,0
8,12,11,37,23,0
1,2,2,5,12,0
12,4,9,45,14,0
7,3,8,33,15,0
1,2,2,7,16,0
1,2,2,7,16,0
2,2,3,10,18,0
1,2,2,5,16,0
1,2,2,5,16,0
2,2,3,10,18,0
7,4,5,31,11,0
1,2,2,5,12,0
1,2,2,9,12,0
1,2,2,6,13,0
15,15,18,63,19,0
1,2,2,7,12,0
1,2,2,5,13,0
1,2,2,5,12,0
27,1,5,118,5,0
4,1,3,17,2,0
12,2,6,60,3,0
5,0,3,14,3,0
10,0,9,24,9,0
7,0,6,32,6,0
28,3,13,123,11,0
9,4,11,43,6,0
0,0,0,2,0,0
63,8,10,246,5,0
12,4,5,103,3,1
3,3,5,19,3,0
7,4,6,42,4,0
1,1,2,7,5,0
2,0,2,11,2,0
7,1,5,45,26,0
37,3,22,200,22,0
5,7,7,34,10,0
4,8,4,42,4,0
94,9,46,427,28,1
31,8,39,260,23,0
7,6,11,72,4,0
17,4,14,88,32,0
1,3,1,30,5,0
61,23,65,718,7,0
15,11,12,118,9,0
9,10,14,56,14,0
1,3,5,6,9,0
2,2,3,27,51,0
61,14,70,391,63,0
8,8,11,57,66,0
7,9,11,42,13,0
32,7,19,216,9,0
4,8,8,46,12,0
120,32,108,799,74,0
4,9,9,23,4,0
5,4,4,19,4,0
37,27,48,205,77,0
55,12,32,225,49,0
10,8,9,64,5,0
13,8,13,128,8,0
35,12,33,224,26,1
0,1,0,3,0,0
44,10,36,200,27,0
91,8,47,418,30,0
3,4,6,14,4,0
5,3,5,23,5,0
4,2,5,31,2,0
49,3,21,283,15,0
48,7,29,299,17,0
19,14,18,167,9,0
26,7,18,160,13,0
56,12,38,275,28,0
6,3,6,30,26,0
8,3,3,24,2,0
1,2,2,5,27,0
11,1,10,58,9,0
139,44,46,688,3,0
119,28,32,528,9,0
14,9,24,167,13,0
17,3,15,114,14,0
1,2,2,7,5,0
6,3,7,36,8,0
19,2,11,94,23,0
5,4,7,29,7,0
1,2,1,8,14,0
1,1,1,8,14,0
1,2,1,8,14,0
0,2,0,3,14,0
0,1,0,4,14,0
7,2,8,33,28,0
5,3,6,22,7,0
31,16,23,221,4,0
16,10,17,88,21,0
104,28,68,693,25,1
1,1,1,13,0,0
21,8,17,171,7,0
10,5,12,74,8,0
11,6,12,96,8,0
11,5,14,99,8,0
10,5,12,74,8,0
7,5,11,58,6,0
7,5,11,58,6,0
10,5,12,74,8,0
7,5,11,58,6,0
10,5,12,73,8,0
1,1,1,8,14,0
6,6,7,22,11,0
1,2,3,7,29,0
1,2,2,5,27,0
238,42,128,1449,23,1
1,3,1,8,14,0
1,2,1,7,14,0
6,6,8,33,9,0
6,6,8,36,9,0
128,13,38,693,19,0
1,1,1,6,1,0
5,1,3,27,3,0
7,5,8,27,2,0
1,3,2,5,21,0
6,4,7,30,7,0
1,2,1,9,14,0
1,1,1,8,14,0
5,4,6,46,7,0
19,5,7,104,4,0
19,7,12,87,9,0
19,7,12,87,9,0
11,3,9,57,10,0
12,4,10,48,8,0
6,6,9,31,7,0
18,2,12,66,21,0
1,2,1,7,14,0
1,3,1,20,14,0
2,3,3,10,15,0
1,2,1,7,14,0
6,4,5,55,4,0
0,11,0,12,0,0
5,3,5,19,6,0
20,7,15,165,10,0
1,1,1,6,1,0
17,4,5,60,2,0
14,6,12,120,7,0
2,1,2,13,2,0
2,3,3,11,3,0
0,1,0,3,2,0
98,6,36,453,24,0
6,1,5,34,4,0
10,0,6,44,6,0
55,6,30,241,20,0
2,0,2,11,2,0
5,0,1,67,1,0
4,0,1,22,1,0
59,1,25,257,24,0
6,2,13,26,30,0
33,0,17,131,17,0
132,6,52,593,35,1
4,0,2,25,2,0
9,2,7,57,6,0
2,0,2,25,2,0
5,1,3,20,2,0
9,0,7,101,6,0
64,2,15,234,2,0
4,1,2,37,2,0
16,0,13,95,13,0
1,0,1,9,1,0
4,0,4,19,4,0
