WMC,CBO,RFC,LOC,NPM,isExistBug
0,0,0,2,0,0
9,4,10,56,10,0
1,3,1,7,2,0
37,8,18,205,8,0
6,3,6,24,12,0
3,3,5,14,3,0
15,9,25,111,5,0
1,2,1,6,6,0
11,3,12,120,7,0
43,33,77,260,32,0
3,5,6,18,1,0
8,6,7,45,2,0
2,1,2,11,10,0
1,3,1,7,1,0
11,3,10,52,16,0
4,4,2,19,1,0
8,5,12,41,5,0
2,2,3,11,14,0
10,5,9,50,13,0
3,3,5,14,3,0
14,5,11,52,15,0
3,6,5,18,1,0
11,9,17,54,5,0
9,2,8,41,15,0
5,6,5,27,2,0
21,15,30,84,5,0
8,2,4,35,4,0
19,5,13,106,11,0
2,2,3,14,17,0
19,4,14,97,18,0
7,7,5,39,2,0
28,13,30,150,5,0
7,2,7,29,13,0
5,9,7,17,2,0
6,10,12,26,5,0
1,0,1,32,1,0
8,6,11,81,13,0
3,5,7,16,5,0
10,3,8,44,15,0
5,6,5,28,2,0
10,9,18,54,5,0
3,3,5,17,10,0
3,5,5,13,5,0
14,5,14,111,19,0
1,2,2,11,2,0
6,2,3,22,20,0
2,6,3,14,1,0
12,7,17,53,3,0
6,2,3,22,20,0
2,6,3,14,1,0
15,11,26,71,3,0
44,6,14,138,23,0
2,6,3,14,1,0
16,11,23,92,3,0
12,5,12,63,9,0
6,2,8,27,3,0
9,4,13,62,6,0
11,3,11,60,2,0
3,3,5,22,1,0
3,1,3,14,1,0
10,5,11,48,2,1
53,5,22,155,5,1
3,2,9,184,3,0
3,5,10,15,15,0
2,1,3,10,6,0
34,21,60,166,24,1
8,3,10,42,21,0
2,4,6,14,15,0
1,1,1,18,1,0
9,11,14,53,20,0
2,3,3,17,2,0
2,4,2,11,1,0
9,11,15,52,20,0
8,10,16,45,39,1
44,20,46,197,17,1
1,3,3,7,1,0
1,3,3,6,1,0
65,47,109,325,28,1
3,3,4,11,1,1
3,3,4,14,1,0
30,15,40,121,1,1
11,15,25,49,2,1
4,12,22,80,1,0
3,4,3,9,7,0
3,0,3,18,3,0
3,4,2,15,0,0
4,2,4,25,4,0
20,29,72,355,45,0
2,2,3,10,1,0
2,2,3,10,1,0
3,3,2,8,1,0
5,4,5,19,4,0
1,3,2,5,1,0
2,2,2,10,7,0
3,1,2,12,1,0
2,1,1,9,1,0
11,1,7,38,6,0
1,1,2,6,20,0
6,3,8,27,6,0
5,5,5,21,4,0
27,17,39,281,36,0
4,3,4,20,3,0
3,2,7,59,3,0
59,12,50,427,23,0
1,4,4,7,1,0
1,4,4,6,1,0
1,4,4,6,1,0
3,4,2,13,1,0
11,2,9,42,2,0
13,15,10,34,1,0
3,6,7,31,3,0
20,4,13,80,11,0
9,8,15,51,41,1
3,8,15,46,32,0
1,2,1,6,1,0
1,2,1,6,1,0
1,2,1,5,6,0
16,7,18,82,15,0
11,5,14,65,11,1
4,4,7,23,3,0
8,12,24,101,33,0
2,2,2,12,2,0
1,2,2,6,1,0
1,2,2,6,1,0
3,2,3,15,3,0
6,10,9,30,30,0
4,6,10,24,1,0
1,6,8,13,1,0
1,0,1,11,0,0
19,4,12,72,8,0
