WMC,CBO,RFC,LOC,NPM,isExistBug
2,5,5,26,1,0
2,5,12,26,1,0
1,2,6,39,1,0
1,7,12,65,1,0
2,2,5,13,2,0
11,0,4,32,4,0
1,4,7,20,1,0
3,4,4,22,40,0
2,5,4,21,1,0
4,2,1,9,1,0
1,8,12,70,1,0
3,1,4,16,3,0
1,2,1,5,1,0
1,7,15,50,1,0
1,8,14,36,1,0
2,7,10,35,1,0
2,5,9,26,1,0
1,4,6,27,1,0
1,6,5,30,1,0
1,2,1,6,1,0
1,6,6,19,1,0
1,2,1,5,1,0
3,4,8,73,1,0
1,5,9,19,1,0
1,3,2,6,1,0
7,6,7,87,1,0
5,3,12,61,1,0
1,3,10,30,1,0
1,2,3,20,1,0
60,11,40,472,19,1
10,1,3,35,2,1
10,6,14,88,5,0
2,3,4,12,1,0
2,2,4,14,43,0
1,0,1,38,0,1
8,2,9,67,6,0
30,2,19,171,16,0
30,2,19,172,16,0
8,2,9,63,6,0
9,2,9,66,6,1
7,4,17,83,7,0
2,2,2,4,1,0
20,4,35,183,16,0
2,2,2,4,1,0
21,5,39,199,17,0
2,2,2,4,1,0
13,4,8,191,4,1
5,1,2,24,4,0
5,1,2,24,4,0
5,2,2,25,4,0
5,2,5,24,4,1
24,5,10,84,7,1
35,5,10,120,7,1
46,5,10,151,7,1
21,13,26,202,8,0
264,29,105,1143,46,1
4,3,8,20,3,0
28,7,11,109,2,0
4,3,6,18,3,0
4,3,7,19,3,0
125,4,67,425,39,0
1,1,2,7,4,0
1,1,2,8,4,0
1,1,2,7,4,0
5,1,6,25,3,0
10,1,9,34,7,0
22,3,14,68,9,0
38,4,32,114,27,0
9,1,8,26,7,0
49,9,16,151,3,1
123,7,71,416,39,0
4,0,4,22,4,0
9,2,11,33,7,0
906,3,130,7744,93,0
7,7,10,44,82,0
45,1,35,491,34,0
2,1,3,18,36,0
2,1,3,16,36,0
18,2,21,279,18,0
103,3,64,864,53,0
1,0,1,5,1,0
35,9,46,298,17,0
7,7,10,42,82,0
45,4,21,250,89,0
167,8,94,1785,45,0
4,0,3,19,3,0
4,0,1,15,1,0
2,0,2,9,2,0
2,0,1,8,1,0
142,4,101,1403,93,0
166,5,82,1204,61,0
27,1,12,56,0,0
130,6,61,905,37,0
27,0,12,60,0,0
1,0,1,5,1,0
119,3,73,1103,65,0
1,0,1,5,1,0
1,4,5,15,11,0
15,9,16,196,9,0
5,2,3,12,1,0
2,2,2,11,1,0
5,3,3,19,1,0
1,2,1,5,1,0
1,2,2,15,1,0
3,1,3,16,3,0
2,2,3,15,1,0
3,1,3,16,3,0
3,2,3,15,1,0
3,1,3,16,3,0
10,2,3,38,1,0
3,1,1,11,1,0
7,5,11,45,2,0
1,0,1,34,0,0
11,8,14,57,32,0
21,5,25,152,18,0
1,0,1,9,0,0
16,6,29,117,27,0
27,8,33,167,18,0
1,0,1,6,1,0
2,1,2,14,3,0
2,1,2,14,3,0
31,0,5,250,2,0
2,6,12,52,2,0
137,1,32,778,81,0
160,32,97,985,42,1
15,7,20,101,14,0
12,2,14,80,11,0
14,5,15,91,12,0
92,23,87,760,40,1
2,2,5,9,1,1
28,19,59,327,26,0
7,6,20,69,7,0
18,2,20,110,18,0
21,1,19,126,18,0
19,2,36,130,31,0
22,0,9,207,4,0
35,2,31,232,19,0
23,3,34,125,17,1
8,4,15,60,24,0
1,0,1,11,1,0
15,5,18,51,22,0
8,2,6,29,1,0
11,3,12,63,27,1
9,4,14,44,21,0
14,3,28,72,30,1
3,7,7,29,1,1
18,18,36,82,18,0
8,4,11,55,7,1
1,0,1,5,1,0
1,1,1,6,1,0
1,3,1,6,1,0
1,3,1,6,1,0
26,1,5,54,5,1
35,1,5,70,5,1
44,1,5,83,5,1
39,4,17,142,7,0
204,15,65,1075,25,0
6,4,3,22,2,0
14,1,2,52,2,0
4,1,4,25,4,0
13,1,7,54,7,0
9,1,8,35,5,0
2,3,3,11,3,0
4,2,6,34,4,0
4,2,3,20,2,0
8,3,5,27,2,0
33,3,11,147,2,0
2,2,2,11,3,0
9,3,14,50,8,0
1,0,1,15,1,0
2,2,2,11,3,0
65,10,60,525,17,0
1,1,1,6,25,0
1,1,1,6,25,0
1,1,1,6,25,0
1,1,1,6,25,0
7,5,10,37,82,0
12,7,19,113,10,0
1,5,8,18,1,0
1,2,7,8,1,0
12,2,13,92,2,0
6,9,27,105,3,0
11,0,3,40,3,0
2,2,3,16,2,0
1,8,17,32,1,0
2,3,6,19,2,0
17,0,6,54,6,0
3,5,18,91,3,0
3,3,8,32,1,0
2,1,2,7,1,0
2,1,2,7,1,0
4,7,19,62,2,0
7,0,4,29,4,0
2,2,3,15,2,0
3,4,10,27,1,0
13,0,9,64,9,0
2,3,8,15,1,0
1,6,14,50,1,0
2,1,2,14,2,0
2,5,11,16,1,0
6,3,7,46,1,0
6,9,18,77,4,0
1,2,2,12,1,0
3,4,5,24,1,0
14,1,5,55,3,0
2,4,5,25,2,0
11,1,4,49,3,0
2,2,3,19,2,0
8,2,11,61,3,0
9,3,15,57,2,0
3,4,8,19,3,0
0,0,0,2,0,0
6,4,9,33,3,0
5,1,5,22,4,0
9,3,17,68,3,0
2,9,12,26,1,0
1,3,6,12,1,0
1,0,1,36,1,0
19,2,35,164,31,0
4,3,8,25,4,0
63,6,29,480,18,0
2,0,2,18,0,0
15,3,6,54,2,0
1,2,2,7,3,0
4,3,5,24,6,0
59,2,16,347,0,0
1,2,2,7,3,0
26,1,37,233,20,0
47,6,28,353,12,0
3,1,3,17,3,0
4,2,8,21,4,0
7,0,5,34,5,0
7,2,9,36,10,0
32,0,14,234,9,0
41,6,25,330,12,0
14,2,5,71,2,0
1,0,1,14,1,0
5,4,7,24,6,0
2,3,4,12,3,0
11,3,21,123,6,0
1,1,1,3,12,0
11,1,12,85,9,0
263,0,68,1585,58,0
18,5,10,47,2,0
1,2,1,8,1,0
39,14,25,285,7,1
5,1,4,24,3,0
8,0,3,40,3,0
31,11,35,180,8,0
1,2,1,6,1,0
1,0,1,25,0,1
6,6,13,69,22,0
14,6,15,59,21,0
20,6,21,118,17,1
10,0,3,32,3,0
5,3,8,20,3,0
19,6,14,60,21,0
3,3,15,75,3,0
33,0,2,92,2,0
4,10,20,94,5,0
0,0,0,6,0,0
29,1,4,68,4,0
3,2,2,17,2,0
4,1,2,13,2,0
2,1,2,11,2,0
3,1,2,12,2,0
2,2,2,12,2,0
6,1,2,17,2,0
3,1,2,18,2,0
525,15,58,1608,5,1
6,0,3,48,3,0
0,0,0,14,0,0
83,7,50,436,47,0
1,2,3,9,47,0
63,10,39,400,15,1
9,3,4,42,2,0
12,1,11,68,10,0
12,0,6,66,5,0
2,2,3,13,0,0
3,2,4,17,0,0
30,15,52,282,26,0
16,0,5,51,3,0
11,1,7,32,5,0
3,0,3,19,3,0
1,0,1,9,1,0
0,0,0,5,0,0
42,10,35,237,25,1
1,1,1,6,0,0
86,14,74,610,27,1
