WMC,CBO,RFC,LOC,NPM,isExistBug
19,3,19,75,16,0
14,7,22,142,12,0
45,9,60,569,31,0
16,4,24,164,12,0
3,3,6,21,2,0
7,1,2,44,1,0
1,0,1,7,1,0
1,0,1,7,1,0
3,3,8,15,4,0
9,2,12,43,4,0
5,4,3,23,1,0
5,4,11,25,5,1
9,5,10,48,2,1
5,4,9,22,2,0
5,4,9,22,2,0
22,6,20,98,1,0
4,3,6,21,2,0
4,5,13,26,2,0
26,7,16,121,2,0
6,4,5,50,2,0
14,3,12,66,2,1
16,6,17,82,3,0
2,3,6,10,4,0
23,8,20,108,3,0
6,8,10,40,4,1
4,4,8,24,2,0
7,5,9,34,2,1
5,3,6,29,2,0
21,8,19,118,2,0
6,8,11,30,2,0
6,7,11,31,2,0
33,9,26,149,2,1
6,8,12,30,2,0
20,12,27,105,3,1
6,5,14,34,3,0
23,3,16,97,3,0
6,5,14,34,3,0
4,5,10,27,1,0
3,4,6,21,1,1
7,3,8,40,1,0
55,8,16,209,2,1
7,5,10,38,1,0
4,5,8,25,1,0
10,8,12,42,1,0
2,1,2,23,1,1
18,8,22,96,1,0
6,6,11,45,1,1
13,8,15,74,1,0
14,6,15,79,1,1
5,6,8,33,1,1
15,6,12,85,1,0
3,5,7,22,1,0
7,6,13,48,1,0
3,4,6,22,1,0
10,7,16,49,1,1
28,13,33,174,3,1
3,4,6,22,1,0
15,11,25,87,2,1
15,9,21,73,2,1
6,6,14,46,2,0
19,8,15,82,2,0
23,5,15,89,4,0
22,5,15,87,4,0
31,5,18,112,4,0
13,4,14,57,4,0
43,9,26,159,4,1
52,5,22,156,4,0
36,8,30,140,4,0
46,11,31,146,4,0
25,16,37,146,3,0
14,4,10,77,2,1
28,8,21,108,4,0
24,5,16,95,4,0
45,6,24,154,4,0
34,5,18,124,4,0
23,6,19,87,4,0
5,5,7,43,2,0
9,7,10,39,1,0
14,7,19,73,2,0
201,2,200,293,201,1
21,3,8,112,4,0
143,6,139,285,135,1
13,1,6,79,2,0
9,1,7,48,7,0
15,4,8,87,5,0
16,2,7,107,4,0
11,2,6,71,4,0
15,4,8,91,4,0
8,2,7,35,5,0
29,3,27,67,26,0
92,6,32,427,3,1
12,5,11,61,6,0
65,11,37,684,11,1
1,1,1,6,1,0
146,12,48,1160,11,1
1,0,1,9,1,0
15,0,15,75,15,0
17,0,17,85,17,0
5,0,5,25,5,0
7,1,8,36,12,0
44,4,24,206,23,1
116,36,111,651,80,1
39,10,39,254,27,0
3,1,4,17,3,0
19,7,23,92,14,0
1,5,6,51,1,0
1,5,7,14,1,0
1,1,1,6,1,0
32,6,30,288,3,0
28,1,28,123,33,0
3,1,4,16,12,0
16,1,16,71,21,0
3,1,4,16,12,0
9,0,9,45,9,0
2,1,4,9,12,0
12,0,12,87,10,0
3,1,5,20,13,0
7,2,8,48,6,0
4,2,5,28,10,0
5,2,6,38,11,0
1,0,1,5,1,0
1,0,1,5,1,0
1,0,1,5,1,0
1,0,1,5,1,0
1,0,1,5,1,0
1,0,1,5,1,0
9,0,9,62,9,0
9,1,8,67,8,0
5,0,5,36,5,0
5,2,6,36,4,0
4,3,6,26,8,0
2,3,4,14,6,0
7,2,8,36,11,0
2,1,3,13,13,0
5,2,6,27,9,0
6,2,7,46,10,0
4,2,5,24,8,0
99,23,66,308,8,1
118,19,54,509,14,1
26,8,22,113,8,1
121,33,100,533,14,1
4,4,7,21,1,0
11,8,16,71,4,0
9,3,12,66,5,0
15,1,9,102,3,1
47,41,76,320,18,1
23,4,13,236,3,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
