WMC,CBO,RFC,LOC,NPM,isExistBug
10,3,5,81,2,0
6,2,10,82,6,0
5,1,5,40,3,0
14,2,7,137,3,0
1,0,1,6,1,0
5,2,10,78,3,0
2,3,9,45,1,0
2,0,2,19,2,0
1,0,1,11,1,0
59,5,41,374,31,0
7,0,4,85,3,0
54,5,39,335,29,0
26,2,19,143,18,0
1,0,1,22,1,0
27,2,21,149,20,0
2,0,2,11,0,0
4,1,4,24,2,0
5,7,9,24,4,0
2,1,3,20,1,0
3,0,3,17,0,0
2,1,5,15,2,0
29,3,28,164,27,0
3,2,2,12,1,0
2,1,5,18,2,0
68,10,45,451,13,0
1,0,1,8,1,0
2,1,2,15,1,0
2,1,2,16,1,0
4,3,2,22,1,0
4,4,5,22,1,0
1,0,1,8,1,0
11,0,10,53,10,0
2,0,2,14,2,0
4,1,4,25,4,0
1,2,1,7,1,0
2,1,3,20,1,0
8,5,10,70,3,0
13,4,10,66,9,0
61,0,61,308,61,0
66,11,33,360,16,0
6,0,4,25,4,0
14,5,23,167,6,0
101,11,66,524,16,0
4,1,4,30,0,0
2,2,4,13,1,0
2,2,4,13,1,0
11,7,14,88,4,0
6,1,2,24,18,0
8,5,7,43,2,0
10,3,12,91,3,0
18,6,27,285,11,0
1,0,1,5,1,0
1,2,3,7,1,0
14,2,5,61,4,0
8,3,4,41,3,0
13,6,19,140,5,0
7,3,10,76,3,0
15,9,28,281,11,0
1,0,1,5,1,0
1,2,3,7,1,0
13,2,5,56,4,0
8,3,4,40,3,0
31,3,36,160,18,0
31,1,23,125,17,0
5,3,11,78,3,0
8,3,13,93,3,0
9,4,14,72,3,0
5,6,8,27,4,0
37,6,23,231,13,0
1,0,1,8,1,0
8,0,8,54,7,0
2,6,8,40,2,0
2,6,6,44,2,0
3,1,3,33,3,0
2,2,5,17,2,0
3,1,3,16,3,0
3,1,3,15,3,0
2,2,5,19,2,0
0,0,0,52,0,0
52,2,20,265,18,0
6,1,11,130,5,0
8,8,3,42,2,0
11,0,7,83,1,0
113,19,130,700,55,0
1,1,1,7,1,0
1,4,2,6,1,0
1,0,1,6,1,0
51,1,25,292,22,0
2,1,4,25,2,0
1,2,2,29,1,0
5,10,13,27,1,0
2,0,1,12,1,0
7,1,5,28,3,0
2,1,6,52,2,0
2,3,4,15,2,0
1,1,1,9,1,0
1,1,1,8,1,0
43,1,33,255,33,0
2,2,3,21,1,0
3,7,6,20,1,0
1,5,5,11,1,0
2,7,8,23,2,0
0,1,0,1,45,0
0,1,0,1,45,0
3,37,7,133,10,0
86,4,17,380,3,0
49,3,9,226,2,0
36,9,31,143,5,0
2,5,4,14,2,0
4,19,20,138,4,0
1,2,3,15,0,0
1,3,2,8,14,0
2,0,2,14,1,0
2,0,2,14,1,0
1,3,1,6,46,0
3,0,2,15,1,0
3,0,2,15,1,0
2,0,2,14,1,0
75,2,39,365,24,0
59,15,93,878,27,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,6,62,0
1,2,1,6,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,5,62,0
1,2,1,6,62,0
1,2,1,6,62,0
1,2,1,5,62,0
2,3,3,15,57,0
94,12,58,1330,0,0
4,4,4,15,1,0
5,5,5,30,1,0
2,4,4,10,1,0
2,4,4,10,1,0
3,3,3,18,3,0
1,4,4,8,1,0
1,4,4,8,1,0
1,4,4,8,1,0
1,4,4,8,1,0
1,4,4,8,1,0
1,4,4,8,1,0
4,4,4,15,1,0
2,5,4,12,1,0
2,4,4,11,1,0
2,4,4,9,1,0
6,4,6,22,2,0
2,4,4,13,1,0
