WMC,CBO,RFC,LOC,NPM,isExistBug
35,4,22,127,5,0
1,0,1,5,1,0
1,0,1,5,1,0
23,3,10,129,10,0
14,1,20,174,14,0
7,1,6,42,6,0
2,1,2,20,2,0
4,1,3,44,3,0
5,1,5,24,5,0
3,0,2,14,1,0
343,19,158,1944,66,0
21,11,29,85,32,0
1,3,4,6,5,0
2,2,5,9,6,0
21,11,28,87,32,0
1,3,4,6,5,0
2,2,4,9,6,0
11,5,18,44,6,0
3,3,6,13,6,0
2,2,4,10,6,0
28,6,39,116,23,0
101,9,72,287,30,0
3,3,7,15,4,0
3,2,7,13,4,0
17,5,15,53,4,0
3,3,7,15,4,0
30,5,15,94,2,0
3,2,7,13,4,0
4,3,8,19,7,0
2,2,4,10,6,0
8,4,17,36,6,0
124,6,62,537,45,0
69,1,38,314,22,0
42,2,32,237,24,0
10,2,11,35,7,0
11,3,19,98,72,0
29,5,31,199,20,0
45,5,52,436,30,0
46,4,19,165,14,0
148,6,27,560,17,0
14,0,9,120,8,0
4,0,1,21,1,0
1,0,1,5,1,0
4,2,1,41,1,0
3,1,2,16,1,0
12,0,3,67,1,0
3,1,4,29,3,0
4,1,8,19,8,0
4,1,8,19,12,0
1,1,3,14,3,0
21,3,12,92,11,1
3,1,3,15,4,0
2,1,4,13,6,0
37,3,13,180,8,0
1,0,1,8,1,0
11,1,6,88,5,0
4,1,8,18,8,0
2,1,2,7,3,0
3,1,3,15,4,0
2,0,2,24,1,0
4,0,4,13,0,0
14,2,10,70,6,1
7,3,6,36,3,0
4,0,4,19,0,0
35,2,18,137,6,1
7,2,14,33,13,0
4,2,8,22,4,0
5,2,10,26,6,0
6,2,8,53,5,0
11,1,6,44,1,0
4,2,3,18,3,0
105,10,39,443,8,0
2,0,1,8,1,0
1,1,1,9,0,0
62,3,10,234,6,1
6,1,8,34,4,0
6,1,6,32,5,0
110,3,15,444,4,0
1,1,1,39,1,1
46,8,40,173,20,0
1,1,2,5,5,0
30,1,17,177,17,0
3,1,3,21,20,0
4,0,4,19,4,0
4,0,4,19,4,0
4,1,6,22,7,0
20,1,4,111,1,0
0,0,0,10,0,0
39,0,10,138,10,1
2,1,4,12,6,0
