WMC,CBO,RFC,LOC,NPM,isExistBug
6,1,4,30,1,0
2,3,4,21,8,0
3,1,3,23,1,0
2,2,4,16,8,0
12,0,6,52,6,0
2,0,2,11,2,0
3,0,3,13,3,0
0,0,0,2,0,0
10,0,8,48,8,0
10,2,11,80,7,1
5,3,13,35,11,0
17,2,10,115,5,0
7,3,12,67,11,0
47,13,35,292,5,0
16,7,13,129,1,0
1,3,5,27,7,0
2,7,12,58,7,0
1,7,11,43,7,0
28,7,22,163,3,0
5,4,6,32,3,0
4,5,7,29,3,0
3,2,3,20,3,0
13,8,18,101,7,0
22,1,18,121,13,0
1,2,7,19,7,0
36,37,54,224,2,0
2,2,4,13,4,0
4,1,9,39,9,1
7,6,15,53,8,0
2,3,5,14,9,0
11,6,15,73,2,0
5,4,10,29,2,0
2,4,7,22,9,0
8,6,9,101,4,0
14,3,15,62,1,0
3,3,9,23,9,0
31,6,45,363,31,0
31,6,45,363,31,0
5,4,14,49,12,0
1,2,2,11,5,0
1,2,1,8,5,0
9,7,8,56,6,0
9,10,18,62,5,1
7,0,3,24,3,0
6,0,5,30,4,0
4,5,11,31,4,0
7,7,14,39,6,0
15,9,20,113,7,0
13,13,28,97,5,1
13,6,11,83,2,0
3,4,6,15,5,0
3,6,12,28,5,1
9,18,26,74,2,1
4,0,2,21,1,0
4,6,7,45,1,0
3,6,8,53,1,0
4,9,11,29,1,0
3,7,8,61,1,0
5,10,11,31,1,0
20,13,22,109,1,0
5,4,5,31,1,0
15,10,26,140,1,0
4,7,12,28,4,1
1,2,2,8,4,0
3,5,5,21,5,0
1,2,2,11,5,0
1,2,1,7,5,0
1,2,1,7,5,0
3,3,3,20,5,0
4,10,15,44,5,1
4,11,16,55,5,1
29,6,21,139,6,0
3,5,5,19,5,0
3,4,5,17,5,0
3,3,6,12,4,0
1,2,2,6,5,0
4,7,12,26,4,0
3,2,4,17,5,0
3,4,8,25,6,0
3,3,4,14,4,0
3,2,4,17,5,0
3,3,5,15,5,0
5,8,14,32,4,0
2,2,3,12,5,0
2,2,3,12,5,0
4,7,12,30,5,0
3,7,13,30,5,1
3,2,3,22,5,0
4,11,18,46,5,1
4,3,7,24,6,0
5,5,10,42,4,0
5,9,11,39,5,0
5,8,17,45,5,1
3,1,2,20,2,0
5,9,13,35,5,0
5,9,17,48,5,1
6,4,10,50,4,0
4,7,12,30,5,0
3,7,13,31,5,1
1,5,11,43,0,0
1,1,1,6,1,0
1,1,2,6,1,0
2,1,2,10,1,0
2,1,1,10,1,0
2,1,2,10,1,0
2,2,1,10,1,0
1,1,2,6,1,0
1,1,1,6,1,0
3,0,3,12,0,0
8,0,6,44,6,0
1,1,1,6,1,0
9,6,7,54,5,0
7,5,11,50,3,0
13,6,13,83,3,0
7,1,5,33,3,0
7,1,5,35,3,0
19,7,13,83,11,0
4,8,12,71,10,0
11,7,13,77,3,0
5,4,10,43,3,0
120,31,103,957,30,1
1,1,1,8,1,0
3,8,5,23,1,0
8,2,5,29,4,0
7,5,6,29,9,0
6,6,7,44,2,0
3,3,4,22,2,0
3,4,6,19,3,0
13,8,19,109,6,1
19,9,25,133,14,0
20,10,35,169,0,1
2,6,7,23,1,0
2,6,9,22,1,0
2,5,8,19,1,0
8,18,9,57,7,1
10,5,11,61,2,1
9,5,5,42,2,1
6,5,4,43,2,1
6,3,3,38,2,1
15,2,3,65,2,1
4,5,8,18,2,0
11,3,7,74,2,1
3,2,4,18,2,0
9,6,9,41,2,1
14,7,11,70,2,0
8,6,9,39,2,1
1,2,3,9,2,0
9,7,9,51,2,1
8,4,3,43,2,1
11,1,4,470,4,0
16,0,9,112,6,0
2,2,5,18,8,0
4,0,4,40,3,0
6,2,10,32,12,0
22,4,22,128,6,0
18,0,7,128,6,0
2,2,7,27,8,0
1,0,1,7,1,0
1,0,1,7,1,0
23,0,13,124,12,0
17,3,18,120,14,0
73,6,24,342,17,0
7,3,6,35,3,0
10,3,14,53,10,0
8,2,6,39,5,0
4,2,4,24,3,0
13,3,21,114,14,0
76,6,24,367,18,0
7,3,6,35,3,0
10,3,14,53,10,0
8,2,6,39,5,0
5,2,5,30,4,0
10,2,14,54,10,0
7,1,5,34,3,0
12,3,21,110,14,0
81,3,23,329,18,0
12,2,6,51,6,0
17,4,24,134,16,0
12,3,7,75,6,0
11,6,16,88,14,0
