WMC,CBO,RFC,LOC,NPM,isExistBug
4,4,8,22,14,0
26,3,19,150,14,0
1,0,1,9,1,0
20,0,9,146,2,0
1,0,1,5,1,0
5,0,2,27,1,0
14,1,8,85,6,0
1,0,1,6,1,0
21,3,11,220,7,0
1,0,1,5,1,0
5,0,2,27,1,0
16,9,17,59,10,0
8,0,4,70,2,0
1,0,1,6,1,0
3,0,1,17,1,0
2,0,1,14,1,0
2,0,2,14,1,0
20,0,3,86,1,0
2,0,2,15,1,0
2,2,2,19,3,0
2,0,1,6,1,0
1,0,1,6,1,0
9,1,7,39,5,0
3,2,3,20,3,0
1,0,1,6,1,0
2,0,1,6,1,0
1,0,1,6,1,0
4,0,4,19,3,0
4,3,4,19,20,0
12,7,14,63,24,0
2,3,2,16,21,0
7,3,5,35,22,0
7,2,7,45,25,0
3,3,3,21,22,0
33,6,30,185,20,0
1,0,1,7,1,0
5,0,3,31,3,0
2,0,2,21,2,0
2,0,2,24,2,0
4,2,4,32,8,0
3,1,3,14,7,0
3,1,3,29,7,0
2,1,2,11,6,0
1,0,1,11,1,0
3,1,3,29,7,0
4,1,5,39,4,0
25,7,11,211,7,1
2,0,1,8,1,0
3,2,3,29,8,0
6,0,5,31,5,0
6,0,5,31,5,0
7,0,5,29,5,0
7,0,5,29,5,0
7,0,5,29,5,0
7,0,5,29,5,0
2,0,2,13,2,0
2,0,2,14,2,0
3,1,3,20,16,0
2,3,2,13,8,0
5,0,4,24,4,0
5,0,4,24,4,0
5,0,4,24,4,0
60,2,22,255,19,0
22,4,4,66,4,0
12,0,8,65,6,0
3,1,3,19,16,0
2,3,2,13,8,0
11,0,3,29,3,0
7,0,3,22,3,0
8,0,3,22,3,0
5,0,3,19,3,0
6,0,3,18,3,0
14,0,8,44,7,0
9,0,7,60,0,0
1,1,1,22,1,0
2,0,2,9,2,0
3,1,3,39,3,0
2,4,6,13,0,0
67,43,68,560,22,1
0,0,0,5,0,0
1,1,1,8,1,0
2,10,6,13,2,0
2,9,7,11,2,0
1,3,2,7,1,0
0,1,0,12,0,0
0,0,0,6,0,0
0,0,0,3,0,0
2,7,3,12,1,0
4,2,1,26,1,0
3,0,3,30,3,0
44,27,50,292,26,0
3,4,4,12,2,0
3,5,4,12,2,0
3,5,6,13,2,0
2,3,3,11,2,0
3,4,4,12,2,0
2,1,3,11,2,0
2,3,3,11,2,0
3,3,3,31,1,0
2,3,2,21,2,0
4,2,4,22,4,0
0,1,0,3,0,0
2,1,3,13,2,0
6,11,6,193,6,0
49,7,16,327,14,0
2,0,2,11,2,0
4,0,2,20,1,0
14,2,5,86,1,0
2,1,2,12,2,0
6,0,3,23,3,0
138,30,121,1113,52,0
7,8,10,55,3,0
10,4,7,57,7,0
41,19,52,240,21,0
16,5,10,69,10,0
52,6,22,432,20,0
5,3,2,48,1,0
58,9,15,403,15,0
33,0,15,150,15,0
3,1,5,30,6,0
9,1,4,48,8,0
3,1,1,8,1,0
1,1,1,6,1,0
1,3,2,6,1,0
3,1,5,30,6,0
4,6,8,22,55,0
35,13,28,187,12,0
1,2,1,6,1,0
4,2,4,22,4,0
33,26,42,226,13,0
1,1,1,6,0,0
1,1,1,7,0,0
1,1,1,6,0,0
1,1,1,6,0,0
1,0,1,7,0,0
16,5,13,75,9,0
1,0,1,7,0,0
1,5,3,9,21,0
1,6,4,8,18,0
4,6,8,22,55,0
8,6,7,119,12,0
21,11,10,132,10,0
11,10,11,60,11,0
21,11,8,244,22,0
11,5,9,113,60,0
5,4,5,40,9,0
5,0,3,65,3,0
1,0,1,21,1,0
3,4,3,16,16,0
21,13,13,189,11,0
1,0,1,12,1,0
7,3,5,36,4,0
2,0,1,6,1,0
3,0,2,13,2,0
9,5,7,51,6,0
4,0,4,28,4,0
2,3,2,12,21,0
2,3,2,14,19,0
2,3,2,12,16,0
2,2,2,13,63,0
64,13,18,585,24,0
3,5,3,17,61,0
37,15,15,224,10,0
8,4,5,39,4,0
2,0,2,13,1,0
22,8,11,155,7,0
4,0,4,31,4,0
4,0,1,7,1,0
2,0,1,6,1,0
54,11,17,336,24,0
2,4,2,11,15,0
1,3,1,7,20,0
2,3,2,13,19,0
1,3,1,7,15,0
4,5,4,25,62,0
44,14,18,291,13,0
20,6,11,119,6,0
4,0,4,28,4,0
1,2,1,5,7,0
2,0,1,7,1,0
1,3,1,16,7,0
7,3,5,35,4,0
70,14,16,560,24,0
4,4,3,20,5,0
3,4,3,16,16,0
2,3,2,12,21,0
2,3,2,14,19,0
2,3,2,12,16,0
2,2,2,13,63,0
3,5,3,17,61,0
9,2,7,38,7,0
16,2,7,106,6,1
0,0,0,3,0,0
0,0,0,4,0,0
13,1,11,81,11,1
1,0,1,6,1,0
5,1,2,31,2,0
6,0,3,51,3,0
11,6,5,81,5,0
1,0,1,6,1,0
1,0,1,7,1,0
4,3,2,23,1,0
11,6,8,37,9,0
4,3,4,23,4,0
11,8,8,184,15,0
8,2,8,39,8,0
2,5,4,14,10,0
1,2,1,6,5,0
13,4,15,69,7,0
10,4,13,41,5,0
19,8,28,94,11,0
4,2,2,30,5,0
42,4,24,170,16,0
2,1,2,19,1,0
12,2,14,67,22,0
32,3,28,155,41,0
8,0,1,9,1,0
2,0,1,6,1,0
2,0,1,6,1,0
2,0,1,6,1,0
5,3,5,26,5,0
7,0,2,128,2,0
2,0,1,6,1,0
2,0,1,6,1,0
2,2,1,13,4,0
2,0,2,11,2,0
11,3,6,55,6,0
16,5,7,62,8,0
10,8,16,43,17,0
3,1,3,16,3,0
17,2,11,84,11,0
1,0,1,6,1,0
1,0,1,6,1,0
35,4,7,144,6,0
1,0,1,6,1,0
4,1,4,42,4,0
29,1,10,133,9,0
24,21,34,156,11,1
3,8,4,13,2,0
3,6,4,14,2,0
2,9,6,11,2,0
4,1,3,18,3,0
2,0,1,7,1,0
4,2,4,33,49,0
10,2,7,185,6,0
5,0,1,44,0,1
163,24,23,740,15,1
0,0,0,3,0,0
0,0,0,4,0,0
7,4,6,123,33,0
5,0,1,26,1,0
5,0,1,35,1,0
3,0,3,20,3,0
9,2,6,61,4,0
12,0,6,79,5,0
4,2,4,28,49,0
2,1,2,12,2,0
2,1,2,13,2,0
2,1,2,13,2,0
9,1,1,69,1,0
5,4,4,26,6,0
5,4,4,22,17,0
29,13,14,188,9,0
6,3,5,33,4,0
8,4,7,52,6,0
3,0,1,16,1,0
4,0,4,25,4,0
4,3,3,17,22,0
4,3,3,20,20,0
4,3,3,18,17,0
108,21,28,903,21,0
2,0,1,6,1,0
5,3,4,24,55,0
1,2,1,6,5,0
7,5,6,77,6,0
43,17,12,293,9,0
1,0,1,6,1,0
1,0,1,7,1,0
1,0,1,6,1,0
1,0,1,7,1,0
2,0,2,8,2,0
7,1,4,36,3,0
1,0,1,9,1,0
9,4,6,48,5,0
7,1,4,31,4,0
4,2,5,30,4,0
19,3,19,76,23,0
1,1,1,7,1,0
66,13,37,638,29,0
2,0,2,14,2,0
1,0,1,6,1,0
0,0,0,9,0,0
0,0,0,5,0,0
0,0,0,5,0,0
0,0,0,4,0,0
0,0,0,6,0,0
0,0,0,5,0,0
0,0,0,5,0,0
0,0,0,5,0,0
0,0,0,5,0,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,7,1,0
1,0,1,7,1,0
1,0,1,7,1,0
1,0,1,7,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
1,0,1,6,1,0
0,0,0,7,0,0
0,0,0,7,0,0
20,7,18,85,17,0
11,1,7,48,7,0
29,17,38,130,11,0
2,2,3,12,2,0
7,2,9,48,12,0
3,0,3,19,3,0
6,3,6,38,6,0
2,5,2,25,15,0
2,3,2,13,53,0
2,3,2,13,21,0
3,4,6,16,16,0
9,9,9,50,9,0
10,10,18,54,9,0
17,9,8,101,8,0
7,1,5,31,5,0
17,3,19,72,26,0
14,3,18,59,25,0
3,6,3,18,12,0
26,7,18,98,16,0
20,3,19,142,18,0
21,4,20,147,20,0
26,3,7,219,6,0
0,0,0,5,0,0
1,0,1,7,1,0
1,0,1,7,1,0
1,0,1,7,1,0
1,0,1,7,1,0
41,21,34,177,7,0
2,2,3,12,2,0
25,10,10,147,18,0
1,0,1,6,1,0
1,0,1,7,1,0
13,0,3,43,2,0
3,2,7,20,16,0
1,2,1,7,1,0
12,15,20,52,14,0
3,4,3,16,15,0
33,6,5,144,1,0
8,2,5,32,0,0
4,2,3,20,3,0
13,11,10,66,10,0
13,7,7,76,6,0
2,0,1,6,1,0
4,0,4,25,4,0
15,11,10,91,10,0
1,2,1,6,5,0
4,3,4,27,10,0
4,3,9,24,17,0
1,2,1,7,1,0
6,4,9,35,11,0
4,7,3,27,3,0
4,0,4,21,4,0
6,1,4,31,4,0
3,1,3,23,3,0
41,15,22,198,12,0
3,0,1,8,1,0
4,0,4,22,4,0
1,0,1,6,1,0
14,8,7,71,5,0
9,2,4,47,4,0
22,11,11,101,10,0
2,6,2,16,11,0
20,10,10,84,15,0
32,13,10,268,4,0
13,7,12,103,9,0
63,18,49,1031,29,0
2,0,1,6,1,0
2,0,1,6,1,0
0,0,0,3,0,0
6,4,6,33,6,0
1,2,1,13,1,0
16,4,4,168,4,0
11,1,4,66,3,0
1,3,1,26,1,0
8,9,6,139,5,0
1,0,1,6,1,0
7,5,4,67,4,0
8,2,6,44,6,0
3,1,5,30,9,0
3,1,5,30,9,0
17,2,8,61,8,0
30,20,10,279,4,0
1,0,1,6,1,0
3,0,1,13,1,0
12,13,9,102,16,0
6,3,6,33,6,0
4,2,3,30,3,0
11,8,8,79,12,0
7,13,5,68,14,0
27,7,16,222,7,0
2,0,2,11,2,0
2,0,1,11,1,0
1,0,1,11,1,0
29,5,5,99,4,0
6,5,4,61,3,0
3,1,3,18,3,0
4,10,13,32,18,0
29,10,32,233,15,0
3,3,7,30,4,0
5,3,7,39,3,0
2,3,4,16,4,0
15,2,12,107,9,0
3,7,4,19,2,0
62,42,70,497,11,0
