WMC,CBO,RFC,LOC,NPM,isExistBug
176,15,78,1407,35,1
65,4,27,336,17,0
11,4,14,172,11,0
17,1,16,184,15,0
7,1,7,76,7,1
4,1,4,42,11,0
113,18,84,925,26,0
34,8,26,298,12,1
4,1,4,43,3,0
25,2,12,204,5,0
75,10,39,598,5,1
215,10,82,1564,31,1
1,1,1,13,1,0
1,1,1,17,1,0
0,2,0,3,2,0
0,2,0,3,2,0
1,1,1,11,1,0
1,1,1,13,1,0
2,2,2,18,2,0
3,0,3,33,3,0
4,2,7,43,19,0
14,0,14,132,14,0
166,23,58,1120,24,1
17,1,12,147,9,0
1,0,1,141,0,1
136,18,59,993,5,1
8,4,10,62,16,1
23,1,4,132,3,0
218,32,203,2287,103,1
12,2,11,144,10,0
49,8,37,496,17,1
65,3,30,582,18,1
59,10,34,434,22,1
2,2,2,22,9,0
55,8,39,424,24,1
43,8,57,449,29,0
17,8,13,131,36,0
1,1,1,9,1,0
5,1,5,42,5,0
87,15,92,638,48,1
2,1,3,24,17,0
2,1,3,23,17,0
50,13,33,421,12,1
3,2,3,27,32,0
23,4,6,94,1,0
1,0,1,7,1,0
19,2,12,168,5,0
4,3,7,46,8,0
1,0,1,12,1,0
17,3,8,118,9,0
24,5,18,171,16,0
10,3,9,90,12,0
9,3,10,80,9,0
32,11,31,338,24,0
23,5,19,178,14,0
22,6,20,172,15,0
22,8,24,177,15,0
17,4,15,127,13,0
41,7,26,283,15,1
2,1,4,22,11,0
20,2,6,115,9,0
14,4,14,117,13,0
19,5,17,150,13,0
14,4,14,118,13,0
30,5,19,203,14,0
35,18,28,329,24,0
30,12,21,196,7,1
6,0,1,38,1,0
37,4,33,325,28,0
6,4,4,30,2,0
28,12,45,293,20,1
17,11,27,200,19,0
2,3,5,15,2,0
14,4,10,92,2,0
6,5,12,50,4,0
1,2,1,16,1,0
8,0,7,68,7,0
6,1,6,30,10,0
8,3,8,60,2,0
1,0,1,14,1,0
1,0,1,13,1,0
46,3,14,315,1,1
62,0,10,412,9,1
20,2,2,145,12,0
44,7,24,279,12,0
26,5,16,146,8,1
26,12,40,213,13,1
3,1,5,39,12,0
1,1,2,5,36,0
95,14,76,758,62,1
36,13,46,342,41,0
95,16,90,662,48,1
11,6,17,113,32,0
12,9,25,123,32,1
6,3,5,51,33,0
19,10,28,186,153,1
79,12,45,431,45,1
8,7,12,70,36,0
3,5,8,36,36,0
11,4,8,56,33,0
17,5,15,159,31,0
16,4,10,132,34,0
26,9,39,205,43,0
95,14,44,573,85,1
28,14,51,221,94,1
29,7,26,180,39,1
87,25,60,546,49,1
10,5,14,76,36,0
157,21,84,946,56,1
22,8,23,167,37,0
19,6,16,127,74,0
12,4,13,80,34,0
1,1,2,8,63,0
17,9,27,134,43,0
14,4,11,82,34,0
71,16,53,517,58,1
115,37,101,643,107,1
12,3,7,76,31,0
19,24,35,120,75,1
1,3,2,15,30,0
5,4,7,37,32,0
14,11,24,116,112,1
11,7,14,106,36,0
7,6,10,49,17,1
25,6,20,196,36,0
86,16,92,666,59,1
94,14,56,748,25,0
40,18,58,286,12,0
110,27,78,680,78,1
5,0,5,38,5,0
15,3,14,135,8,0
36,7,18,160,36,0
54,18,43,335,39,1
13,5,12,66,33,0
39,16,46,305,83,1
6,6,9,59,36,0
3,4,7,32,36,0
33,7,24,270,42,0
42,10,24,311,38,1
14,8,16,99,32,0
20,9,24,129,37,0
48,7,34,379,48,1
112,23,78,906,108,1
121,24,158,888,72,1
138,16,108,944,136,1
242,36,191,1714,109,1
8,5,10,90,0,0
22,3,13,143,5,0
22,2,8,158,36,0
37,20,34,208,42,1
1,2,3,11,37,0
23,14,37,187,39,1
28,9,25,192,36,1
7,3,8,67,7,0
4,5,9,39,12,0
62,17,45,354,48,1
62,13,63,339,36,1
31,9,24,254,36,0
52,5,40,410,16,1
20,7,14,152,34,1
1,0,1,10,1,0
21,11,23,162,36,1
49,28,83,389,68,0
9,4,8,62,31,0
64,11,36,334,57,1
10,4,8,61,32,0
23,6,26,169,36,1
46,7,19,335,37,1
24,8,28,152,39,0
48,15,40,385,44,0
8,11,15,65,36,0
29,1,9,175,5,0
86,8,56,571,54,1
25,2,19,202,9,1
26,11,34,253,45,1
49,9,36,320,17,1
110,19,64,756,30,1
9,5,12,62,33,0
58,12,55,435,83,1
13,8,15,93,36,0
85,16,79,647,112,1
81,15,43,614,67,1
1,1,2,12,61,0
3,3,3,27,31,0
52,11,38,453,55,1
14,3,14,149,38,0
18,0,10,149,8,1
83,16,82,545,55,1
36,15,62,326,40,1
106,27,108,705,77,1
6,1,4,54,1,0
1,4,3,14,59,0
10,5,13,103,36,1
50,18,46,288,42,1
0,1,0,2,78,0
7,5,10,80,32,0
0,1,0,2,58,0
23,7,24,153,36,1
8,11,22,100,41,1
41,16,31,226,39,1
12,10,23,117,43,1
15,6,19,127,38,1
19,10,25,182,115,1
19,6,19,143,35,0
3,0,3,40,3,0
1,2,1,7,4,0
1,2,1,8,5,0
1,0,1,7,1,0
1,1,1,7,1,0
107,28,93,909,100,1
113,10,61,616,44,1
237,33,120,1588,95,1
12,9,20,118,3,0
2,7,13,40,3,0
2,2,2,16,2,0
28,14,9,145,1,0
110,16,83,601,3,1
17,8,25,115,4,1
4,8,9,52,3,0
3,5,5,36,3,0
7,9,21,56,3,0
31,8,27,194,3,0
11,8,24,83,3,0
11,8,20,84,3,0
3,6,10,30,3,0
3,3,3,18,32,0
21,4,14,98,5,0
1,1,1,8,1,0
26,22,30,269,31,0
7,2,5,48,4,0
9,2,6,61,5,0
7,3,8,68,4,0
10,5,12,55,5,0
