WMC,CBO,RFC,LOC,NPM,isExistBug
1,1,2,6,5,0
1,0,1,12,1,1
1,3,1,17,2,1
0,0,0,4,0,0
35,18,35,303,37,1
1,1,1,9,1,1
4,0,4,17,4,0
4,2,6,25,7,1
2,4,4,11,52,0
3,3,3,26,3,0
2,0,2,7,0,0
0,2,0,2,2,0
0,0,0,4,0,0
14,7,14,102,14,1
2,0,2,6,0,1
26,4,26,202,26,1
21,0,6,97,6,0
18,2,18,96,14,1
2,2,3,15,9,0
3,3,6,19,7,1
1,1,1,10,1,0
2,3,3,12,6,1
1,0,1,5,0,0
2,1,2,6,2,0
0,0,0,4,0,0
0,1,0,5,0,0
0,1,0,5,0,0
2,1,2,6,2,0
5,1,6,28,7,0
3,4,7,20,10,1
2,4,6,16,9,1
3,3,5,25,10,0
22,1,22,157,22,1
2,0,2,7,0,0
2,1,3,13,6,1
2,1,3,15,6,1
6,2,7,32,10,1
2,1,3,13,6,0
6,2,7,32,10,1
6,1,5,38,8,1
0,0,0,4,0,0
1,1,1,9,0,0
3,2,3,34,5,0
2,0,2,23,2,0
1,1,1,9,1,0
2,0,2,7,0,0
4,5,4,24,7,0
33,6,33,370,35,1
0,0,0,4,0,0
1,0,1,5,0,0
0,0,0,4,0,0
3,1,5,18,7,1
12,3,11,68,10,0
3,3,3,17,3,1
4,0,4,18,4,0
3,2,5,22,7,1
3,1,6,16,7,0
3,1,6,16,7,0
2,0,2,16,2,0
2,1,2,26,2,0
2,2,4,10,9,0
12,11,16,71,11,0
0,0,0,3,0,0
24,13,33,132,65,0
12,7,17,57,10,0
6,2,7,39,9,0
32,7,34,164,27,0
3,0,3,17,3,0
7,2,7,51,8,0
20,3,21,107,16,0
6,1,6,32,9,0
14,3,10,75,10,0
21,7,14,96,3,0
4,8,11,26,17,0
26,10,32,151,15,0
2,3,4,12,9,0
14,5,17,75,14,0
14,9,19,72,16,0
9,7,11,40,11,0
24,18,34,135,16,0
8,4,9,41,3,0
11,4,21,92,10,1
38,13,52,233,28,1
2,2,2,11,2,0
22,15,36,163,19,1
42,17,59,246,41,1
4,3,4,25,4,1
7,6,10,32,7,1
5,3,5,22,5,1
47,5,41,362,33,1
45,10,72,455,64,1
11,6,13,56,14,1
2,4,2,9,5,1
2,1,2,10,52,0
17,7,19,133,16,0
1,2,1,9,1,0
3,2,3,12,2,0
12,3,12,96,11,1
1,1,1,5,1,0
34,16,53,208,51,1
27,5,45,187,24,1
1,1,1,7,0,0
1,1,1,6,0,0
1,1,1,6,0,0
1,1,1,6,0,0
1,1,1,6,0,0
1,1,1,6,0,0
84,6,63,563,47,0
3,1,6,14,7,0
3,5,4,15,3,0
1,4,2,6,1,0
1,1,1,6,0,0
16,6,20,97,8,0
17,1,8,69,8,0
2,2,3,11,2,0
1,3,1,6,1,0
2,1,3,12,9,0
21,3,9,70,4,0
15,4,17,109,11,0
2,1,2,6,2,0
1,1,1,4,1,0
2,2,3,12,2,0
1,3,1,6,1,0
2,2,3,12,2,0
1,3,1,6,1,0
75,12,60,417,40,1
37,12,46,245,27,0
4,2,3,22,24,0
17,5,12,87,41,0
6,5,10,34,84,0
1,4,2,7,22,0
1,4,2,10,25,0
2,1,2,16,1,0
17,14,27,129,42,0
9,9,12,51,28,0
2,6,8,14,26,0
2,3,3,14,14,0
3,0,3,27,2,0
1,1,1,13,1,0
7,2,2,31,2,0
2,3,3,15,9,0
1,4,1,4,1,0
9,10,19,53,27,0
22,9,30,106,48,0
5,6,10,23,38,0
3,2,3,8,3,0
94,27,55,426,8,1
16,5,17,75,10,0
31,15,40,167,19,1
5,11,13,33,2,1
8,7,11,39,7,0
6,7,6,29,1,0
4,5,6,37,4,1
9,0,9,42,9,0
42,10,29,224,14,1
10,4,11,51,4,0
5,0,5,12,5,0
2,1,3,12,6,0
6,2,6,33,6,0
1,2,1,4,1,0
10,5,12,78,5,0
24,11,24,100,12,0
4,8,7,18,2,1
4,6,9,29,3,0
33,15,24,170,5,0
33,10,30,176,11,0
5,8,9,31,26,0
0,0,0,21,0,0
16,9,22,91,16,0
36,15,43,172,55,0
27,6,32,127,50,0
2,2,3,12,15,0
21,6,22,97,35,0
36,19,50,222,16,0
15,8,15,105,5,0
6,10,14,36,25,0
9,13,25,85,3,0
31,12,39,142,27,0
16,19,39,113,9,0
2,0,1,38,1,0
1,0,1,11,1,0
7,1,4,41,3,0
13,1,5,46,0,0
3,3,7,50,2,0
5,1,4,46,2,0
4,5,10,53,2,0
19,0,8,114,2,0
7,0,4,42,1,0
5,3,4,24,3,0
5,2,5,28,3,0
2,0,2,13,2,0
10,1,4,52,2,0
6,0,2,29,2,0
5,0,2,28,2,0
15,1,7,75,3,0
7,2,6,58,3,0
20,1,7,95,3,0
17,2,6,81,3,0
7,1,3,42,4,0
23,2,8,169,3,0
10,1,5,39,3,0
4,0,4,30,4,0
4,4,4,25,1,0
14,2,11,87,5,0
4,0,4,24,4,0
10,1,7,52,5,0
4,0,4,19,4,0
18,1,6,65,0,0
1,1,1,6,1,0
20,7,15,96,10,0
25,12,24,149,10,0
1,0,1,33,0,0
19,4,14,85,11,0
8,1,4,38,0,0
1,2,1,8,1,0
1,2,1,6,1,0
1,2,3,7,1,0
61,11,32,257,12,0
21,2,5,87,2,0
3,0,2,21,2,0
4,0,2,25,2,0
0,0,0,3,0,0
7,0,6,29,6,0
6,1,6,31,6,0
6,0,6,28,6,0
3,1,4,20,3,0
7,1,3,32,0,0
12,2,11,86,6,0
4,2,4,26,4,0
1,6,4,8,22,0
10,7,17,59,14,1
27,14,40,164,92,1
19,6,22,96,12,1
7,2,9,40,18,0
1,4,3,8,22,0
8,8,11,38,30,1
10,8,11,41,15,0
3,2,3,22,3,0
7,3,8,33,27,0
3,4,8,20,14,0
18,15,29,82,34,0
3,6,7,27,24,1
81,10,44,387,41,1
80,19,75,407,76,1
10,6,12,49,38,0
8,3,9,39,32,0
3,2,3,34,3,0
28,14,30,162,16,0
53,15,37,260,50,0
4,10,10,22,39,0
4,1,5,28,8,0
19,12,18,93,15,0
19,1,13,99,5,0
1,1,1,6,1,0
14,10,25,72,29,0
42,4,38,192,35,0
42,10,38,199,48,0
4,1,4,23,3,0
15,9,24,69,37,0
4,5,7,22,37,0
16,4,16,79,35,0
17,12,24,82,13,0
55,14,37,265,50,0
9,10,19,52,40,0
19,12,18,87,15,0
10,0,3,66,2,0
13,2,8,62,7,0
5,3,6,24,10,0
7,7,7,29,3,0
14,8,9,55,1,1
18,8,16,90,7,0
1,1,1,11,1,0
2,1,3,10,9,0
19,5,18,96,18,0
7,5,7,45,24,0
11,7,16,77,48,0
4,0,4,20,4,0
13,0,13,69,13,0
2,1,2,17,2,0
7,5,12,49,3,0
25,9,25,130,12,0
10,4,10,80,10,0
1,0,1,7,1,0
22,16,25,125,33,0
6,5,14,35,17,0
6,2,4,30,3,0
26,14,32,143,48,0
6,5,10,40,38,0
2,3,5,18,15,0
9,8,12,55,28,0
7,3,7,40,4,0
11,2,11,49,13,0
13,9,21,76,17,0
34,13,33,205,16,0
5,0,4,19,4,0
10,4,10,51,28,0
9,9,17,50,35,0
7,6,11,33,15,0
6,5,13,36,15,0
2,2,3,11,1,0
16,6,30,97,30,0
42,1,42,201,41,0
4,6,10,40,15,0
20,10,30,86,41,0
9,0,9,62,9,0
12,5,20,61,43,0
24,4,24,120,43,0
12,8,15,70,14,0
1,5,2,13,22,0
4,1,4,44,4,0
12,12,15,81,26,0
11,8,19,52,14,0
6,7,11,35,25,0
5,8,7,26,27,0
13,6,11,77,14,0
6,7,8,51,3,0
33,13,36,218,45,0
7,11,11,39,55,0
10,3,10,86,12,0
1,1,1,6,1,0
1,0,1,5,1,0
48,1,21,311,9,0
6,8,9,42,27,0
6,7,21,37,15,0
6,1,6,31,5,0
17,12,22,76,36,0
2,3,4,11,35,0
2,2,5,18,15,0
0,1,0,3,25,0
18,13,25,119,16,0
13,2,12,87,10,0
4,1,4,24,1,0
11,11,16,93,9,0
0,0,0,3,0,0
1,3,1,7,1,0
1,0,1,3,1,0
0,0,0,2,0,0
32,13,33,157,13,0
76,17,42,369,14,0
84,18,124,426,79,0
192,10,130,940,113,0
6,5,12,39,16,0
38,19,60,234,51,0
15,7,25,95,45,0
4,4,6,25,15,0
21,3,5,87,1,0
36,7,33,154,37,0
11,3,11,48,16,0
47,24,60,218,22,0
10,0,7,59,6,0
13,7,15,71,58,0
7,5,9,36,62,0
6,4,7,34,55,0
1,1,2,7,2,0
2,1,3,13,3,0
1,1,2,7,2,0
1,2,1,3,1,0
1,0,1,7,1,0
21,7,19,101,7,0
2,1,3,15,6,0
3,1,3,18,3,0
8,0,4,38,4,0
10,5,11,65,7,0
25,10,28,119,25,0
1,0,1,7,1,0
45,12,42,213,22,0
5,6,10,27,26,0
3,3,7,17,15,0
23,9,26,116,41,0
1,4,4,7,34,0
6,3,7,31,31,0
1,0,1,3,1,0
0,0,0,4,0,0
10,3,7,49,10,0
1,0,1,10,1,0
6,7,7,34,25,0
35,12,32,159,36,0
39,14,44,179,52,0
3,5,7,21,14,0
6,2,6,38,10,0
14,2,12,99,7,0
1,0,1,9,1,0
1,1,1,3,3,0
1,4,2,6,22,0
13,11,18,67,33,0
3,10,11,30,22,0
54,6,29,181,17,1
56,12,35,270,4,0
13,10,24,91,31,0
76,2,52,368,48,0
35,7,26,149,25,0
12,2,6,70,4,0
15,14,29,92,38,0
11,6,20,63,42,0
28,8,25,125,35,0
2,4,3,16,14,0
19,0,3,106,2,0
72,12,42,346,42,0
5,5,10,41,14,0
7,3,8,40,5,0
18,11,24,105,39,0
4,4,6,31,37,0
3,2,3,25,1,0
9,4,14,45,4,0
13,2,18,96,3,0
24,10,30,129,14,0
4,0,3,24,3,0
0,0,0,3,0,0
11,9,18,90,8,0
2,6,5,13,22,0
107,16,76,645,75,1
2,1,2,9,1,0
21,5,24,124,30,0
4,4,10,22,15,0
44,14,40,202,45,0
3,4,8,15,36,0
5,3,6,38,27,0
2,2,3,21,1,0
3,5,5,24,22,0
39,9,20,202,6,0
8,0,5,49,1,0
4,1,4,40,4,0
24,12,31,141,26,0
1,0,1,11,0,0
4,5,10,29,16,0
18,11,24,130,38,0
1,2,2,11,15,0
6,4,17,46,16,0
2,1,2,14,2,0
3,6,6,15,24,0
11,9,25,69,17,0
25,11,24,101,38,0
3,8,11,19,14,0
3,3,6,19,14,0
3,5,6,18,15,1
7,3,7,31,15,0
1,1,1,7,24,0
2,4,4,12,23,0
14,9,11,63,9,1
8,11,14,38,30,0
5,2,9,29,4,0
1,3,3,8,22,0
17,13,27,89,15,0
16,12,24,76,41,0
10,6,18,51,40,0
3,0,2,11,1,0
15,4,20,73,35,0
12,13,18,71,15,0
6,1,6,31,6,0
6,7,10,40,10,0
12,8,17,63,11,0
17,1,7,73,0,0
1,2,1,7,0,0
1,2,1,6,0,0
1,2,1,6,1,0
7,6,9,47,3,0
