WMC,CBO,RFC,LOC,NPM,isExistBug
93,37,134,812,70,0
68,30,137,408,57,0
68,26,86,440,1,1
15,0,12,71,12,0
22,8,20,111,16,0
16,7,15,78,14,0
9,4,10,73,21,0
56,12,51,285,19,0
13,3,14,77,8,0
12,9,21,66,40,0
33,17,58,229,40,0
88,12,54,508,34,0
55,8,37,201,23,1
21,3,10,122,38,0
8,3,7,45,38,0
10,12,21,58,35,0
12,3,9,61,12,0
10,5,12,60,11,0
25,1,36,124,18,0
10,4,10,45,11,0
47,8,45,243,32,0
28,3,22,158,14,0
16,6,19,74,17,1
31,12,38,139,19,1
42,9,39,175,30,0
21,5,22,98,21,1
17,8,17,76,14,0
69,14,77,366,35,1
63,10,84,337,50,0
72,13,56,381,33,1
52,14,63,285,35,0
72,11,85,373,50,0
11,6,29,76,42,0
54,11,52,266,7,0
21,3,15,99,17,0
9,1,10,45,9,0
1,1,1,7,2,0
51,8,37,345,27,0
74,9,42,373,24,1
10,1,12,44,9,0
4,0,4,36,4,0
1,1,1,7,2,0
5,0,2,34,2,0
18,2,11,103,10,0
4,1,4,19,4,0
10,2,10,43,14,0
5,0,2,27,1,0
174,46,185,1033,49,1
17,4,22,93,17,0
3,5,3,9,3,0
11,6,11,82,3,0
1,2,1,5,1,0
1,2,1,4,1,0
6,3,16,50,4,1
8,14,8,128,8,1
6,1,6,16,6,0
18,13,20,100,2,0
2,2,2,7,13,0
1,3,2,6,1,0
16,16,46,157,3,0
1,1,1,5,11,0
20,3,21,207,20,0
1,2,1,16,1,0
18,7,16,68,10,0
5,3,6,25,4,0
16,7,24,88,6,0
14,9,8,74,2,0
1,1,1,3,1,0
3,3,10,20,8,0
4,7,15,37,11,0
2,4,5,16,10,0
2,2,3,14,8,0
3,5,8,26,11,0
3,4,4,26,12,0
5,4,12,46,10,0
1,3,2,12,11,0
4,8,11,52,11,0
2,4,10,21,9,0
3,5,14,32,8,0
2,2,5,14,7,0
1,4,2,10,9,0
1,2,2,8,8,0
5,4,7,61,13,0
3,3,9,23,8,0
1,3,2,7,9,0
12,24,56,136,2,0
8,5,8,19,17,0
11,2,10,43,10,0
17,4,23,59,18,0
10,6,20,62,14,0
9,3,9,69,14,0
27,3,16,149,21,0
2,0,2,16,2,0
23,5,36,128,30,0
15,7,17,93,18,0
103,15,83,532,41,1
2,4,4,10,19,0
2,4,4,10,19,0
119,31,144,613,72,1
6,2,6,42,11,0
25,8,25,98,30,0
1,1,1,18,1,0
3,3,3,23,8,0
3,3,3,24,8,0
3,0,3,19,3,0
18,5,18,96,23,0
31,16,31,221,38,0
10,4,12,54,4,0
13,1,10,77,8,0
17,4,28,93,19,0
24,1,13,181,13,0
50,6,36,288,26,1
22,8,20,203,11,0
6,0,6,29,6,0
27,4,20,117,12,0
41,22,64,236,3,0
2,2,2,7,12,0
24,1,24,134,24,0
23,3,22,126,19,1
64,17,53,327,27,0
6,3,6,27,4,0
6,0,3,40,2,0
5,2,6,40,24,0
51,11,51,283,30,0
33,18,39,258,6,0
1,1,1,3,31,0
1,1,2,5,5,0
225,44,224,1202,73,1
7,1,7,45,7,0
36,9,37,180,7,1
53,5,39,261,18,0
31,7,24,191,3,1
40,14,52,234,24,0
170,48,224,1076,20,1
8,6,8,19,30,0
36,6,39,278,36,0
4,0,4,17,4,0
13,4,17,118,12,0
1,1,2,7,5,0
7,2,7,42,6,0
82,14,89,447,39,1
56,23,58,332,3,1
3,2,3,9,14,0
14,2,14,105,18,0
6,2,8,30,6,0
4,1,4,22,4,0
8,3,12,38,8,0
49,16,52,356,12,0
2,0,2,11,2,0
249,72,226,1295,147,0
4,0,4,17,4,0
