WMC,CBO,RFC,LOC,NPM,isExistBug
13,2,14,151,13,0
5,0,5,63,5,0
13,0,13,217,13,0
558,1,130,4336,27,0
60,13,43,477,9,0
29,2,18,354,14,0
2,3,4,32,9,0
24,4,14,157,6,0
22,8,24,192,26,0
14,4,14,75,3,0
38,17,54,471,17,0
13,10,19,128,22,0
33,12,30,279,7,0
263,39,199,1975,163,0
36,14,30,341,6,0
0,1,1,121,0,0
1,1,1,23,1,0
5,1,5,59,3,0
3,5,5,23,18,0
13,4,18,147,16,0
19,7,17,183,6,0
165,39,187,1135,30,1
39,8,29,553,17,0
30,8,22,283,4,0
171,25,116,1712,66,0
1,0,1,9,1,0
67,6,32,474,10,0
7,0,7,72,5,0
15,4,11,138,7,0
39,8,25,329,15,0
13,7,14,136,11,0
11,8,17,98,13,0
10,3,7,74,20,0
16,10,17,113,2,0
1,3,3,7,1,0
61,16,63,631,22,0
9,2,8,79,2,0
238,19,121,1653,65,0
55,9,27,391,18,0
10,6,13,72,2,0
36,0,17,332,17,0
22,2,16,166,12,0
4,0,4,27,4,0
25,11,26,206,6,0
176,28,108,1334,26,0
25,0,15,163,2,0
2,0,2,6,2,0
68,10,50,459,18,0
1,0,1,4,1,0
15,5,14,120,6,0
18,6,16,179,7,0
18,12,14,63,1,0
8,3,10,86,7,0
164,4,36,947,24,0
276,55,197,2026,64,1
35,9,20,253,2,0
33,10,20,307,8,0
2,2,2,18,2,0
37,21,50,320,14,0
21,6,22,181,5,0
187,47,151,1325,42,0
83,20,62,523,11,0
43,8,30,317,17,0
45,17,48,330,13,0
41,9,35,246,17,0
31,20,41,270,19,0
12,9,17,70,24,0
4,5,8,37,19,0
13,7,13,106,22,0
13,8,15,109,20,0
43,10,15,148,19,0
41,9,14,186,19,0
18,10,12,109,20,0
3,8,9,29,20,0
8,10,12,67,20,0
16,14,19,92,19,0
17,10,10,104,19,0
1,1,2,9,19,0
5,5,8,34,20,0
11,5,10,79,21,0
9,6,9,42,20,0
7,8,12,44,19,0
21,6,8,103,20,0
19,13,22,144,20,0
13,12,15,64,19,0
2,7,7,18,20,0
13,8,14,81,20,0
41,17,35,264,19,0
2,1,3,7,19,0
3,7,7,18,19,0
6,5,8,29,20,0
3,5,6,16,19,0
3,4,5,14,20,0
18,9,13,100,20,0
3,5,6,19,19,0
3,5,7,19,19,0
19,16,19,152,19,0
32,9,18,180,25,0
10,10,16,71,20,0
24,10,23,97,19,0
7,7,11,56,20,0
12,8,7,60,19,0
13,6,20,140,56,0
58,9,40,514,19,0
2,0,2,17,2,0
46,19,37,375,9,0
16,2,14,89,13,0
12,1,6,89,5,0
6,10,5,49,4,0
22,27,47,252,6,0
134,31,87,1028,6,0
3,0,3,17,3,0
1,1,2,3,4,0
11,4,9,66,6,0
10,0,4,60,4,0
6,0,6,8,6,0
8,10,9,71,13,0
24,3,20,126,9,0
21,7,30,204,60,0
156,21,114,1138,47,0
1,0,1,7,1,0
17,1,16,119,0,0
95,8,93,175,92,0
98,0,31,539,25,0
37,11,27,217,3,0
18,0,7,78,3,0
153,19,59,971,8,0
2,1,2,6,2,0
216,20,114,1628,49,0
7,0,7,38,7,0
38,2,13,259,19,0
2031,50,418,5784,88,0
0,0,0,272,0,0
732,4,61,2104,7,0
0,0,0,83,0,0
275,7,51,1043,29,0
141,17,66,916,14,0
2,0,2,5,2,0
5,1,4,43,3,0
18,0,6,171,2,0
1,2,1,12,1,0
31,7,19,161,18,0
15,1,6,85,5,0
14,6,17,107,19,0
36,13,26,291,8,0
2,0,2,75,2,0
19,0,6,130,4,0
110,7,24,488,2,0
6,4,5,34,3,0
4,5,5,27,6,0
20,5,18,114,7,0
7,3,5,67,12,0
21,4,11,152,4,0
120,11,61,713,29,0
68,13,51,481,37,0
1,0,1,3,1,0
4,4,7,37,7,0
7,1,4,72,3,0
7,4,7,30,10,0
14,3,6,86,3,0
29,0,11,250,10,0
5,1,5,94,5,0
72,6,43,916,7,0
17,1,17,250,17,0
271,7,48,1734,17,0
0,0,0,237,0,0
0,1,0,30,0,0
24,1,8,225,0,0
21,4,6,248,1,0
100,1,23,660,18,0
2,1,1,18,3,0
8,2,8,107,8,0
7,2,7,93,7,0
7,1,7,94,7,0
8,1,8,106,8,0
17,0,8,82,6,0
4,1,4,34,4,0
26,1,14,203,9,0
3,2,4,38,3,0
2,2,3,24,9,0
9,2,5,65,9,0
10,2,11,118,8,0
2,1,2,19,2,0
16,2,9,101,10,0
356,28,212,2745,97,1
46,3,17,266,11,0
61,5,21,320,15,0
9,3,8,74,4,0
49,8,27,324,14,0
8,12,14,82,11,0
48,11,33,412,9,0
8,14,19,83,11,0
45,18,42,351,11,0
26,13,35,193,11,0
9,11,18,106,8,0
48,6,27,308,13,1
4,2,4,19,4,0
4,1,4,33,4,0
38,15,45,269,12,0
25,1,9,200,8,0
3,3,6,52,2,0
16,8,15,156,14,0
27,17,26,218,3,0
2,6,8,59,1,0
11,1,9,94,9,0
2,2,3,13,12,0
3,7,7,77,7,0
3,6,8,36,2,0
20,2,11,95,7,0
8,8,12,115,9,0
4,3,5,38,3,0
54,17,50,359,10,0
34,12,28,266,8,0
12,11,16,149,8,0
1,0,1,8,1,0
31,9,23,208,33,0
37,3,19,442,13,0
17,5,12,102,3,0
1,0,1,10,1,0
5,2,5,8,5,0
22,8,19,134,9,0
78,17,68,586,34,0
110,21,59,715,42,0
2,8,3,14,2,0
2,5,2,5,2,0
55,19,44,230,7,0
1,1,1,12,1,0
10,5,15,113,4,0
5,5,5,48,9,0
7,3,7,52,6,0
7,8,12,107,7,0
150,2,30,1088,13,0
41,0,19,448,11,0
25,11,30,264,14,0
36,9,17,325,7,0
32,0,17,205,13,0
36,0,20,231,16,0
15,9,20,132,10,0
12,2,8,92,5,0
19,6,15,284,7,0
36,8,19,300,8,0
23,2,15,141,13,0
2,1,2,6,2,0
43,4,24,295,19,0
25,3,22,160,7,0
36,5,29,289,15,0
6,5,11,68,3,0
77,20,53,477,26,0
18,4,14,152,9,0
23,7,14,186,2,0
62,4,13,421,8,0
184,4,9,350,6,0
8,1,4,44,1,0
15,14,23,160,6,0
28,17,35,204,6,0
2,0,2,5,2,0
7,0,3,28,2,0
59,10,47,451,12,0
47,20,36,376,13,0
14,10,13,154,7,0
30,19,24,202,6,0
9,1,7,94,7,0
12,10,18,151,8,0
7,1,7,103,6,0
15,2,9,176,5,0
48,17,42,375,12,0
16,4,16,136,10,0
7,5,12,94,10,0
9,6,10,115,7,0
11,2,6,79,3,0
98,1,19,569,16,0
1,4,2,12,1,0
1,4,2,13,1,0
1,4,2,11,1,0
1,4,2,15,1,0
1,4,2,11,1,0
1,4,2,12,1,0
1,4,2,13,1,0
1,4,2,12,1,0
1,4,2,12,1,1
1,4,2,11,1,1
1,4,2,12,1,1
1,4,2,11,1,0
1,2,1,9,1,0
1,0,1,9,1,0
3,0,3,17,3,0
1,4,2,12,1,1
33,3,20,173,10,0
1,0,1,4,1,0
35,8,23,286,7,0
4,9,9,63,1,0
15,15,21,164,3,1
30,19,41,313,13,1
8,0,8,28,8,0
7,5,9,84,4,0
11,4,8,79,6,0
10,6,13,82,8,0
15,6,10,108,2,0
2,2,2,55,2,0
1,2,1,18,1,0
8,7,12,64,8,0
11,6,9,59,7,0
15,4,8,84,4,0
7,4,2,34,1,0
45,6,27,386,19,0
2,3,2,14,2,0
1,2,1,4,1,0
56,11,31,336,19,0
14,5,10,122,4,0
4,1,4,40,4,0
5,3,4,36,8,0
3,0,3,24,3,0
1,0,1,8,1,0
14,4,12,118,6,0
9,2,8,81,4,0
18,7,21,149,44,0
11,4,8,82,39,0
75,13,45,510,55,0
10,4,11,56,7,0
6,2,4,60,2,0
7,3,7,53,39,0
93,21,76,1010,35,0
66,10,54,466,31,0
3,1,3,23,3,0
39,12,41,367,20,0
10,2,4,64,1,0
491,89,352,4003,109,0
20,9,10,126,3,0
2,0,2,16,2,0
10,8,7,86,3,0
24,8,19,129,7,0
10,6,7,117,3,0
5,9,10,57,2,0
9,5,7,58,2,0
6,8,11,54,2,0
5,2,2,25,1,0
25,6,11,160,2,0
11,8,9,83,2,0
11,9,8,115,2,0
12,8,13,108,3,0
3,5,4,27,11,0
6,3,8,114,8,0
5,2,6,74,7,0
3,1,5,34,6,0
5,2,7,71,7,0
4,2,6,38,7,0
1,2,2,11,4,0
1,2,2,11,4,0
6,2,8,92,8,0
3,3,5,18,9,0
1,2,2,11,4,0
2,3,3,24,5,0
4,4,8,29,7,0
1,2,2,11,4,0
4,2,6,39,7,0
4,1,5,32,6,0
5,2,7,68,7,0
15,15,30,196,15,0
17,10,27,246,15,0
22,2,19,148,9,0
6,9,13,101,15,0
8,2,10,136,17,0
24,12,29,271,15,0
3,2,6,29,15,0
6,4,14,109,17,0
11,9,24,242,15,0
8,10,21,128,15,0
3,3,10,87,17,0
17,4,15,214,15,0
8,7,20,90,17,0
15,8,34,351,22,0
3,2,6,21,3,0
9,2,10,119,16,0
15,9,20,191,15,0
13,8,23,105,16,0
3,3,15,94,15,0
8,5,15,137,15,0
19,17,28,181,15,0
9,7,21,236,15,0
5,4,9,68,15,0
4,5,25,205,17,0
25,15,23,293,8,0
17,10,17,196,15,0
8,7,15,195,15,0
24,4,16,152,10,0
10,23,32,218,2,0
12,24,31,240,2,0
8,8,13,122,1,0
18,5,14,118,6,0
5,2,3,53,0,0
29,10,20,217,0,0
40,7,17,242,7,0
25,14,27,219,7,0
9,7,10,135,6,0
23,8,22,141,1,0
36,13,27,351,2,0
8,4,13,82,3,0
21,6,14,158,3,0
1,1,3,11,1,0
20,4,9,100,4,0
7,5,10,68,9,0
32,2,8,284,5,0
23,6,12,106,6,0
6,3,7,35,5,0
13,6,18,130,14,0
10,6,11,77,7,0
4,0,3,31,3,0
2,3,2,6,2,0
30,3,11,193,10,0
28,22,48,244,7,0
20,11,22,134,5,0
48,29,50,431,14,0
1,0,1,3,1,0
34,3,7,196,5,0
163,36,127,1311,31,0
26,18,39,292,5,0
67,29,80,877,11,0
5,1,5,31,5,0
2,1,2,30,2,0
48,4,14,324,14,0
12,5,10,107,5,0
29,7,14,212,8,0
2,3,2,35,2,0
24,3,14,198,10,0
17,4,17,149,7,0
49,2,19,367,15,0
56,2,34,362,31,0
