WMC,CBO,RFC,LOC,NPM,isExistBug
12,4,12,113,12,1
27,8,23,249,18,1
22,8,36,202,30,1
4,6,9,40,3,1
115,10,75,973,48,1
6,0,3,28,2,1
13,4,11,80,34,1
28,8,23,221,47,1
2,2,3,10,1,1
11,5,8,83,1,1
24,7,27,276,42,1
21,6,22,232,13,1
49,15,43,492,22,1
5,2,5,58,6,1
20,1,6,114,14,1
13,5,18,229,10,1
5,3,9,108,52,1
17,2,10,114,4,1
31,2,14,308,10,1
11,4,11,115,10,1
12,1,14,171,10,1
48,17,44,580,8,1
2,3,5,15,2,0
1,1,1,7,0,1
12,1,5,76,2,0
20,8,24,203,52,1
4,3,6,43,7,1
14,4,17,146,23,1
42,6,32,336,28,1
1,4,4,129,0,1
14,3,14,134,1,1
11,3,15,107,0,1
2,1,4,20,1,1
5,3,8,101,1,1
4,4,7,48,1,1
9,8,14,146,1,1
38,4,29,298,15,1
20,3,11,146,4,1
14,3,7,61,3,1
30,6,19,122,6,1
35,7,18,207,6,1
5,0,3,27,3,1
10,0,4,108,4,1
30,3,11,144,8,1
20,1,10,151,9,1
5,3,6,31,8,1
21,1,7,126,7,1
22,6,14,165,15,1
5,1,6,51,8,1
11,1,7,80,2,1
2,1,3,15,0,1
23,1,6,112,8,1
9,1,6,119,3,1
19,0,8,154,8,1
4,0,4,23,3,1
9,5,9,72,7,1
63,5,20,430,12,1
13,2,5,76,2,1
55,15,21,347,2,1
7,2,5,41,4,1
3,0,3,30,3,1
4,2,6,26,8,1
8,1,6,53,5,1
2,0,1,13,1,1
6,0,1,41,1,1
33,7,27,275,32,1
15,2,8,100,6,1
3,2,6,28,2,1
35,11,21,272,12,1
27,10,28,249,18,1
27,9,14,206,11,1
26,8,27,234,13,1
1,0,1,11,0,1
2,1,3,47,1,1
4,3,4,72,2,1
24,10,40,229,25,1
6,3,7,82,28,1
32,1,18,231,16,1
1,0,1,38,1,1
32,1,27,360,26,1
1,1,1,16,1,1
2,2,2,46,2,1
1,3,8,50,1,1
10,2,13,81,30,1
28,0,23,206,22,1
36,7,32,251,4,1
24,4,35,254,14,1
26,3,22,200,14,0
8,1,9,119,7,1
4,1,3,94,2,1
5,0,4,92,4,1
39,2,31,224,13,1
17,1,7,112,3,1
171,19,147,1358,22,1
4,2,6,98,1,0
12,0,6,110,1,1
1,1,4,52,2,1
5,1,6,93,4,1
1,1,4,48,2,1
17,5,14,167,8,1
12,1,9,127,8,1
1,0,1,39,1,1
2,0,2,41,2,1
3,3,5,65,1,1
3,0,1,49,1,1
25,0,14,132,12,1
4,0,4,51,4,1
5,5,9,66,3,1
42,4,30,295,14,1
9,6,13,112,4,1
9,3,6,105,3,1
26,0,20,159,16,1
27,4,27,221,15,1
2,1,3,50,5,1
8,1,9,111,3,1
13,1,9,126,8,1
4,0,4,44,4,1
60,11,51,403,4,1
36,0,17,255,11,1
1,4,2,12,1,0
26,5,19,175,26,1
8,8,11,75,1,1
44,10,42,334,35,1
7,4,8,52,1,1
34,5,24,275,31,1
23,4,18,171,26,1
10,5,10,59,2,1
16,9,15,125,2,1
67,7,26,332,30,1
10,4,12,62,21,1
5,7,12,48,1,1
5,4,14,44,1,1
14,6,21,86,1,1
5,4,13,44,1,1
24,6,22,129,28,1
4,5,14,44,1,1
2,1,2,13,1,1
1,0,1,8,1,1
19,4,15,168,8,1
4,2,2,50,2,1
6,2,3,69,2,1
5,1,2,33,2,1
6,0,2,48,1,0
7,1,4,58,1,1
15,3,10,109,1,0
7,0,7,32,7,1
10,0,3,88,1,1
17,5,16,127,1,0
7,3,7,36,21,1
5,0,3,36,1,1
7,1,7,47,7,1
1,1,1,33,1,1
2,2,2,14,2,1
0,0,0,10,0,1
6,4,6,53,7,1
2,2,2,48,2,1
2,2,2,15,2,1
25,1,5,214,5,1
1,1,1,6,1,1
15,6,15,71,15,1
36,11,29,350,12,1
3,0,3,14,3,1
1,0,1,35,1,1
2,2,2,9,2,1
1,1,1,10,1,1
5,4,6,48,56,1
4,1,6,30,3,1
1,1,1,7,1,1
10,1,9,59,8,1
12,0,3,99,1,0
5,6,10,50,3,1
3,3,8,31,1,1
2,1,4,16,1,1
8,3,8,46,1,1
14,3,13,79,1,1
1,2,5,12,1,1
7,3,9,61,1,0
17,6,16,135,6,1
6,3,7,45,1,1
1,1,2,7,1,1
5,2,7,35,1,1
8,5,22,81,1,1
6,4,9,53,1,1
6,0,2,40,2,1
20,2,12,139,7,1
22,3,17,157,7,0
1,5,5,9,1,1
5,4,8,30,56,0
2,3,3,11,2,0
3,2,3,36,4,1
6,3,7,57,56,1
10,6,13,93,8,1
5,3,4,27,1,0
5,3,5,40,2,0
10,5,8,65,6,1
2,3,2,14,2,1
9,3,10,73,1,1
13,3,9,84,8,1
7,2,7,46,1,1
99,20,65,750,11,1
3,1,7,24,3,1
10,4,15,112,8,1
2,3,6,15,2,0
4,1,5,21,3,1
5,2,11,39,1,1
