WMC,CBO,RFC,LOC,NPM,isExistBug
2,0,2,9,1,0
5,1,5,52,3,1
8,3,7,39,9,1
59,1,20,220,12,1
14,2,13,74,9,1
84,3,8,226,9,0
3,4,6,16,4,1
8,2,10,40,10,1
5,3,5,35,8,0
2,1,3,12,10,0
4,3,6,20,8,0
2,1,3,12,11,1
9,2,9,54,8,1
4,4,11,19,8,0
176,0,27,487,13,0
3,4,6,15,4,1
12,2,10,76,14,0
8,7,15,62,9,1
15,4,19,146,17,1
2,4,5,16,8,0
89,2,53,742,45,1
3,1,5,20,6,1
6,2,8,72,4,1
4,1,4,24,6,1
3,4,6,15,4,1
2,1,3,12,10,1
11,0,3,87,3,1
19,8,31,228,20,1
11,3,8,45,8,0
15,4,25,168,15,1
70,1,25,674,10,0
62,5,24,318,25,1
12,0,7,63,6,1
28,1,7,220,6,1
47,3,22,286,17,0
48,6,19,329,38,1
1,1,1,10,1,0
7,0,3,72,2,1
24,1,24,167,24,1
1,2,1,6,1,0
7,2,4,39,4,0
10,0,2,93,2,1
4,2,2,37,2,0
15,5,7,92,0,1
11,2,7,105,5,0
17,4,11,114,20,0
10,2,7,63,6,0
4,1,5,36,3,0
86,18,53,536,8,1
26,7,25,167,24,0
24,6,23,195,5,0
41,8,30,246,9,1
1,0,1,5,1,0
10,2,13,85,1,0
8,2,8,96,0,0
55,16,52,351,70,1
5,4,5,7,0,0
2,2,2,12,0,0
6,5,6,27,0,0
2,1,2,5,0,0
4,4,4,6,0,0
13,10,17,98,1,0
3,3,5,25,1,0
7,10,11,50,1,0
7,8,15,47,1,1
2,5,4,20,2,0
41,16,25,267,2,1
9,10,18,66,1,0
17,16,29,139,1,1
5,16,14,43,1,1
190,44,127,1172,0,1
2,4,3,25,1,1
18,0,4,83,1,1
45,6,44,293,18,1
4,0,4,58,4,0
6,3,8,45,9,0
64,20,47,413,0,1
37,11,35,281,0,1
28,12,57,146,68,1
10,12,7,78,2,0
54,26,38,349,0,1
22,12,16,118,3,0
5,9,6,22,3,0
13,2,12,81,11,1
3,0,3,25,3,0
2,0,2,51,2,0
89,10,37,485,5,1
18,1,4,65,4,0
7,1,2,174,0,0
43,12,51,513,22,1
92,25,100,999,62,1
559,33,308,4521,88,1
6,1,5,45,3,0
6,5,6,24,0,0
4,2,4,18,0,0
4,5,4,6,0,0
5,5,5,7,0,0
2,0,2,4,0,0
4,3,4,6,0,0
3,2,3,22,2,0
6,2,7,61,14,1
4,2,4,37,12,1
65,8,27,390,9,1
15,4,4,86,2,1
6,5,6,85,0,1
2,2,2,10,0,0
32,3,17,202,1,0
19,2,12,103,0,1
66,16,62,337,69,1
90,20,78,419,74,1
23,8,31,130,13,0
23,14,16,138,0,0
8,8,11,50,3,0
6,8,7,22,1,0
11,5,5,54,6,0
79,16,69,413,73,1
27,1,15,162,14,0
11,3,9,91,9,0
0,0,0,6,0,0
3,5,6,13,74,1
4,2,4,15,82,0
6,0,4,30,3,0
128,6,49,656,8,1
68,9,58,552,28,1
12,5,13,59,0,1
5,3,8,21,8,0
131,33,102,739,0,1
198,35,135,1010,81,1
41,13,33,187,8,1
28,8,31,187,5,0
9,3,4,46,10,0
31,6,25,174,12,1
15,1,8,67,7,0
4,5,4,18,0,0
9,4,10,55,5,1
22,3,13,101,8,0
1,0,1,5,1,0
23,14,27,140,1,1
6,10,10,43,1,1
7,13,9,45,1,1
19,0,13,95,10,1
19,6,21,116,6,0
8,2,8,50,8,0
7,1,6,36,5,1
6,0,6,47,6,1
5,0,5,38,0,0
59,12,36,298,6,1
28,8,23,200,0,1
2,2,2,20,8,0
4,1,4,49,12,0
19,1,13,77,10,0
3,1,4,17,1,0
7,1,7,74,5,0
12,0,8,65,8,1
77,11,44,511,2,0
35,20,34,219,2,1
31,22,32,214,2,1
10,13,10,66,3,0
30,11,26,190,2,1
30,12,23,195,3,0
7,6,7,14,0,0
6,3,6,8,0,0
4,5,4,6,2,0
95,18,36,520,6,0
17,16,23,100,1,0
12,0,12,92,12,1
20,1,14,96,13,0
44,9,27,284,49,0
