WMC,CBO,RFC,LOC,NPM,isExistBug
96,9,30,332,15,1
1,0,1,3,1,0
33,3,21,278,20,1
195,12,48,695,16,0
3,1,5,13,6,0
11,1,11,50,8,1
3,0,3,6,3,0
13,0,9,80,9,0
1,0,1,18,1,1
2,0,2,13,2,0
4,1,4,41,4,0
2,0,2,45,2,0
0,0,0,2,0,0
7,0,6,27,4,1
31,9,24,168,11,1
11,7,10,49,8,0
4,1,4,29,4,0
7,1,5,47,5,0
265,32,171,2002,45,1
3,0,3,13,3,0
15,4,15,55,15,0
6,1,6,46,0,0
4,0,4,47,0,0
3,0,3,13,0,0
0,0,0,4,0,0
259,12,85,1295,22,1
3,0,3,11,3,0
1,0,1,9,1,0
18,1,10,90,4,1
16,4,16,96,16,1
1,1,1,7,1,0
11,3,7,71,4,0
16,1,15,82,13,0
19,0,12,94,11,0
11,2,12,67,24,0
14,0,10,66,10,0
1,0,1,4,1,0
26,4,24,130,25,0
33,2,23,135,26,0
44,4,35,210,25,0
22,2,19,95,24,0
3,0,3,18,3,0
7,2,4,38,2,0
3,0,3,18,3,0
23,8,15,120,7,0
17,3,10,132,3,0
30,1,6,85,4,0
3,0,3,15,2,0
14,0,3,65,3,0
3,0,2,20,2,0
2,0,2,16,2,0
