WMC,CBO,RFC,LOC,NPM,isExistBug
15,9,11,115,2,1
25,5,27,188,31,1
51,7,48,409,46,1
11,6,21,128,30,1
7,5,15,98,20,1
36,7,43,397,51,1
3,1,4,39,19,1
14,5,22,164,28,1
35,5,35,316,40,1
11,5,16,117,22,1
14,4,19,136,17,1
28,6,24,150,24,1
12,5,20,152,26,1
20,7,26,195,30,1
88,8,20,909,5,1
15,7,27,152,24,1
9,1,10,593,2,1
12,1,11,69,10,1
10,10,12,74,1,1
4,0,4,44,4,1
5,1,6,30,21,1
21,4,24,213,18,1
1,1,1,8,1,1
2,1,2,20,2,1
1,1,2,18,17,1
12,4,19,92,16,1
24,5,20,193,24,1
15,6,23,180,28,1
15,6,24,159,28,1
13,6,24,134,24,1
2,2,2,13,2,1
19,5,27,163,25,1
10,0,3,104,1,0
25,1,11,210,10,0
0,0,0,169,0,0
26,5,24,313,13,0
11,2,12,94,21,0
62,12,83,640,105,0
5,0,5,76,5,0
10,0,8,118,8,0
4,1,8,50,12,0
2,3,5,31,10,0
4,1,8,46,9,0
4,1,8,46,12,0
8,6,12,89,14,0
19,13,34,258,31,1
59,14,46,661,35,0
4,1,8,46,12,0
4,1,8,50,9,0
4,1,8,46,12,0
48,11,22,367,8,1
43,12,47,636,20,0
8,10,12,90,3,0
1,1,2,17,10,0
55,10,34,580,14,1
28,8,56,295,56,0
57,7,67,718,111,1
10,2,9,254,7,1
14,7,19,183,8,0
4,1,8,52,9,0
1,3,4,25,9,0
29,0,14,326,13,1
4,0,2,474,2,0
99,10,22,512,7,1
3,1,4,49,8,0
1,1,2,17,10,0
9,0,7,361,7,0
9,1,9,162,6,1
145,133,147,545,5,1
7,4,10,57,4,0
32,10,23,213,6,0
20,9,36,325,4,1
1,1,1,9,1,0
37,85,40,327,6,1
6,2,4,27,1,0
11,9,13,82,4,1
1,1,1,9,1,0
2,3,2,33,2,1
18,8,14,165,5,1
1,1,1,9,1,0
10,5,8,103,3,0
5,0,5,62,5,0
19,22,28,122,3,0
17,12,26,99,7,1
2,6,25,38,1,1
16,4,24,123,4,0
16,4,24,100,4,0
181,32,104,930,7,1
7,17,31,94,3,1
0,0,0,4,0,0
5,1,5,12,5,0
7,16,32,103,3,1
8,17,39,131,3,1
325,60,355,3079,101,1
