WMC,CBO,RFC,LOC,NPM,isExistBug
1,0,1,8,1,0
16,3,10,95,4,0
2,1,2,16,2,0
4,1,4,31,4,0
52,5,52,340,52,0
70,10,31,323,21,1
3,1,3,23,5,0
0,0,0,245,0,1
3,0,3,17,3,1
11,2,11,56,2,1
30,2,26,147,24,0
84,4,21,406,9,1
124,14,74,800,47,1
14,9,12,99,2,1
1,0,1,9,1,0
58,6,17,256,2,1
25,8,11,155,2,0
3,5,5,17,2,0
3,4,6,15,2,0
8,5,7,63,2,0
16,7,14,91,2,0
15,8,15,89,2,0
11,7,15,58,2,0
10,7,9,68,2,0
1,2,2,6,15,0
1,2,2,16,3,0
3,5,6,22,2,0
39,4,17,143,2,0
14,6,17,81,2,0
17,4,12,94,2,0
13,4,14,56,2,0
8,5,9,63,2,0
8,3,7,43,2,0
4,4,6,44,2,0
6,5,6,46,2,0
3,1,3,26,3,0
27,6,19,209,8,0
2,1,2,18,2,0
2,3,4,17,2,0
4,4,6,23,2,0
2,3,4,16,2,0
4,4,6,23,2,0
2,3,3,18,2,0
4,3,5,22,2,0
10,5,10,60,2,0
12,2,7,55,1,0
29,5,17,143,2,1
17,4,15,90,2,1
20,7,15,113,2,0
12,7,16,68,2,0
16,6,12,74,2,0
11,4,10,55,2,0
2,4,4,17,2,0
4,5,7,24,2,0
11,7,15,85,2,0
9,5,12,63,2,0
8,4,7,48,2,0
9,3,9,38,2,0
2,1,2,14,2,0
22,4,12,172,5,1
12,4,8,79,1,0
2,1,2,16,2,0
14,3,9,108,3,1
17,1,3,89,2,0
2,4,4,19,2,0
4,5,7,23,2,0
42,6,13,188,2,0
24,4,13,118,2,0
26,1,7,158,3,1
17,6,10,62,2,0
10,4,11,47,2,0
56,8,34,293,1,0
43,10,33,202,1,0
22,6,12,111,2,0
12,4,10,50,2,0
12,2,7,68,1,0
5,2,5,42,1,0
6,3,4,34,1,1
3,2,2,15,1,1
4,5,5,29,2,0
5,5,7,27,2,0
16,7,10,82,3,0
17,7,14,84,3,0
3,1,3,25,3,0
23,4,17,186,7,0
1,1,1,12,1,0
9,2,7,88,6,1
8,7,11,62,2,0
10,7,12,56,2,0
2,4,4,20,2,0
4,5,7,24,2,0
44,26,55,228,5,1
17,16,21,115,2,1
4,3,5,28,1,0
6,3,4,39,1,0
14,5,11,76,1,0
7,3,9,55,1,0
19,5,11,98,2,0
10,8,13,52,2,0
0,0,0,58,0,1
1,2,3,15,1,0
1,2,2,21,1,0
13,5,13,72,2,1
12,5,14,55,2,1
7,8,10,53,6,1
5,8,9,42,4,0
12,6,15,75,4,1
13,6,12,56,3,0
58,14,36,308,2,0
30,17,22,166,2,1
5,4,6,30,3,0
4,5,5,28,2,0
4,3,5,22,3,0
3,5,3,20,2,0
7,7,9,50,3,1
6,8,7,42,2,1
9,11,10,96,3,1
8,10,7,54,2,1
20,9,17,113,3,0
8,6,10,54,2,0
4,3,5,25,2,0
3,3,2,19,1,1
23,4,12,151,1,1
0,0,0,65,0,0
10,5,10,81,10,0
19,5,7,145,1,1
10,1,10,43,10,0
59,9,38,338,2,1
94,9,70,433,61,1
19,10,13,106,2,1
42,17,44,295,12,1
5,3,5,39,3,1
9,3,9,58,7,1
3,1,4,15,3,0
21,4,13,160,5,1
5,5,5,27,3,0
146,13,90,815,60,1
43,14,34,213,4,0
8,2,7,65,3,1
42,1,4,312,3,1
2,1,4,23,2,1
53,14,30,291,3,1
3,1,3,17,3,0
22,9,24,159,5,1
20,11,19,86,1,0
5,0,1,28,1,0
16,2,15,84,2,1
14,5,12,104,2,0
30,9,31,171,18,1
36,7,31,197,14,0
7,1,7,66,7,1
34,1,12,235,7,1
28,6,21,168,9,0
30,9,28,155,14,0
32,8,29,206,13,1
66,11,43,440,14,0
54,9,47,281,21,0
28,1,10,183,5,1
2,3,2,17,2,1
8,4,6,62,3,1
4,3,4,41,4,0
53,5,16,316,8,0
28,5,8,139,4,0
25,4,8,102,4,0
25,4,8,132,4,0
42,0,42,372,42,0
18,6,19,92,14,1
33,4,19,189,6,1
1,2,1,10,11,0
58,4,18,239,4,1
6,1,6,44,10,0
10,6,9,74,7,0
8,2,9,42,8,0
12,4,9,84,3,0
0,0,0,5,0,0
1,0,1,7,0,0
1,0,1,7,0,0
1,0,1,7,0,0
1,0,1,7,0,0
42,10,36,260,29,1
10,7,11,50,15,1
70,9,45,414,26,1
57,8,33,220,24,1
5,3,8,34,6,1
43,3,30,176,13,1
44,5,19,176,16,1
39,8,28,208,15,1
31,6,16,132,8,1
43,13,39,303,23,1
43,9,25,220,15,1
12,4,11,69,15,1
7,4,8,38,15,1
6,2,7,31,6,0
0,0,0,13,0,0
18,1,3,93,3,0
22,5,22,111,13,0
51,3,23,232,20,1
70,9,42,371,23,1
22,9,21,134,13,1
38,11,30,221,18,1
40,9,21,222,20,1
18,6,15,88,12,1
55,5,26,325,18,1
44,7,26,210,29,1
9,4,8,51,15,1
9,4,8,51,15,1
23,4,18,139,12,1
92,5,45,433,24,1
48,4,22,181,14,1
79,12,48,464,19,1
2,0,2,12,2,0
1,2,2,11,1,0
5,2,5,26,5,0
0,0,0,4,0,0
24,6,23,129,12,0
12,2,12,95,12,0
8,0,8,26,8,0
17,1,17,90,17,0
