WMC,CBO,RFC,LOC,NPM,isExistBug
18,15,25,289,23,1
12,2,11,137,37,0
11,2,14,229,11,0
5,1,8,41,5,0
63,13,34,493,11,0
10,0,2,65,2,0
55,2,38,435,34,0
4,0,3,46,3,0
4,1,4,37,2,0
3,0,2,31,0,0
4,2,6,57,4,0
14,1,8,123,6,0
27,11,52,447,24,1
30,8,53,492,28,1
43,10,16,311,14,0
0,0,0,4,0,0
3,1,3,27,3,0
42,20,30,410,8,0
1,1,1,27,1,0
3,3,3,67,3,1
1,1,1,22,1,0
1,1,1,20,1,0
1,1,1,23,1,0
2,1,2,24,2,0
2,1,2,24,2,0
2,1,2,24,2,0
2,1,2,24,2,0
4,5,7,59,2,1
4,1,1,37,1,0
3,1,7,33,8,0
8,3,4,84,2,0
8,7,10,120,5,0
26,3,21,327,18,0
22,3,17,213,32,0
28,8,54,242,28,1
5,0,5,42,5,0
20,8,25,173,37,1
0,4,0,4,27,0
32,8,52,305,28,1
21,5,19,234,19,1
2,1,2,13,2,0
17,2,17,124,17,1
3,2,3,26,3,0
34,11,30,247,36,1
24,1,9,269,3,0
3,0,3,20,3,0
3,1,6,32,7,0
1,1,2,7,5,0
8,3,10,106,12,0
16,5,18,185,13,0
3,1,6,33,7,0
5,3,7,61,9,0
4,1,5,54,4,0
34,2,20,309,13,0
40,0,18,303,14,0
3,2,3,20,3,0
5,7,12,45,3,0
1,4,1,6,1,0
29,9,58,438,29,0
0,0,0,319,0,1
147,35,110,1643,48,1
4,0,4,30,4,0
40,15,40,477,44,1
38,15,74,571,38,1
59,15,43,676,8,0
37,5,19,398,9,1
4,10,5,60,10,1
6,12,15,99,10,1
9,8,9,107,9,1
0,0,0,8,0,0
14,16,23,178,10,1
19,22,35,289,10,1
21,16,23,220,10,1
2,6,4,27,9,0
4,6,7,56,10,1
15,11,17,222,12,1
19,4,10,159,9,1
21,18,25,233,10,1
23,15,25,235,11,1
28,17,34,275,14,1
27,5,13,200,6,1
1,2,2,12,8,0
20,3,20,104,4,1
11,2,7,86,5,1
13,2,7,106,4,0
28,5,37,241,21,0
32,5,12,214,5,1
1,2,2,12,7,0
4,1,4,62,4,1
5,4,8,54,4,1
18,2,20,171,32,0
22,10,17,211,1,1
2,1,2,41,2,1
4,2,4,41,4,1
1,2,1,11,6,0
2,3,5,21,8,0
21,3,25,175,38,0
22,2,10,147,7,1
13,3,8,137,4,0
25,2,12,169,8,1
2,0,2,22,1,0
12,0,12,92,12,0
17,1,16,119,12,0
26,1,5,182,4,0
1078,60,220,3460,50,1
0,0,0,225,0,1
1674,4,100,4635,10,1
0,0,0,89,0,1
22,4,15,205,12,0
2,0,2,74,2,0
19,0,6,130,4,0
55,1,24,487,21,0
8,6,9,46,39,0
10,6,10,81,36,0
3,3,6,27,34,0
5,8,10,42,35,0
9,9,10,72,36,1
15,14,29,169,39,1
5,7,11,42,39,0
25,9,17,131,36,0
5,8,11,54,36,0
4,4,7,38,35,0
6,5,9,53,36,1
5,6,9,42,35,1
5,6,11,45,36,0
5,4,8,45,36,0
6,6,10,78,36,0
15,9,15,98,36,1
15,9,15,97,36,1
21,17,29,217,36,0
8,8,12,82,36,0
3,3,6,28,34,0
7,6,10,80,36,0
12,7,11,109,35,0
15,9,15,96,36,1
15,9,15,97,36,1
7,5,10,51,35,0
17,12,20,110,37,0
31,19,34,326,37,1
5,7,11,42,39,0
3,4,6,24,39,0
25,9,17,120,36,0
7,6,10,49,36,0
5,6,10,47,35,0
10,6,10,77,36,0
3,3,6,27,34,0
93,25,60,832,44,1
20,16,32,203,36,0
4,8,8,45,35,1
28,13,25,292,39,0
3,4,6,24,39,0
6,8,11,57,36,1
5,4,8,45,36,0
3,3,6,27,34,0
3,3,6,27,34,0
3,3,6,27,34,0
4,1,4,48,3,0
10,7,12,83,7,0
8,6,11,80,5,0
8,3,6,49,4,1
8,3,6,49,4,1
79,0,13,438,11,0
25,7,25,168,25,1
32,4,5,197,4,0
41,41,41,295,41,1
11,6,12,111,5,0
8,4,9,92,4,0
4,1,4,47,3,0
10,4,10,101,4,0
47,12,40,404,31,1
7,7,9,67,20,0
20,4,20,255,19,1
5,2,5,42,5,0
6,6,9,66,5,0
3,4,3,25,1,0
3,4,3,49,3,1
39,14,50,574,4,1
8,6,9,75,11,0
33,7,21,310,12,0
41,7,23,355,12,1
14,4,13,130,6,0
24,6,19,195,11,0
19,6,17,218,11,1
2,5,6,34,1,1
34,9,27,297,18,1
24,5,16,191,12,0
7,0,7,77,7,0
6,1,6,46,6,0
6,2,7,61,6,0
43,43,44,399,43,1
46,43,44,370,83,1
38,12,28,615,5,0
49,5,29,510,17,0
50,10,42,599,19,0
5,0,3,48,3,0
11,1,5,158,1,0
6,0,4,73,4,0
4,0,4,27,4,0
10,0,4,118,3,1
1,1,1,9,1,0
4,0,4,47,4,0
12,0,3,94,3,0
5,0,1,76,1,1
1,1,1,9,1,0
8,0,5,106,4,0
71,0,22,603,22,0
1,0,1,10,1,0
11,7,11,78,8,1
1,1,1,9,6,0
21,4,11,149,3,1
6,1,7,61,5,0
0,0,0,15,0,0
68,0,2,153,2,0
7,6,7,76,4,0
6,6,7,66,1,0
3,1,3,28,3,0
7,3,6,100,4,0
10,6,11,81,14,1
54,2,10,366,3,1
1,0,1,14,1,0
20,4,6,118,7,0
6,8,9,64,11,1
5,4,5,49,5,1
31,25,27,283,7,1
2,2,2,16,2,0
4,0,4,33,4,0
3,0,3,25,3,0
3,0,3,26,3,0
