WMC,CBO,RFC,LOC,NPM,isExistBug
11,0,8,120,8,1
48,3,25,655,21,1
7,3,7,61,7,1
5,9,7,43,14,1
8,6,9,106,5,1
28,18,26,181,7,1
31,19,22,342,6,1
3,1,4,69,7,1
72,14,29,488,8,1
68,16,29,478,8,1
24,2,4,91,3,1
10,1,4,75,3,1
25,3,12,254,8,1
21,8,18,206,7,1
118,12,29,939,5,1
58,2,20,579,0,1
10,0,9,88,0,1
9,1,8,59,0,1
6,1,4,51,2,1
22,6,6,88,1,1
31,19,40,264,7,1
6,1,3,53,0,1
7,6,4,66,2,1
108,3,46,1071,36,1
47,13,30,554,6,1
43,2,22,348,18,1
25,3,16,197,6,1
26,3,13,288,9,1
25,12,33,347,9,1
24,3,12,210,8,1
58,2,20,579,0,1
13,10,17,158,2,1
45,10,25,367,6,1
10,0,9,88,0,1
9,1,8,59,0,1
14,0,14,123,14,1
9,3,8,94,4,1
237,15,172,1575,127,1
59,6,27,539,16,1
35,1,19,296,18,1
12,1,8,183,6,1
58,2,20,579,0,1
7,0,5,65,5,1
15,0,13,247,12,1
101,15,51,1052,137,1
16,5,10,196,130,1
68,5,25,402,9,1
10,0,9,88,0,1
9,1,8,59,0,1
164,20,78,1346,33,1
3,5,15,71,199,1
13,6,22,143,200,1
1,5,11,41,198,1
7,7,5,35,200,1
36,25,19,137,202,1
2,5,8,47,200,1
2,5,8,47,200,1
2,3,2,25,200,1
27,8,28,265,200,1
10,10,20,113,198,1
40,17,47,314,201,1
5,6,15,57,198,1
15,8,35,186,210,1
2,7,10,41,198,1
2,8,10,41,199,1
0,1,0,4,197,1
8,7,28,109,199,1
1,5,6,25,199,1
7,5,20,92,199,1
2,5,8,52,200,1
0,1,0,5,201,1
144,26,113,1623,38,1
113,11,36,971,21,1
4,3,6,54,215,1
163,12,62,1620,1,1
99,5,42,799,3,1
36,9,36,342,197,1
6,57,19,864,5,1
6,2,4,56,10,1
6,0,3,1474,2,1
6,1,3,2438,2,1
6,1,3,2437,2,1
6,1,3,2439,2,1
0,1,0,3,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
1,1,1,2304,3,1
6,1,3,2439,2,1
6,1,3,2439,2,1
6,1,3,2439,2,1
0,1,0,4,1,1
9,1,9,107,9,1
2,4,4,43,1,1
29,7,30,233,6,1
62,14,33,585,14,1
6,4,6,64,7,1
5,5,7,71,8,1
8,11,17,117,10,1
5,7,4,46,15,1
0,1,0,372,0,1
28,4,30,357,214,1
8,9,17,81,191,1
49,23,79,403,224,1
38,11,24,230,205,1
12,10,25,140,199,1
33,18,48,330,216,1
20,10,27,160,193,1
21,6,15,114,191,1
11,9,22,104,195,1
23,19,40,206,194,1
39,16,39,332,200,1
1,1,2,10,188,1
6,6,13,70,210,1
12,15,26,113,212,1
31,18,45,282,228,1
32,11,34,334,201,1
6,2,7,77,193,1
8,4,10,80,191,1
41,21,80,491,204,1
15,11,26,137,193,1
103,16,78,851,224,1
8,7,14,90,192,1
225,28,105,1898,213,1
2,2,2,25,189,1
30,11,29,189,194,1
11,11,22,90,213,1
20,7,22,304,201,1
24,12,43,370,208,1
176,21,106,1597,187,1
6,3,9,111,192,1
17,5,16,212,197,1
12,6,13,95,226,1
12,7,10,166,192,1
26,15,40,289,196,1
50,21,71,492,207,1
2,6,7,40,209,1
9,7,16,90,193,1
21,16,36,219,197,1
52,16,40,403,54,1
13,15,23,148,59,1
9,14,26,111,50,1
13,7,19,164,198,1
10,2,12,131,197,1
75,9,51,641,222,1
178,29,100,1252,28,1
158,20,94,1436,258,1
31,2,38,304,267,1
104,26,115,1237,311,1
113,16,55,818,9,1
20,7,22,214,12,1
4,4,5,47,15,1
4,4,7,58,212,1
4,0,4,62,4,1
1,1,1,11,1,1
8,6,8,94,20,1
9,8,18,154,72,1
4,5,10,49,70,1
1,5,2,22,2,1
3,1,3,38,3,1
5,1,5,129,5,1
43,19,40,356,9,1
1,4,1,57,1,1
3,3,3,27,3,1
1,2,1,14,4,1
1,2,1,10,5,1
2,2,2,19,7,1
50,15,35,391,17,1
11,3,3,131,3,1
14,5,14,178,1,1
7,4,7,121,0,1
17,5,16,169,2,1
1,0,1,36,1,1
9,11,12,112,124,1
11,8,8,81,1,1
15,19,23,131,119,1
21,15,35,213,4,1
17,2,15,281,12,1
5,5,3,97,0,1
37,7,14,424,2,1
15,3,3,196,0,1
6,2,6,136,1,1
1,0,1,25,1,1
19,5,15,165,2,1
18,9,15,145,5,1
22,4,16,194,7,1
0,0,0,4,0,1
9,14,27,201,0,1
7,3,7,77,9,1
1,1,1,13,1,1
106,8,58,1025,33,1
142,11,68,1405,43,1
339,68,324,3589,130,1
10,7,23,122,9,1
2,0,2,23,1,1
0,0,0,5,0,1
17,8,19,112,9,1
94,1,19,1205,4,1
58,2,20,579,0,1
175,14,20,1119,1,1
10,0,9,88,0,1
9,1,8,59,0,1
2,0,2,5,2,1
44,5,44,70,44,1
1,2,1,29,1,1
9,1,9,11,53,1
10,0,10,55,10,1
2,0,1,10,1,1
1,1,1,3,1,1
11,4,11,22,11,1
3,0,3,15,3,1
23,4,22,115,2,1
58,2,20,579,0,1
10,0,9,88,0,1
9,1,8,59,0,1
46,13,28,239,6,1
25,5,17,173,5,1
1,0,1,6,1,1
1,1,2,6,2,1
1,1,2,6,2,1
13,12,16,84,31,1
18,16,24,95,41,1
9,10,16,65,32,1
20,17,26,138,43,1
10,14,30,123,15,1
27,22,41,156,15,1
3,1,3,15,2,1
2,5,8,16,12,1
23,18,35,167,19,1
3,5,5,20,26,1
40,14,20,217,29,1
18,12,28,95,31,1
4,8,11,23,42,1
9,7,8,41,31,1
28,19,43,196,16,1
7,11,14,62,42,1
21,17,32,192,32,1
2,6,5,13,41,1
18,16,20,123,12,1
4,1,4,24,4,1
7,10,14,77,13,1
5,0,4,28,4,1
8,11,12,54,42,1
0,0,0,477,0,1
8,12,15,67,44,1
10,13,25,104,14,1
13,17,19,98,14,1
2,4,4,9,41,1
24,13,18,214,16,1
16,13,17,115,42,1
9,12,13,56,44,1
64,21,29,303,35,1
26,15,29,176,25,1
8,8,8,46,15,1
15,14,21,150,30,1
13,15,17,121,30,1
13,12,16,84,31,1
2,6,5,13,41,1
17,0,7,83,7,1
21,19,37,148,15,1
11,16,16,72,42,1
29,15,19,154,44,1
157,22,75,1018,39,1
3,6,7,20,41,1
10,12,12,98,42,1
1,1,2,7,43,1
10,13,20,72,14,1
1,0,1,6,1,1
17,16,34,108,16,1
17,16,33,107,16,1
2,9,6,17,10,1
4,6,4,21,28,1
12,19,33,252,17,1
18,15,25,309,42,1
1,1,2,7,43,1
6,12,11,52,43,1
6,7,7,33,43,1
23,15,24,117,16,1
111,38,69,511,21,1
9,7,8,49,29,1
3,5,6,39,47,1
19,10,16,73,36,1
29,12,30,196,34,1
8,10,13,122,13,1
198,22,76,1450,10,1
13,9,16,91,44,1
3,5,6,30,47,1
3,8,6,23,15,1
3,5,6,33,47,1
3,6,8,23,42,1
53,22,52,548,19,1
6,8,13,33,42,1
58,2,20,579,0,1
3,11,10,19,13,1
59,12,27,373,20,1
25,19,40,205,38,1
10,12,18,72,34,1
56,14,24,200,35,1
15,18,25,107,41,1
207,23,136,1334,59,1
3,6,3,28,28,1
5,7,6,30,42,1
76,34,66,566,46,1
8,14,20,95,13,1
14,12,19,115,53,1
12,1,10,56,10,1
4,6,4,21,28,1
51,23,42,234,35,1
2,1,2,4,27,1
0,1,0,1,36,1
2,6,5,16,41,1
10,0,9,88,0,1
9,1,8,59,0,1
5,7,5,40,29,1
51,26,47,683,25,1
1,1,1,14,1,1
6,11,12,52,42,1
60,21,46,462,37,1
57,18,54,463,46,1
7,9,15,38,42,1
3,7,8,19,41,1
159,29,129,1335,55,1
56,11,29,218,24,1
126,26,78,844,10,1
55,19,63,296,34,1
29,9,27,239,9,1
37,9,26,208,20,1
4,10,11,37,12,1
11,16,21,107,14,1
9,10,21,54,31,1
18,13,17,104,29,1
4,11,9,31,42,1
15,18,22,71,36,1
15,12,20,110,14,1
9,12,17,75,14,1
14,13,18,98,14,1
24,17,28,147,36,1
36,15,46,256,31,1
10,10,16,59,33,1
21,10,18,117,31,1
11,14,21,69,16,1
54,14,35,438,19,1
18,16,31,167,19,1
123,9,92,842,55,1
47,27,48,240,15,1
32,16,42,248,17,1
7,1,8,66,36,1
29,9,24,172,48,1
11,4,13,88,10,1
11,4,14,79,39,1
1,1,1,921,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,2,1,195,2,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
1,1,1,823,1,1
22,2,20,266,14,1
3,2,4,30,13,1
45,12,33,247,57,1
10,2,11,67,38,1
38,4,32,294,29,1
32,1,17,142,43,1
7,0,2,25,2,1
5,2,6,29,33,1
4,2,5,38,14,1
33,13,30,288,48,1
2,2,3,18,12,1
