WMC,CBO,RFC,LOC,NPM,isExistBug
17,6,15,185,11,0
18,5,20,259,16,0
8,0,6,87,6,0
24,1,5,173,0,1
2,0,2,23,2,0
31,8,30,369,16,0
10,8,12,172,8,0
4,0,4,54,0,0
31,4,32,182,127,1
23,4,26,149,123,1
21,4,24,121,117,1
3,4,7,30,103,1
5,4,8,41,105,1
7,4,11,54,107,1
13,4,16,89,113,1
32,14,25,199,10,1
17,5,18,100,113,1
49,16,16,407,3,1
3,3,6,30,103,1
4,5,5,56,12,1
3,3,6,30,103,1
3,4,7,30,103,1
79,24,60,677,158,1
38,8,34,261,100,1
1,4,2,18,102,1
7,4,11,49,107,1
0,0,0,3,0,1
19,8,25,128,117,1
17,4,23,114,117,1
5,4,8,42,105,1
9,4,15,66,109,1
3,4,6,30,103,1
3,4,6,30,103,1
3,4,7,30,103,1
21,4,25,137,121,1
27,4,33,174,127,1
43,5,45,260,139,1
3,4,6,30,104,1
5,4,9,42,105,1
9,5,8,51,106,1
9,4,8,51,106,1
19,4,24,126,119,1
5,6,8,42,104,1
3,3,6,30,103,1
9,4,12,67,109,1
5,4,8,43,105,1
7,4,13,54,107,1
36,5,41,227,136,1
5,4,11,42,105,1
27,14,35,176,116,1
3,4,6,30,103,1
9,4,13,66,109,1
3,4,7,30,103,1
3,4,6,30,103,1
18,9,27,126,115,1
28,13,40,189,123,1
7,4,12,54,107,1
3,4,6,30,103,1
44,7,43,248,131,1
17,4,18,98,113,1
73,17,55,363,135,1
41,19,40,229,119,1
26,12,27,148,112,1
27,5,29,162,124,1
6,8,11,55,103,1
5,4,10,42,105,1
13,5,9,61,5,1
8,1,8,19,51,1
4,1,4,19,49,1
4,1,4,13,49,1
2,1,2,9,47,1
2,1,2,9,47,1
2,1,2,9,47,1
14,1,14,56,59,1
0,1,0,2,3,1
10,1,10,22,55,1
0,1,0,2,42,1
4,1,4,17,45,1
2,1,2,9,47,1
4,1,4,16,49,1
8,1,8,19,53,1
0,1,0,2,45,1
2,1,2,9,47,1
18,1,18,70,63,1
20,1,20,76,65,1
10,1,10,36,55,1
0,1,0,2,45,1
2,1,2,7,47,1
4,1,4,17,49,1
8,1,8,31,53,1
6,1,6,26,51,1
4,1,4,11,49,1
0,1,0,2,45,1
0,1,0,2,45,1
16,1,16,59,61,1
4,1,4,11,49,1
2,1,2,9,47,1
2,1,2,9,47,1
8,1,8,31,53,1
2,1,2,9,47,1
6,1,6,11,51,1
4,1,4,16,49,1
0,1,0,2,45,1
2,1,2,9,47,1
2,1,2,9,47,1
11,4,14,47,103,1
9,4,12,39,101,1
9,4,12,39,101,1
7,4,10,31,99,1
7,4,10,31,99,1
7,4,10,31,99,1
19,4,24,79,111,1
2,11,5,22,11,1
15,4,18,63,107,1
5,41,4,78,138,1
15,3,14,55,96,1
7,4,10,31,99,1
9,4,12,39,101,1
13,4,16,55,105,1
5,4,8,23,97,1
7,4,10,31,99,1
23,4,26,95,115,1
25,4,32,103,117,1
15,4,20,62,107,1
5,4,8,23,97,1
7,4,10,31,99,1
9,4,12,39,101,1
13,4,16,55,105,1
11,4,14,47,103,1
9,4,12,39,101,1
5,4,8,23,97,1
5,4,8,23,97,1
21,4,28,86,113,1
9,4,12,39,101,1
7,4,10,31,99,1
7,4,10,31,99,1
13,4,18,55,105,1
7,4,10,31,99,1
11,4,14,47,103,1
9,4,12,39,101,1
5,4,8,23,97,1
7,4,10,31,99,1
7,4,10,31,99,1
132,12,87,992,60,1
36,4,13,192,60,1
56,8,39,430,14,1
3,4,4,38,77,1
32,5,24,320,64,1
12,3,14,119,53,1
3,5,4,38,73,1
18,9,11,121,4,1
208,42,170,1674,119,1
37,23,22,196,10,1
40,4,14,172,4,1
4,4,12,75,61,1
11,5,13,106,61,1
3,5,7,61,78,1
3,5,7,61,74,1
240,26,103,1834,188,1
10,9,23,142,84,1
5,9,16,92,74,1
6,7,16,87,90,1
9,8,17,109,90,1
4,5,16,90,82,1
4,5,12,80,72,1
1,1,1,10,26,1
3,4,10,69,54,1
3,5,8,63,69,1
3,5,9,68,77,1
4,4,6,41,72,1
174,32,88,1213,137,1
27,8,29,276,83,1
7,6,13,86,73,1
106,19,89,789,89,1
27,5,13,176,89,1
25,5,20,227,81,1
10,9,20,188,71,1
2,0,1,13,0,1
65,5,36,442,9,1
118,13,95,1163,48,1
54,5,23,327,9,1
1,2,1,21,0,1
14,5,12,127,53,1
138,10,76,925,70,1
9,5,10,106,68,1
1,1,2,5,2,1
310,12,85,1873,26,1
13,9,18,115,76,1
85,3,31,469,15,1
10,2,10,100,10,1
6,3,7,82,16,1
4,1,4,42,4,1
1,1,1,14,1,1
5,1,5,33,5,1
10,3,10,63,22,1
11,3,11,119,23,1
1,0,1,193,1,1
16,5,16,129,28,1
8,1,8,56,20,1
20,10,20,197,32,1
8,2,8,118,8,1
4,1,4,24,16,1
12,1,12,103,12,1
2,1,2,19,2,1
6,1,6,58,11,1
4,4,4,71,16,1
1,0,1,31,1,1
1,2,1,17,13,1
3,3,3,24,3,1
10,5,10,93,10,1
2,1,2,25,7,1
13,4,13,124,18,1
5,2,5,88,5,1
12,7,12,203,12,0
