Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_Eclipse,NPM,CBO
Run_2,BugPrediction_Eclipse,CBO,NPM
Run_3,BugPrediction_Eclipse,NPM,CBO
Run_4,BugPrediction_Eclipse,NPM,CBO
Run_5,BugPrediction_Eclipse,NPM,RFC
Run_6,BugPrediction_Eclipse,NPM,CBO
Run_7,BugPrediction_Eclipse,NPM,CBO
Run_8,BugPrediction_Eclipse,NPM,CBO
Run_9,BugPrediction_Eclipse,CBO,NPM
Run_10,BugPrediction_Eclipse,NPM,CBO
Run_11,BugPrediction_Eclipse,NPM,CBO
Run_12,BugPrediction_Eclipse,NPM,CBO
Run_13,BugPrediction_Eclipse,RFC,CBO
Run_14,BugPrediction_Eclipse,NPM,CBO
Run_15,BugPrediction_Eclipse,NPM,CBO
Run_16,BugPrediction_Eclipse,NPM,CBO
Run_17,BugPrediction_Eclipse,CBO,NPM
Run_18,BugPrediction_Eclipse,CBO,NPM
Run_19,BugPrediction_Eclipse,NPM,CBO
Run_20,BugPrediction_Eclipse,NPM,RFC
Run_21,BugPrediction_Eclipse,NPM,CBO
Run_22,BugPrediction_Eclipse,NPM,CBO
Run_23,BugPrediction_Eclipse,NPM,CBO
Run_24,BugPrediction_Eclipse,NPM,CBO
Run_25,BugPrediction_Eclipse,NPM,RFC
Run_26,BugPrediction_Eclipse,NPM,CBO
Run_27,BugPrediction_Eclipse,NPM,CBO
Run_28,BugPrediction_Eclipse,NPM,CBO
Run_29,BugPrediction_Eclipse,NPM,CBO
Run_30,BugPrediction_Eclipse,NPM,CBO
