Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_Equinox,CBO,NPM
Run_2,BugPrediction_Equinox,RFC,CBO
Run_3,BugPrediction_Equinox,CBO,LOC
Run_4,BugPrediction_Equinox,CBO,RFC
Run_5,BugPrediction_Equinox,CBO,NPM
Run_6,BugPrediction_Equinox,NPM,CBO
Run_7,BugPrediction_Equinox,CBO,NPM
Run_8,BugPrediction_Equinox,CBO,RFC
Run_9,BugPrediction_Equinox,CBO,NPM
Run_10,BugPrediction_Equinox,CBO,NPM
Run_11,BugPrediction_Equinox,RFC,CBO
Run_12,BugPrediction_Equinox,CBO,RFC
Run_13,BugPrediction_Equinox,CBO,LOC
Run_14,BugPrediction_Equinox,NPM,CBO
Run_15,BugPrediction_Equinox,RFC,NPM
Run_16,BugPrediction_Equinox,CBO,NPM
Run_17,BugPrediction_Equinox,NPM,RFC
Run_18,BugPrediction_Equinox,CBO,RFC
Run_19,BugPrediction_Equinox,NPM,CBO
Run_20,BugPrediction_Equinox,NPM,CBO
Run_21,BugPrediction_Equinox,CBO,RFC
Run_22,BugPrediction_Equinox,CBO,NPM
Run_23,BugPrediction_Equinox,CBO,RFC
Run_24,BugPrediction_Equinox,CBO,RFC
Run_25,BugPrediction_Equinox,NPM,CBO
Run_26,BugPrediction_Equinox,CBO,RFC
Run_27,BugPrediction_Equinox,NPM,RFC
Run_28,BugPrediction_Equinox,CBO,NPM
Run_29,BugPrediction_Equinox,CBO,NPM
Run_30,BugPrediction_Equinox,CBO,RFC
