Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_Mylyn,NPM,RFC
Run_2,BugPrediction_Mylyn,CBO,RFC
Run_3,BugPrediction_Mylyn,CBO,NPM
Run_4,BugPrediction_Mylyn,CBO,NPM
Run_5,BugPrediction_Mylyn,CBO,RFC
Run_6,BugPrediction_Mylyn,CBO,RFC
Run_7,BugPrediction_Mylyn,NPM,RFC
Run_8,BugPrediction_Mylyn,NPM,RFC
Run_9,BugPrediction_Mylyn,NPM,RFC
Run_10,BugPrediction_Mylyn,NPM,CBO
Run_11,BugPrediction_Mylyn,NPM,RFC
Run_12,BugPrediction_Mylyn,CBO,NPM
Run_13,BugPrediction_Mylyn,NPM,RFC
Run_14,BugPrediction_Mylyn,NPM,RFC
Run_15,BugPrediction_Mylyn,NPM,RFC
Run_16,BugPrediction_Mylyn,CBO,RFC
Run_17,BugPrediction_Mylyn,NPM,CBO
Run_18,BugPrediction_Mylyn,CBO,NPM
Run_19,BugPrediction_Mylyn,NPM,RFC
Run_20,BugPrediction_Mylyn,CBO,NPM
Run_21,BugPrediction_Mylyn,CBO,NPM
Run_22,BugPrediction_Mylyn,NPM,RFC
Run_23,BugPrediction_Mylyn,CBO,NPM
Run_24,BugPrediction_Mylyn,NPM,RFC
Run_25,BugPrediction_Mylyn,NPM,RFC
Run_26,BugPrediction_Mylyn,NPM,RFC
Run_27,BugPrediction_Mylyn,CBO,RFC
Run_28,BugPrediction_Mylyn,NPM,RFC
Run_29,BugPrediction_Mylyn,CBO,NPM
Run_30,BugPrediction_Mylyn,NPM,RFC
