Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_PDE,WMC,RFC
Run_2,BugPrediction_PDE,WMC,RFC
Run_3,BugPrediction_PDE,WMC,LOC
Run_4,BugPrediction_PDE,WMC,LOC
Run_5,BugPrediction_PDE,WMC,LOC
Run_6,BugPrediction_PDE,LOC,NPM
Run_7,BugPrediction_PDE,WMC,RFC
Run_8,BugPrediction_PDE,WMC,NPM
Run_9,BugPrediction_PDE,WMC,LOC
Run_10,BugPrediction_PDE,CBO,NPM
Run_11,BugPrediction_PDE,WMC,RFC
Run_12,BugPrediction_PDE,WMC,NPM
Run_13,BugPrediction_PDE,WMC,RFC
Run_14,BugPrediction_PDE,WMC,RFC
Run_15,BugPrediction_PDE,WMC,NPM
Run_16,BugPrediction_PDE,WMC,RFC
Run_17,BugPrediction_PDE,LOC,NPM
Run_18,BugPrediction_PDE,WMC,LOC
Run_19,BugPrediction_PDE,WMC,RFC
Run_20,BugPrediction_PDE,WMC,LOC
Run_21,BugPrediction_PDE,WMC,RFC
Run_22,BugPrediction_PDE,WMC,CBO
Run_23,BugPrediction_PDE,WMC,LOC
Run_24,BugPrediction_PDE,WMC,LOC
Run_25,BugPrediction_PDE,WMC,RFC
Run_26,BugPrediction_PDE,WMC,LOC
Run_27,BugPrediction_PDE,RFC,LOC
Run_28,BugPrediction_PDE,WMC,RFC
Run_29,BugPrediction_PDE,RFC,LOC
Run_30,BugPrediction_PDE,WMC,LOC
