Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_PDE,NPM,CBO
Run_2,BugPrediction_PDE,NPM,RFC
Run_3,BugPrediction_PDE,CBO,NPM
Run_4,BugPrediction_PDE,NPM,RFC
Run_5,BugPrediction_PDE,NPM,RFC
Run_6,BugPrediction_PDE,NPM,RFC
Run_7,BugPrediction_PDE,NPM,RFC
Run_8,BugPrediction_PDE,NPM,CBO
Run_9,BugPrediction_PDE,NPM,CBO
Run_10,BugPrediction_PDE,NPM,RFC
Run_11,BugPrediction_PDE,NPM,RFC
Run_12,BugPrediction_PDE,NPM,RFC
Run_13,BugPrediction_PDE,NPM,RFC
Run_14,BugPrediction_PDE,NPM,CBO
Run_15,BugPrediction_PDE,NPM,RFC
Run_16,BugPrediction_PDE,NPM,RFC
Run_17,BugPrediction_PDE,NPM,RFC
Run_18,BugPrediction_PDE,NPM,RFC
Run_19,BugPrediction_PDE,NPM,RFC
Run_20,BugPrediction_PDE,NPM,RFC
Run_21,BugPrediction_PDE,NPM,RFC
Run_22,BugPrediction_PDE,NPM,RFC
Run_23,BugPrediction_PDE,NPM,RFC
Run_24,BugPrediction_PDE,NPM,CBO
Run_25,BugPrediction_PDE,NPM,RFC
Run_26,BugPrediction_PDE,NPM,RFC
Run_27,BugPrediction_PDE,NPM,RFC
Run_28,BugPrediction_PDE,NPM,RFC
Run_29,BugPrediction_PDE,NPM,LOC
Run_30,BugPrediction_PDE,NPM,RFC
