Run,Project,Feature_1,Feature_2
Run_1,BugPrediction_lucene,RFC,CBO
Run_2,BugPrediction_lucene,NPM,CBO
Run_3,BugPrediction_lucene,CBO,NPM
Run_4,BugPrediction_lucene,CBO,NPM
Run_5,BugPrediction_lucene,CBO,RFC
Run_6,BugPrediction_lucene,CBO,NPM
Run_7,BugPrediction_lucene,NPM,RFC
Run_8,BugPrediction_lucene,NPM,RFC
Run_9,BugPrediction_lucene,RFC,NPM
Run_10,BugPrediction_lucene,CBO,NPM
Run_11,BugPrediction_lucene,CBO,NPM
Run_12,BugPrediction_lucene,NPM,CBO
Run_13,BugPrediction_lucene,CBO,NPM
Run_14,BugPrediction_lucene,CBO,NPM
Run_15,BugPrediction_lucene,CBO,RFC
Run_16,BugPrediction_lucene,NPM,CBO
Run_17,BugPrediction_lucene,RFC,CBO
Run_18,BugPrediction_lucene,CBO,NPM
Run_19,BugPrediction_lucene,NPM,CBO
Run_20,BugPrediction_lucene,CBO,NPM
Run_21,BugPrediction_lucene,RFC,CBO
Run_22,BugPrediction_lucene,RFC,NPM
Run_23,BugPrediction_lucene,CBO,NPM
Run_24,BugPrediction_lucene,RFC,NPM
Run_25,BugPrediction_lucene,CBO,NPM
Run_26,BugPrediction_lucene,RFC,CBO
Run_27,BugPrediction_lucene,CBO,NPM
Run_28,BugPrediction_lucene,CBO,NPM
Run_29,BugPrediction_lucene,NPM,CBO
Run_30,BugPrediction_lucene,CBO,NPM
