Run,Project,Feature_1,Feature_2
Run_1,Github_Android,CBO,NPM
Run_2,Github_Android,LOC,NPM
Run_3,Github_Android,CBO,NPM
Run_4,Github_Android,WMC,LOC
Run_5,Github_Android,WMC,LOC
Run_6,Github_Android,WMC,CBO
Run_7,Github_Android,WMC,NPM
Run_8,Github_Android,WMC,NPM
Run_9,Github_Android,CBO,LOC
Run_10,Github_Android,CBO,NPM
Run_11,Github_Android,CBO,NPM
Run_12,Github_Android,RFC,LOC
Run_13,Github_Android,CBO,LOC
Run_14,Github_Android,WMC,NPM
Run_15,Github_Android,LOC,NPM
Run_16,Github_Android,WMC,RFC
Run_17,Github_Android,CBO,LOC
Run_18,Github_Android,CBO,NPM
Run_19,Github_Android,LOC,NPM
Run_20,Github_Android,WMC,LOC
Run_21,Github_Android,CBO,NPM
Run_22,Github_Android,WMC,LOC
Run_23,Github_Android,CBO,LOC
Run_24,Github_Android,WMC,NPM
Run_25,Github_Android,WMC,LOC
Run_26,Github_Android,LOC,NPM
Run_27,Github_Android,LOC,NPM
Run_28,Github_Android,CBO,LOC
Run_29,Github_Android,CBO,LOC
Run_30,Github_Android,CBO,LOC
