Run,Project,Feature_1,Feature_2
Run_1,Github_Elasticsearch,WMC,CBO
Run_2,Github_Elasticsearch,WMC,RFC
Run_3,Github_Elasticsearch,CBO,RFC
Run_4,Github_Elasticsearch,WMC,RFC
Run_5,Github_Elasticsearch,WMC,CBO
Run_6,Github_Elasticsearch,WMC,CBO
Run_7,Github_Elasticsearch,WMC,RFC
Run_8,Github_Elasticsearch,CBO,RFC
Run_9,Github_Elasticsearch,WMC,RFC
Run_10,Github_Elasticsearch,WMC,CBO
Run_11,Github_Elasticsearch,WMC,CBO
Run_12,Github_Elasticsearch,WMC,RFC
Run_13,Github_Elasticsearch,WMC,RFC
Run_14,Github_Elasticsearch,WMC,CBO
Run_15,Github_Elasticsearch,WMC,RFC
Run_16,Github_Elasticsearch,WMC,RFC
Run_17,Github_Elasticsearch,CBO,RFC
Run_18,Github_Elasticsearch,WMC,RFC
Run_19,Github_Elasticsearch,CBO,RFC
Run_20,Github_Elasticsearch,WMC,RFC
Run_21,Github_Elasticsearch,WMC,RFC
Run_22,Github_Elasticsearch,WMC,CBO
Run_23,Github_Elasticsearch,WMC,RFC
Run_24,Github_Elasticsearch,WMC,RFC
Run_25,Github_Elasticsearch,WMC,CBO
Run_26,Github_Elasticsearch,WMC,RFC
Run_27,Github_Elasticsearch,WMC,CBO
Run_28,Github_Elasticsearch,CBO,RFC
Run_29,Github_Elasticsearch,WMC,RFC
Run_30,Github_Elasticsearch,CBO,RFC
