Run,Project,Feature_1,Feature_2
Run_1,Github_JUnit,WMC,RFC
Run_2,Github_JUnit,RFC,LOC
Run_3,Github_JUnit,WMC,RFC
Run_4,Github_JUnit,WMC,RFC
Run_5,Github_JUnit,RFC,LOC
Run_6,Github_JUnit,RFC,LOC
Run_7,Github_JUnit,RFC,LOC
Run_8,Github_JUnit,RFC,LOC
Run_9,Github_JUnit,RFC,LOC
Run_10,Github_JUnit,RFC,LOC
Run_11,Github_JUnit,RFC,LOC
Run_12,Github_JUnit,WMC,RFC
Run_13,Github_JUnit,WMC,LOC
Run_14,Github_JUnit,RFC,LOC
Run_15,Github_JUnit,WMC,LOC
Run_16,Github_JUnit,WMC,RFC
Run_17,Github_JUnit,WMC,LOC
Run_18,Github_JUnit,RFC,LOC
Run_19,Github_JUnit,WMC,LOC
Run_20,Github_JUnit,WMC,RFC
Run_21,Github_JUnit,RFC,LOC
Run_22,Github_JUnit,RFC,LOC
Run_23,Github_JUnit,WMC,RFC
Run_24,Github_JUnit,RFC,LOC
Run_25,Github_JUnit,WMC,LOC
Run_26,Github_JUnit,WMC,RFC
Run_27,Github_JUnit,WMC,RFC
Run_28,Github_JUnit,CBO,LOC
Run_29,Github_JUnit,RFC,LOC
Run_30,Github_JUnit,RFC,LOC
