Run,Project,Feature_1,Feature_2
Run_1,Github_JUnit,NPM,RFC
Run_2,Github_JUnit,NPM,LOC
Run_3,Github_JUnit,NPM,LOC
Run_4,Github_JUnit,NPM,RFC
Run_5,Github_JUnit,CBO,NPM
Run_6,Github_JUnit,NPM,CBO
Run_7,Github_JUnit,NPM,WMC
Run_8,Github_JUnit,RFC,LOC
Run_9,Github_JUnit,RFC,WMC
Run_10,Github_JUnit,NPM,RFC
Run_11,Github_JUnit,LOC,RFC
Run_12,Github_JUnit,NPM,LOC
Run_13,Github_JUnit,NPM,WMC
Run_14,Github_JUnit,NPM,RFC
Run_15,Github_JUnit,NPM,LOC
Run_16,Github_JUnit,RFC,WMC
Run_17,Github_JUnit,WMC,RFC
Run_18,Github_JUnit,RFC,LOC
Run_19,Github_JUnit,LOC,NPM
Run_20,Github_JUnit,NPM,WMC
Run_21,Github_JUnit,RFC,NPM
Run_22,Github_JUnit,WMC,RFC
Run_23,Github_JUnit,NPM,RFC
Run_24,Github_JUnit,RFC,LOC
Run_25,Github_JUnit,WMC,RFC
Run_26,Github_JUnit,RFC,NPM
Run_27,Github_JUnit,CBO,WMC
Run_28,Github_JUnit,NPM,WMC
Run_29,Github_JUnit,WMC,NPM
Run_30,Github_JUnit,NPM,WMC
