Run,Project,Feature_1,Feature_2
Run_1,Github_Neo4j,WMC,CBO
Run_2,Github_Neo4j,CBO,RFC
Run_3,Github_Neo4j,CBO,RFC
Run_4,Github_Neo4j,CBO,RFC
Run_5,Github_Neo4j,CBO,LOC
Run_6,Github_Neo4j,CBO,RFC
Run_7,Github_Neo4j,CBO,RFC
Run_8,Github_Neo4j,CBO,RFC
Run_9,Github_Neo4j,CBO,RFC
Run_10,Github_Neo4j,CBO,RFC
Run_11,Github_Neo4j,CBO,RFC
Run_12,Github_Neo4j,CBO,RFC
Run_13,Github_Neo4j,WMC,CBO
Run_14,Github_Neo4j,CBO,LOC
Run_15,Github_Neo4j,WMC,LOC
Run_16,Github_Neo4j,CBO,LOC
Run_17,Github_Neo4j,CBO,RFC
Run_18,Github_Neo4j,CBO,RFC
Run_19,Github_Neo4j,CBO,NPM
Run_20,Github_Neo4j,CBO,NPM
Run_21,Github_Neo4j,WMC,RFC
Run_22,Github_Neo4j,CBO,RFC
Run_23,Github_Neo4j,WMC,CBO
Run_24,Github_Neo4j,CBO,RFC
Run_25,Github_Neo4j,CBO,NPM
Run_26,Github_Neo4j,CBO,RFC
Run_27,Github_Neo4j,CBO,NPM
Run_28,Github_Neo4j,CBO,RFC
Run_29,Github_Neo4j,CBO,RFC
Run_30,Github_Neo4j,CBO,RFC
