Run,Project,Feature_1,Feature_2
Run_1,Github_Netty,RFC,NPM
Run_2,Github_Netty,LOC,NPM
Run_3,Github_Netty,RFC,LOC
Run_4,Github_Netty,WMC,NPM
Run_5,Github_Netty,RFC,NPM
Run_6,Github_Netty,WMC,NPM
Run_7,Github_Netty,LOC,NPM
Run_8,Github_Netty,LOC,NPM
Run_9,Github_Netty,LOC,NPM
Run_10,Github_Netty,RFC,NPM
Run_11,Github_Netty,RFC,NPM
Run_12,Github_Netty,RFC,NPM
Run_13,Github_Netty,RFC,NPM
Run_14,Github_Netty,LOC,NPM
Run_15,Github_Netty,RFC,NPM
Run_16,Github_Netty,RFC,NPM
Run_17,Github_Netty,RFC,NPM
Run_18,Github_Netty,RFC,NPM
Run_19,Github_Netty,WMC,NPM
Run_20,Github_Netty,RFC,NPM
Run_21,Github_Netty,RFC,NPM
Run_22,Github_Netty,CBO,NPM
Run_23,Github_Netty,RFC,NPM
Run_24,Github_Netty,RFC,NPM
Run_25,Github_Netty,RFC,NPM
Run_26,Github_Netty,WMC,NPM
Run_27,Github_Netty,LOC,NPM
Run_28,Github_Netty,RFC,NPM
Run_29,Github_Netty,RFC,NPM
Run_30,Github_Netty,RFC,NPM
