Run,Project,Feature_1,Feature_2
Run_1,Github_hazelcast,WMC,LOC
Run_2,Github_hazelcast,CBO,RFC
Run_3,Github_hazelcast,WMC,CBO
Run_4,Github_hazelcast,CBO,RFC
Run_5,Github_hazelcast,RFC,LOC
Run_6,Github_hazelcast,CBO,RFC
Run_7,Github_hazelcast,CBO,RFC
Run_8,Github_hazelcast,WMC,RFC
Run_9,Github_hazelcast,WMC,LOC
Run_10,Github_hazelcast,WMC,RFC
Run_11,Github_hazelcast,CBO,LOC
Run_12,Github_hazelcast,RFC,LOC
Run_13,Github_hazelcast,WMC,CBO
Run_14,Github_hazelcast,CBO,RFC
Run_15,Github_hazelcast,RFC,LOC
Run_16,Github_hazelcast,CBO,RFC
Run_17,Github_hazelcast,WMC,RFC
Run_18,Github_hazelcast,CBO,LOC
Run_19,Github_hazelcast,WMC,LOC
Run_20,Github_hazelcast,RFC,LOC
Run_21,Github_hazelcast,CBO,RFC
Run_22,Github_hazelcast,CBO,RFC
Run_23,Github_hazelcast,WMC,CBO
Run_24,Github_hazelcast,CBO,RFC
Run_25,Github_hazelcast,WMC,RFC
Run_26,Github_hazelcast,WMC,LOC
Run_27,Github_hazelcast,WMC,RFC
Run_28,Github_hazelcast,RFC,LOC
Run_29,Github_hazelcast,RFC,LOC
Run_30,Github_hazelcast,WMC,RFC
