Run,Project,Feature_1,Feature_2
Run_1,Github_mapdb,RFC,NPM
Run_2,Github_mapdb,WMC,RFC
Run_3,Github_mapdb,RFC,NPM
Run_4,Github_mapdb,RFC,NPM
Run_5,Github_mapdb,RFC,NPM
Run_6,Github_mapdb,WMC,NPM
Run_7,Github_mapdb,RFC,NPM
Run_8,Github_mapdb,WMC,NPM
Run_9,Github_mapdb,WMC,NPM
Run_10,Github_mapdb,WMC,NPM
Run_11,Github_mapdb,WMC,NPM
Run_12,Github_mapdb,WMC,NPM
Run_13,Github_mapdb,CBO,NPM
Run_14,Github_mapdb,WMC,NPM
Run_15,Github_mapdb,WMC,NPM
Run_16,Github_mapdb,CBO,NPM
Run_17,Github_mapdb,CBO,NPM
Run_18,Github_mapdb,WMC,NPM
Run_19,Github_mapdb,WMC,NPM
Run_20,Github_mapdb,LOC,NPM
Run_21,Github_mapdb,CBO,NPM
Run_22,Github_mapdb,WMC,NPM
Run_23,Github_mapdb,WMC,CBO
Run_24,Github_mapdb,WMC,RFC
Run_25,Github_mapdb,WMC,NPM
Run_26,Github_mapdb,WMC,RFC
Run_27,Github_mapdb,WMC,CBO
Run_28,Github_mapdb,RFC,NPM
Run_29,Github_mapdb,RFC,NPM
Run_30,Github_mapdb,CBO,NPM
