Run,Project,Feature_1,Feature_2
Run_1,Github_mapdb,CBO,RFC
Run_2,Github_mapdb,CBO,RFC
Run_3,Github_mapdb,CBO,RFC
Run_4,Github_mapdb,CBO,RFC
Run_5,Github_mapdb,RFC,CBO
Run_6,Github_mapdb,RFC,WMC
Run_7,Github_mapdb,CBO,RFC
Run_8,Github_mapdb,CBO,RFC
Run_9,Github_mapdb,CBO,RFC
Run_10,Github_mapdb,CBO,RFC
Run_11,Github_mapdb,CBO,RFC
Run_12,Github_mapdb,CBO,RFC
Run_13,Github_mapdb,CBO,RFC
Run_14,Github_mapdb,CBO,RFC
Run_15,Github_mapdb,RFC,CBO
Run_16,Github_mapdb,CBO,RFC
Run_17,Github_mapdb,CBO,RFC
Run_18,Github_mapdb,CBO,RFC
Run_19,Github_mapdb,CBO,RFC
Run_20,Github_mapdb,CBO,RFC
Run_21,Github_mapdb,CBO,RFC
Run_22,Github_mapdb,CBO,RFC
Run_23,Github_mapdb,CBO,RFC
Run_24,Github_mapdb,CBO,RFC
Run_25,Github_mapdb,CBO,NPM
Run_26,Github_mapdb,CBO,RFC
Run_27,Github_mapdb,CBO,RFC
Run_28,Github_mapdb,CBO,RFC
Run_29,Github_mapdb,RFC,WMC
Run_30,Github_mapdb,CBO,RFC
