Run,Project,Feature_1,Feature_2
Run_1,Github_mct17,CBO,RFC
Run_2,Github_mct17,WMC,LOC
Run_3,Github_mct17,LOC,NPM
Run_4,Github_mct17,CBO,RFC
Run_5,Github_mct17,RFC,LOC
Run_6,Github_mct17,CBO,LOC
Run_7,Github_mct17,WMC,LOC
Run_8,Github_mct17,RFC,LOC
Run_9,Github_mct17,WMC,RFC
Run_10,Github_mct17,WMC,LOC
Run_11,Github_mct17,LOC,NPM
Run_12,Github_mct17,WMC,RFC
Run_13,Github_mct17,LOC,NPM
Run_14,Github_mct17,RFC,LOC
Run_15,Github_mct17,LOC,NPM
Run_16,Github_mct17,LOC,NPM
Run_17,Github_mct17,LOC,NPM
Run_18,Github_mct17,LOC,NPM
Run_19,Github_mct17,WMC,LOC
Run_20,Github_mct17,WMC,RFC
Run_21,Github_mct17,WMC,LOC
Run_22,Github_mct17,LOC,NPM
Run_23,Github_mct17,WMC,RFC
Run_24,Github_mct17,LOC,NPM
Run_25,Github_mct17,RFC,LOC
Run_26,Github_mct17,WMC,LOC
Run_27,Github_mct17,WMC,RFC
Run_28,Github_mct17,RFC,LOC
Run_29,Github_mct17,RFC,LOC
Run_30,Github_mct17,LOC,NPM
