Run,Project,Feature_1,Feature_2
Run_1,Github_mct17,LOC,CBO
Run_2,Github_mct17,LOC,RFC
Run_3,Github_mct17,CBO,NPM
Run_4,Github_mct17,RFC,CBO
Run_5,Github_mct17,LOC,CBO
Run_6,Github_mct17,CBO,LOC
Run_7,Github_mct17,LOC,NPM
Run_8,Github_mct17,WMC,RFC
Run_9,Github_mct17,WMC,LOC
Run_10,Github_mct17,LOC,CBO
Run_11,Github_mct17,CBO,NPM
Run_12,Github_mct17,LOC,CBO
Run_13,Github_mct17,WMC,LOC
Run_14,Github_mct17,LOC,CBO
Run_15,Github_mct17,LOC,CBO
Run_16,Github_mct17,CBO,LOC
Run_17,Github_mct17,NPM,LOC
Run_18,Github_mct17,CBO,LOC
Run_19,Github_mct17,NPM,LOC
Run_20,Github_mct17,LOC,RFC
Run_21,Github_mct17,WMC,RFC
Run_22,Github_mct17,LOC,RFC
Run_23,Github_mct17,CBO,LOC
Run_24,Github_mct17,LOC,CBO
Run_25,Github_mct17,RFC,NPM
Run_26,Github_mct17,WMC,RFC
Run_27,Github_mct17,RFC,CBO
Run_28,Github_mct17,RFC,WMC
Run_29,Github_mct17,WMC,CBO
Run_30,Github_mct17,CBO,NPM
