Run,Project,Feature_1,Feature_2
Run_1,Github_titan,NPM,WMC
Run_2,Github_titan,NPM,WMC
Run_3,Github_titan,NPM,WMC
Run_4,Github_titan,WMC,NPM
Run_5,Github_titan,NPM,WMC
Run_6,Github_titan,NPM,WMC
Run_7,Github_titan,NPM,WMC
Run_8,Github_titan,NPM,CBO
Run_9,Github_titan,NPM,WMC
Run_10,Github_titan,NPM,WMC
Run_11,Github_titan,NPM,WMC
Run_12,Github_titan,NPM,CBO
Run_13,Github_titan,NPM,WMC
Run_14,Github_titan,NPM,WMC
Run_15,Github_titan,NPM,WMC
Run_16,Github_titan,NPM,CBO
Run_17,Github_titan,WMC,NPM
Run_18,Github_titan,NPM,CBO
Run_19,Github_titan,NPM,CBO
Run_20,Github_titan,NPM,CBO
Run_21,Github_titan,NPM,WMC
Run_22,Github_titan,NPM,CBO
Run_23,Github_titan,NPM,LOC
Run_24,Github_titan,NPM,WMC
Run_25,Github_titan,NPM,WMC
Run_26,Github_titan,NPM,CBO
Run_27,Github_titan,NPM,CBO
Run_28,Github_titan,NPM,CBO
Run_29,Github_titan,NPM,WMC
Run_30,Github_titan,NPM,CBO
