Run,Project,Feature_1,Feature_2
Run_1,Promise_ant14,CBO,NPM
Run_2,Promise_ant14,CBO,WMC
Run_3,Promise_ant14,CBO,WMC
Run_4,Promise_ant14,CBO,NPM
Run_5,Promise_ant14,CBO,WMC
Run_6,Promise_ant14,CBO,NPM
Run_7,Promise_ant14,RFC,CBO
Run_8,Promise_ant14,CBO,WMC
Run_9,Promise_ant14,CBO,NPM
Run_10,Promise_ant14,CBO,LOC
Run_11,Promise_ant14,CBO,WMC
Run_12,Promise_ant14,NPM,CBO
Run_13,Promise_ant14,CBO,WMC
Run_14,Promise_ant14,NPM,CBO
Run_15,Promise_ant14,NPM,CBO
Run_16,Promise_ant14,CBO,NPM
Run_17,Promise_ant14,NPM,CBO
Run_18,Promise_ant14,NPM,CBO
Run_19,Promise_ant14,CBO,WMC
Run_20,Promise_ant14,CBO,NPM
Run_21,Promise_ant14,NPM,CBO
Run_22,Promise_ant14,CBO,NPM
Run_23,Promise_ant14,CBO,LOC
Run_24,Promise_ant14,CBO,LOC
Run_25,Promise_ant14,CBO,NPM
Run_26,Promise_ant14,CBO,NPM
Run_27,Promise_ant14,CBO,WMC
Run_28,Promise_ant14,NPM,CBO
Run_29,Promise_ant14,NPM,CBO
Run_30,Promise_ant14,CBO,NPM
