Run,Project,Feature_1,Feature_2
Run_1,Promise_camel16,LOC,NPM
Run_2,Promise_camel16,RFC,LOC
Run_3,Promise_camel16,RFC,LOC
Run_4,Promise_camel16,RFC,NPM
Run_5,Promise_camel16,LOC,NPM
Run_6,Promise_camel16,LOC,NPM
Run_7,Promise_camel16,LOC,NPM
Run_8,Promise_camel16,RFC,LOC
Run_9,Promise_camel16,RFC,NPM
Run_10,Promise_camel16,WMC,NPM
Run_11,Promise_camel16,LOC,NPM
Run_12,Promise_camel16,RFC,NPM
Run_13,Promise_camel16,CBO,LOC
Run_14,Promise_camel16,RFC,LOC
Run_15,Promise_camel16,RFC,LOC
Run_16,Promise_camel16,RFC,NPM
Run_17,Promise_camel16,LOC,NPM
Run_18,Promise_camel16,RFC,LOC
Run_19,Promise_camel16,WMC,LOC
Run_20,Promise_camel16,LOC,NPM
Run_21,Promise_camel16,LOC,NPM
Run_22,Promise_camel16,LOC,NPM
Run_23,Promise_camel16,WMC,LOC
Run_24,Promise_camel16,LOC,NPM
Run_25,Promise_camel16,LOC,NPM
Run_26,Promise_camel16,RFC,NPM
Run_27,Promise_camel16,LOC,NPM
Run_28,Promise_camel16,LOC,NPM
Run_29,Promise_camel16,RFC,NPM
Run_30,Promise_camel16,LOC,NPM
