Run,Project,Feature_1,Feature_2
Run_1,Promise_camel16,CBO,NPM
Run_2,Promise_camel16,NPM,CBO
Run_3,Promise_camel16,NPM,CBO
Run_4,Promise_camel16,NPM,CBO
Run_5,Promise_camel16,NPM,CBO
Run_6,Promise_camel16,NPM,CBO
Run_7,Promise_camel16,NPM,CBO
Run_8,Promise_camel16,CBO,NPM
Run_9,Promise_camel16,CBO,NPM
Run_10,Promise_camel16,CBO,NPM
Run_11,Promise_camel16,CBO,NPM
Run_12,Promise_camel16,NPM,CBO
Run_13,Promise_camel16,NPM,CBO
Run_14,Promise_camel16,CBO,RFC
Run_15,Promise_camel16,CBO,NPM
Run_16,Promise_camel16,CBO,NPM
Run_17,Promise_camel16,NPM,RFC
Run_18,Promise_camel16,CBO,NPM
Run_19,Promise_camel16,CBO,NPM
Run_20,Promise_camel16,NPM,CBO
Run_21,Promise_camel16,NPM,CBO
Run_22,Promise_camel16,NPM,CBO
Run_23,Promise_camel16,NPM,CBO
Run_24,Promise_camel16,NPM,CBO
Run_25,Promise_camel16,NPM,CBO
Run_26,Promise_camel16,NPM,CBO
Run_27,Promise_camel16,NPM,CBO
Run_28,Promise_camel16,NPM,CBO
Run_29,Promise_camel16,NPM,CBO
Run_30,Promise_camel16,NPM,CBO
