Run,Project,Feature_1,Feature_2
Run_1,Promise_ckjm18,WMC,LOC
Run_2,Promise_ckjm18,LOC,NPM
Run_3,Promise_ckjm18,CBO,LOC
Run_4,Promise_ckjm18,CBO,LOC
Run_5,Promise_ckjm18,LOC,NPM
Run_6,Promise_ckjm18,LOC,NPM
Run_7,Promise_ckjm18,CBO,NPM
Run_8,Promise_ckjm18,CBO,NPM
Run_9,Promise_ckjm18,RFC,LOC
Run_10,Promise_ckjm18,LOC,NPM
Run_11,Promise_ckjm18,LOC,NPM
Run_12,Promise_ckjm18,CBO,LOC
Run_13,Promise_ckjm18,LOC,NPM
Run_14,Promise_ckjm18,LOC,NPM
Run_15,Promise_ckjm18,WMC,LOC
Run_16,Promise_ckjm18,CBO,LOC
Run_17,Promise_ckjm18,LOC,NPM
Run_18,Promise_ckjm18,LOC,NPM
Run_19,Promise_ckjm18,CBO,LOC
Run_20,Promise_ckjm18,CBO,LOC
Run_21,Promise_ckjm18,WMC,LOC
Run_22,Promise_ckjm18,WMC,LOC
Run_23,Promise_ckjm18,LOC,NPM
Run_24,Promise_ckjm18,LOC,NPM
Run_25,Promise_ckjm18,LOC,NPM
Run_26,Promise_ckjm18,LOC,NPM
Run_27,Promise_ckjm18,WMC,LOC
Run_28,Promise_ckjm18,WMC,LOC
Run_29,Promise_ckjm18,WMC,LOC
Run_30,Promise_ckjm18,LOC,NPM
