Run,Project,Feature_1,Feature_2
Run_1,Promise_ckjm18,NPM,LOC
Run_2,Promise_ckjm18,LOC,WMC
Run_3,Promise_ckjm18,CBO,NPM
Run_4,Promise_ckjm18,LOC,CBO
Run_5,Promise_ckjm18,NPM,LOC
Run_6,Promise_ckjm18,NPM,LOC
Run_7,Promise_ckjm18,NPM,LOC
Run_8,Promise_ckjm18,CBO,NPM
Run_9,Promise_ckjm18,NPM,LOC
Run_10,Promise_ckjm18,LOC,WMC
Run_11,Promise_ckjm18,LOC,WMC
Run_12,Promise_ckjm18,CBO,RFC
Run_13,Promise_ckjm18,NPM,LOC
Run_14,Promise_ckjm18,NPM,LOC
Run_15,Promise_ckjm18,NPM,LOC
Run_16,Promise_ckjm18,CBO,RFC
Run_17,Promise_ckjm18,NPM,LOC
Run_18,Promise_ckjm18,NPM,LOC
Run_19,Promise_ckjm18,CBO,RFC
Run_20,Promise_ckjm18,CBO,NPM
Run_21,Promise_ckjm18,CBO,RFC
Run_22,Promise_ckjm18,CBO,NPM
Run_23,Promise_ckjm18,NPM,LOC
Run_24,Promise_ckjm18,LOC,WMC
Run_25,Promise_ckjm18,NPM,LOC
Run_26,Promise_ckjm18,NPM,LOC
Run_27,Promise_ckjm18,NPM,LOC
Run_28,Promise_ckjm18,CBO,RFC
Run_29,Promise_ckjm18,CBO,RFC
Run_30,Promise_ckjm18,NPM,LOC
