Run,Project,Feature_1,Feature_2
Run_1,Promise_forrest08,NPM,CBO
Run_2,Promise_forrest08,NPM,CBO
Run_3,Promise_forrest08,WMC,LOC
Run_4,Promise_forrest08,NPM,CBO
Run_5,Promise_forrest08,NPM,CBO
Run_6,Promise_forrest08,NPM,CBO
Run_7,Promise_forrest08,NPM,CBO
Run_8,Promise_forrest08,LOC,WMC
Run_9,Promise_forrest08,WMC,LOC
Run_10,Promise_forrest08,WMC,LOC
Run_11,Promise_forrest08,NPM,CBO
Run_12,Promise_forrest08,LOC,WMC
Run_13,Promise_forrest08,WMC,LOC
Run_14,Promise_forrest08,NPM,CBO
Run_15,Promise_forrest08,WMC,LOC
Run_16,Promise_forrest08,RFC,CBO
Run_17,Promise_forrest08,LOC,WMC
Run_18,Promise_forrest08,WMC,LOC
Run_19,Promise_forrest08,WMC,LOC
Run_20,Promise_forrest08,CBO,NPM
Run_21,Promise_forrest08,LOC,WMC
Run_22,Promise_forrest08,NPM,CBO
Run_23,Promise_forrest08,WMC,LOC
Run_24,Promise_forrest08,NPM,CBO
Run_25,Promise_forrest08,NPM,CBO
Run_26,Promise_forrest08,WMC,LOC
Run_27,Promise_forrest08,CBO,NPM
Run_28,Promise_forrest08,LOC,WMC
Run_29,Promise_forrest08,WMC,LOC
Run_30,Promise_forrest08,WMC,LOC
