Run,Project,Feature_1,Feature_2
Run_1,Promise_jedit43,LOC,NPM
Run_2,Promise_jedit43,RFC,LOC
Run_3,Promise_jedit43,CBO,LOC
Run_4,Promise_jedit43,LOC,NPM
Run_5,Promise_jedit43,RFC,LOC
Run_6,Promise_jedit43,CBO,NPM
Run_7,Promise_jedit43,LOC,NPM
Run_8,Promise_jedit43,LOC,NPM
Run_9,Promise_jedit43,LOC,NPM
Run_10,Promise_jedit43,CBO,NPM
Run_11,Promise_jedit43,CBO,RFC
Run_12,Promise_jedit43,CBO,NPM
Run_13,Promise_jedit43,RFC,LOC
Run_14,Promise_jedit43,CBO,LOC
Run_15,Promise_jedit43,LOC,NPM
Run_16,Promise_jedit43,CBO,NPM
Run_17,Promise_jedit43,CBO,RFC
Run_18,Promise_jedit43,CBO,RFC
Run_19,Promise_jedit43,CBO,NPM
Run_20,Promise_jedit43,RFC,LOC
Run_21,Promise_jedit43,CBO,NPM
Run_22,Promise_jedit43,LOC,NPM
Run_23,Promise_jedit43,CBO,NPM
Run_24,Promise_jedit43,RFC,LOC
Run_25,Promise_jedit43,RFC,LOC
Run_26,Promise_jedit43,CBO,NPM
Run_27,Promise_jedit43,LOC,NPM
Run_28,Promise_jedit43,CBO,NPM
Run_29,Promise_jedit43,CBO,NPM
Run_30,Promise_jedit43,RFC,NPM
