Run,Project,Feature_1,Feature_2
Run_1,Promise_log4j,RFC,NPM
Run_2,Promise_log4j,CBO,NPM
Run_3,Promise_log4j,CBO,NPM
Run_4,Promise_log4j,CBO,NPM
Run_5,Promise_log4j,CBO,NPM
Run_6,Promise_log4j,CBO,LOC
Run_7,Promise_log4j,CBO,NPM
Run_8,Promise_log4j,CBO,NPM
Run_9,Promise_log4j,CBO,NPM
Run_10,Promise_log4j,CBO,NPM
Run_11,Promise_log4j,CBO,LOC
Run_12,Promise_log4j,CBO,NPM
Run_13,Promise_log4j,CBO,RFC
Run_14,Promise_log4j,CBO,LOC
Run_15,Promise_log4j,CBO,LOC
Run_16,Promise_log4j,CBO,NPM
Run_17,Promise_log4j,CBO,NPM
Run_18,Promise_log4j,CBO,NPM
Run_19,Promise_log4j,CBO,NPM
Run_20,Promise_log4j,CBO,NPM
Run_21,Promise_log4j,CBO,NPM
Run_22,Promise_log4j,CBO,NPM
Run_23,Promise_log4j,CBO,LOC
Run_24,Promise_log4j,CBO,NPM
Run_25,Promise_log4j,CBO,NPM
Run_26,Promise_log4j,CBO,NPM
Run_27,Promise_log4j,CBO,NPM
Run_28,Promise_log4j,CBO,NPM
Run_29,Promise_log4j,CBO,RFC
Run_30,Promise_log4j,CBO,NPM
