Run,Project,Feature_1,Feature_2
Run_1,Promise_log4j,NPM,RFC
Run_2,Promise_log4j,NPM,CBO
Run_3,Promise_log4j,NPM,LOC
Run_4,Promise_log4j,NPM,LOC
Run_5,Promise_log4j,NPM,LOC
Run_6,Promise_log4j,NPM,LOC
Run_7,Promise_log4j,NPM,RFC
Run_8,Promise_log4j,LOC,NPM
Run_9,Promise_log4j,NPM,LOC
Run_10,Promise_log4j,RFC,LOC
Run_11,Promise_log4j,NPM,RFC
Run_12,Promise_log4j,RFC,WMC
Run_13,Promise_log4j,RFC,WMC
Run_14,Promise_log4j,NPM,LOC
Run_15,Promise_log4j,NPM,LOC
Run_16,Promise_log4j,NPM,RFC
Run_17,Promise_log4j,RFC,WMC
Run_18,Promise_log4j,NPM,LOC
Run_19,Promise_log4j,NPM,RFC
Run_20,Promise_log4j,NPM,RFC
Run_21,Promise_log4j,NPM,RFC
Run_22,Promise_log4j,NPM,LOC
Run_23,Promise_log4j,NPM,LOC
Run_24,Promise_log4j,NPM,RFC
Run_25,Promise_log4j,NPM,LOC
Run_26,Promise_log4j,LOC,NPM
Run_27,Promise_log4j,NPM,RFC
Run_28,Promise_log4j,NPM,RFC
Run_29,Promise_log4j,NPM,LOC
Run_30,Promise_log4j,NPM,LOC
