Run,Project,Feature_1,Feature_2
Run_1,Promise_lucene24,RFC,LOC
Run_2,Promise_lucene24,CBO,RFC
Run_3,Promise_lucene24,RFC,NPM
Run_4,Promise_lucene24,RFC,LOC
Run_5,Promise_lucene24,RFC,LOC
Run_6,Promise_lucene24,CBO,NPM
Run_7,Promise_lucene24,LOC,NPM
Run_8,Promise_lucene24,RFC,NPM
Run_9,Promise_lucene24,CBO,NPM
Run_10,Promise_lucene24,RFC,NPM
Run_11,Promise_lucene24,RFC,NPM
Run_12,Promise_lucene24,RFC,LOC
Run_13,Promise_lucene24,RFC,NPM
Run_14,Promise_lucene24,RFC,NPM
Run_15,Promise_lucene24,WMC,LOC
Run_16,Promise_lucene24,RFC,NPM
Run_17,Promise_lucene24,CBO,RFC
Run_18,Promise_lucene24,RFC,LOC
Run_19,Promise_lucene24,RFC,LOC
Run_20,Promise_lucene24,RFC,LOC
Run_21,Promise_lucene24,RFC,NPM
Run_22,Promise_lucene24,RFC,LOC
Run_23,Promise_lucene24,RFC,NPM
Run_24,Promise_lucene24,CBO,RFC
Run_25,Promise_lucene24,RFC,NPM
Run_26,Promise_lucene24,RFC,LOC
Run_27,Promise_lucene24,CBO,RFC
Run_28,Promise_lucene24,CBO,RFC
Run_29,Promise_lucene24,RFC,NPM
Run_30,Promise_lucene24,RFC,LOC
