Run,Project,Feature_1,Feature_2
Run_1,Promise_lucene24,CBO,NPM
Run_2,Promise_lucene24,NPM,CBO
Run_3,Promise_lucene24,NPM,CBO
Run_4,Promise_lucene24,NPM,CBO
Run_5,Promise_lucene24,RFC,NPM
Run_6,Promise_lucene24,NPM,CBO
Run_7,Promise_lucene24,NPM,CBO
Run_8,Promise_lucene24,NPM,RFC
Run_9,Promise_lucene24,CBO,NPM
Run_10,Promise_lucene24,NPM,CBO
Run_11,Promise_lucene24,NPM,CBO
Run_12,Promise_lucene24,RFC,NPM
Run_13,Promise_lucene24,NPM,CBO
Run_14,Promise_lucene24,NPM,CBO
Run_15,Promise_lucene24,NPM,CBO
Run_16,Promise_lucene24,NPM,CBO
Run_17,Promise_lucene24,NPM,CBO
Run_18,Promise_lucene24,NPM,CBO
Run_19,Promise_lucene24,NPM,CBO
Run_20,Promise_lucene24,NPM,CBO
Run_21,Promise_lucene24,NPM,CBO
Run_22,Promise_lucene24,CBO,NPM
Run_23,Promise_lucene24,NPM,CBO
Run_24,Promise_lucene24,NPM,CBO
Run_25,Promise_lucene24,NPM,CBO
Run_26,Promise_lucene24,NPM,RFC
Run_27,Promise_lucene24,NPM,RFC
Run_28,Promise_lucene24,CBO,NPM
Run_29,Promise_lucene24,NPM,CBO
Run_30,Promise_lucene24,NPM,CBO
