Run,Project,Feature_1,Feature_2
Run_1,Promise_pbeans2,CBO,LOC
Run_2,Promise_pbeans2,WMC,RFC
Run_3,Promise_pbeans2,LOC,NPM
Run_4,Promise_pbeans2,WMC,LOC
Run_5,Promise_pbeans2,RFC,LOC
Run_6,Promise_pbeans2,RFC,NPM
Run_7,Promise_pbeans2,LOC,NPM
Run_8,Promise_pbeans2,CBO,LOC
Run_9,Promise_pbeans2,LOC,NPM
Run_10,Promise_pbeans2,LOC,NPM
Run_11,Promise_pbeans2,LOC,NPM
Run_12,Promise_pbeans2,CBO,LOC
Run_13,Promise_pbeans2,RFC,NPM
Run_14,Promise_pbeans2,LOC,NPM
Run_15,Promise_pbeans2,WMC,LOC
Run_16,Promise_pbeans2,WMC,RFC
Run_17,Promise_pbeans2,LOC,NPM
Run_18,Promise_pbeans2,RFC,LOC
Run_19,Promise_pbeans2,LOC,NPM
Run_20,Promise_pbeans2,RFC,LOC
Run_21,Promise_pbeans2,LOC,NPM
Run_22,Promise_pbeans2,RFC,LOC
Run_23,Promise_pbeans2,LOC,NPM
Run_24,Promise_pbeans2,LOC,NPM
Run_25,Promise_pbeans2,WMC,LOC
Run_26,Promise_pbeans2,LOC,NPM
Run_27,Promise_pbeans2,CBO,NPM
Run_28,Promise_pbeans2,WMC,LOC
Run_29,Promise_pbeans2,LOC,NPM
Run_30,Promise_pbeans2,RFC,LOC
