Run,Project,Feature_1,Feature_2
Run_1,Promise_pbeans2,WMC,NPM
Run_2,Promise_pbeans2,LOC,WMC
Run_3,Promise_pbeans2,NPM,WMC
Run_4,Promise_pbeans2,LOC,RFC
Run_5,Promise_pbeans2,RFC,NPM
Run_6,Promise_pbeans2,LOC,NPM
Run_7,Promise_pbeans2,WMC,NPM
Run_8,Promise_pbeans2,WMC,NPM
Run_9,Promise_pbeans2,WMC,NPM
Run_10,Promise_pbeans2,LOC,RFC
Run_11,Promise_pbeans2,WMC,CBO
Run_12,Promise_pbeans2,WMC,LOC
Run_13,Promise_pbeans2,RFC,NPM
Run_14,Promise_pbeans2,RFC,LOC
Run_15,Promise_pbeans2,CBO,WMC
Run_16,Promise_pbeans2,WMC,LOC
Run_17,Promise_pbeans2,NPM,LOC
Run_18,Promise_pbeans2,NPM,WMC
Run_19,Promise_pbeans2,WMC,NPM
Run_20,Promise_pbeans2,WMC,CBO
Run_21,Promise_pbeans2,NPM,CBO
Run_22,Promise_pbeans2,NPM,RFC
Run_23,Promise_pbeans2,NPM,CBO
Run_24,Promise_pbeans2,WMC,LOC
Run_25,Promise_pbeans2,LOC,WMC
Run_26,Promise_pbeans2,WMC,RFC
Run_27,Promise_pbeans2,CBO,RFC
Run_28,Promise_pbeans2,CBO,WMC
Run_29,Promise_pbeans2,LOC,RFC
Run_30,Promise_pbeans2,RFC,NPM
