Run,Project,Feature_1,Feature_2
Run_1,Promise_poi30,WMC,CBO
Run_2,Promise_poi30,CBO,RFC
Run_3,Promise_poi30,WMC,CBO
Run_4,Promise_poi30,WMC,CBO
Run_5,Promise_poi30,WMC,CBO
Run_6,Promise_poi30,WMC,CBO
Run_7,Promise_poi30,WMC,CBO
Run_8,Promise_poi30,WMC,CBO
Run_9,Promise_poi30,WMC,CBO
Run_10,Promise_poi30,WMC,CBO
Run_11,Promise_poi30,WMC,CBO
Run_12,Promise_poi30,WMC,CBO
Run_13,Promise_poi30,WMC,CBO
Run_14,Promise_poi30,WMC,CBO
Run_15,Promise_poi30,WMC,CBO
Run_16,Promise_poi30,WMC,CBO
Run_17,Promise_poi30,WMC,CBO
Run_18,Promise_poi30,WMC,CBO
Run_19,Promise_poi30,CBO,RFC
Run_20,Promise_poi30,WMC,CBO
Run_21,Promise_poi30,WMC,CBO
Run_22,Promise_poi30,WMC,CBO
Run_23,Promise_poi30,WMC,CBO
Run_24,Promise_poi30,WMC,CBO
Run_25,Promise_poi30,WMC,CBO
Run_26,Promise_poi30,WMC,CBO
Run_27,Promise_poi30,WMC,CBO
Run_28,Promise_poi30,WMC,CBO
Run_29,Promise_poi30,WMC,CBO
Run_30,Promise_poi30,WMC,RFC
