Run,Project,Feature_1,Feature_2
Run_1,Promise_synapse12,LOC,NPM
Run_2,Promise_synapse12,LOC,NPM
Run_3,Promise_synapse12,WMC,LOC
Run_4,Promise_synapse12,WMC,NPM
Run_5,Promise_synapse12,CBO,LOC
Run_6,Promise_synapse12,WMC,LOC
Run_7,Promise_synapse12,CBO,LOC
Run_8,Promise_synapse12,CBO,LOC
Run_9,Promise_synapse12,WMC,LOC
Run_10,Promise_synapse12,WMC,LOC
Run_11,Promise_synapse12,WMC,CBO
Run_12,Promise_synapse12,WMC,LOC
Run_13,Promise_synapse12,WMC,LOC
Run_14,Promise_synapse12,CBO,LOC
Run_15,Promise_synapse12,LOC,NPM
Run_16,Promise_synapse12,WMC,NPM
Run_17,Promise_synapse12,CBO,LOC
Run_18,Promise_synapse12,LOC,NPM
Run_19,Promise_synapse12,LOC,NPM
Run_20,Promise_synapse12,CBO,LOC
Run_21,Promise_synapse12,CBO,LOC
Run_22,Promise_synapse12,RFC,LOC
Run_23,Promise_synapse12,CBO,LOC
Run_24,Promise_synapse12,WMC,LOC
Run_25,Promise_synapse12,WMC,LOC
Run_26,Promise_synapse12,LOC,NPM
Run_27,Promise_synapse12,LOC,NPM
Run_28,Promise_synapse12,RFC,LOC
Run_29,Promise_synapse12,CBO,RFC
Run_30,Promise_synapse12,WMC,LOC
